Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Радужнинская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №520	УИК №521	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №537	УИК №538	УИК №540									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29404	1591	1566	1500	1318	1344	1258	1392	1769	1812	1212	1218	2175	1820	2123	1088	2233	2193	1792									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28000	1500	1500	1400	1200	1300	1200	1300	1700	1800	1100	1100	2000	1800	2100	1000	2200	2100	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9434	589	488	524	454	472	350	466	521	599	346	388	582	616	765	357	813	791	313									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	169	6	4	3	0	0	37	1	18	2	0	0	61	6	5	3	10	6	7									
6	Число погашенных избирательных бюллетеней	18397	905	1008	873	746	828	813	833	1161	1199	754	712	1357	1178	1330	640	1377	1303	1380									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	169	6	4	3	0	0	37	1	18	2	0	0	61	6	5	3	10	6	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9431	589	488	523	454	472	350	466	521	599	346	388	582	616	765	356	812	791	313									
9	Число недействительных избирательных бюллетеней	488	38	17	22	19	18	27	29	53	32	12	18	52	14	24	15	23	41	34									
10	Число действительных избирательных бюллетеней	9112	557	475	504	435	454	360	438	486	569	334	370	591	608	746	344	799	756	286									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	760	40	40	40	40	40	40	40	40	40	40	40	50	40	50	40	50	50	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	117	8	7	5	5	3	6	4	8	7	4	5	5	7	12	5	15	7	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	3	8	1	3	5	1	5	1	7	7	3	5	8	7	0	3	14	6									
14	Число погашенных неиспользованных открепительных удостоверений	643	32	33	35	35	37	34	36	32	33	36	35	45	33	38	35	35	43	36									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	3	2	2	8	6	5	3	2	3	3	3	4	5	3	3	5	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	191	11	6	10	13	8	6	13	10	16	9	8	14	6	12	7	20	15	7									
		1.99%	1.85%	1.22%	1.90%	2.86%	1.69%	1.55%	2.78%	1.86%	2.66%	2.60%	2.06%	2.18%	0.96%	1.56%	1.95%	2.43%	1.88%	2.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	259	18	15	15	12	16	7	13	14	13	5	7	14	20	22	10	33	17	8									
		2.70%	3.03%	3.05%	2.85%	2.64%	3.39%	1.81%	2.78%	2.60%	2.16%	1.45%	1.80%	2.18%	3.22%	2.86%	2.79%	4.01%	2.13%	2.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	276	23	14	18	8	9	11	14	18	14	6	9	15	20	31	12	25	22	7									
		2.88%	3.87%	2.85%	3.42%	1.76%	1.91%	2.84%	2.99%	3.34%	2.33%	1.73%	2.32%	2.33%	3.22%	4.03%	3.34%	3.04%	2.76%	2.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3828	252	186	203	192	197	147	169	190	231	134	156	269	266	311	148	344	322	111									
		39.88%	42.35%	37.80%	38.59%	42.29%	41.74%	37.98%	36.19%	35.25%	38.44%	38.73%	40.21%	41.84%	42.77%	40.39%	41.23%	41.85%	40.40%	34.69%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	55	3	2	0	3	1	4	6	4	2	2	0	7	4	3	4	7	3	0									
		0.57%	0.50%	0.41%	0.00%	0.66%	0.21%	1.03%	1.28%	0.74%	0.33%	0.58%	0.00%	1.09%	0.64%	0.39%	1.11%	0.85%	0.38%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	0	0	0	3	2	1	1	1	1	0	0	1	3	1	0	2	5	0									
		0.22%	0.00%	0.00%	0.00%	0.66%	0.42%	0.26%	0.21%	0.19%	0.17%	0.00%	0.00%	0.16%	0.48%	0.13%	0.00%	0.24%	0.63%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2516	153	153	152	108	107	112	122	129	170	94	115	170	171	173	99	212	184	92									
		26.21%	25.71%	31.10%	28.90%	23.79%	22.67%	28.94%	26.12%	23.93%	28.29%	27.17%	29.64%	26.44%	27.49%	22.47%	27.58%	25.79%	23.09%	28.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	69	4	3	4	9	1	1	4	2	1	4	6	4	5	8	2	3	7	1									
		0.72%	0.67%	0.61%	0.76%	1.98%	0.21%	0.26%	0.86%	0.37%	0.17%	1.16%	1.55%	0.62%	0.80%	1.04%	0.56%	0.36%	0.88%	0.31%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	93	6	3	11	3	2	1	5	5	6	4	3	4	10	11	7	7	5	0									
		0.97%	1.01%	0.61%	2.09%	0.66%	0.42%	0.26%	1.07%	0.93%	0.99%	1.16%	0.77%	0.62%	1.61%	1.43%	1.95%	0.85%	0.63%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	2	2	1	0	1	0	2	0	1	1	0	0	0	0	2	3	1	1									
		0.18%	0.34%	0.41%	0.19%	0.00%	0.21%	0.00%	0.43%	0.00%	0.17%	0.29%	0.00%	0.00%	0.00%	0.00%	0.56%	0.36%	0.13%	0.31%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	5	5	9	14	17	4	5	10	5	3	4	4	9	10	5	8	10	0									
		1.32%	0.84%	1.02%	1.71%	3.08%	3.60%	1.03%	1.07%	1.86%	0.83%	0.87%	1.03%	0.62%	1.45%	1.30%	1.39%	0.97%	1.25%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1146	50	64	59	42	66	49	61	71	83	51	47	56	67	117	30	85	104	44									
		11.94%	8.40%	13.01%	11.22%	9.25%	13.98%	12.66%	13.06%	13.17%	13.81%	14.74%	12.11%	8.71%	10.77%	15.19%	8.36%	10.34%	13.05%	13.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	86	7	9	4	5	4	2	1	2	8	5	2	5	3	9	2	7	8	3									
		0.90%	1.18%	1.83%	0.76%	1.10%	0.85%	0.52%	0.21%	0.37%	1.33%	1.45%	0.52%	0.78%	0.48%	1.17%	0.56%	0.85%	1.00%	0.94%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	428	23	13	18	23	23	15	22	30	18	16	13	28	24	38	16	43	53	12									
		4.46%	3.87%	2.64%	3.42%	5.07%	4.87%	3.88%	4.71%	5.57%	2.99%	4.62%	3.35%	4.35%	3.86%	4.94%	4.46%	5.23%	6.65%	3.75%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
