Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Большеберезниковская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10082	1534	1293	876	948	149	186	161	73	95	185	154	209	301	542	262	221	277	356	132	477	287	398	244	140	582									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10377	1578	1348	891	972	149	186	169	77	93	183	158	218	316	544	319	224	279	361	135	493	289	403	252	140	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8568	1382	1091	691	789	81	176	154	65	87	152	115	191	238	471	200	188	234	303	127	397	268	347	206	105	510									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	702	29	34	119	31	68	0	7	5	3	16	26	18	41	22	46	20	27	0	0	30	14	40	23	27	56									
6	Число погашенных избирательных бюллетеней	1107	167	223	81	152	0	10	8	7	3	15	17	9	37	51	73	16	18	58	8	66	7	16	23	8	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	702	29	34	119	31	68	0	7	5	3	16	26	18	41	22	46	20	27	0	0	30	14	40	23	27	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8568	1382	1091	691	789	81	176	154	65	87	152	115	191	238	471	200	188	234	303	127	397	268	347	206	105	510									
9	Число недействительных избирательных бюллетеней	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	9265	1411	1125	810	820	149	174	161	70	90	168	141	209	279	493	243	208	261	303	127	427	282	387	229	132	566									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	127	19	9	9	9	2	2	2	2	3	4	3	4	5	5	5	4	4	4	3	8	4	5	4	3	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	19	9	9	7	0	2	1	0	0	0	1	2	5	5	1	2	2	0	1	8	2	1	1	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	8	1	3	3	1	4	2	1	2	3	1	1	5	2	4	0	4	2	2	3	3	0	0	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	44	0	0	0	2	2	0	1	2	3	4	2	2	0	0	4	2	2	4	2	0	2	4	3	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	6	5	4	4	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	10	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	23	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6									
		0.25%	0.85%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	1.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	13	7	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3									
