Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Апшеронская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353					
1	"Число избирателей, внесенных в списки"	68663	2581	3030	2735	329	1346	2943	2871	2192	2400	3026	2023	1862	1939	427	3135	2302	1669	2868	2274	2334	280	425	1047	1075	841	850	237	664	1320	1511	239	1334	172	642	1254	154	413	370	216	1889	86	512	1739	275	79	69	1438	657	816	993	1957	604	219					
2	"Число бюллетеней, полученных участковыми комиссиями"	66163	2443	2902	2661	307	1170	2688	2649	2167	2352	2886	1849	1763	1812	392	2953	2156	1599	2758	2295	2249	267	415	1073	1056	757	853	227	632	1377	1525	233	1288	160	598	1278	155	434	357	212	1883	84	516	1683	275	77	69	1388	643	777	1019	1991	600	210					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30550	1044	1161	892	167	453	1241	1045	922	1238	1169	973	829	846	201	1362	1092	827	1158	1081	986	130	226	479	466	379	449	172	275	432	728	163	625	90	352	652	103	194	214	124	768	52	211	612	227	46	27	874	347	332	591	1020	365	138					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2272	35	58	46	8	182	21	69	33	79	79	35	20	54	29	41	82	64	69	109	55	27	11	55	64	81	70	0	29	35	0	2	25	27	18	59	9	44	48	18	71	0	72	42	7	3	6	66	29	65	0	75	34	12					
6	Число погашенных бюллетеней	33341	1364	1683	1723	132	535	1426	1535	1212	1035	1638	841	914	912	162	1550	982	708	1531	1105	1208	110	178	539	526	297	334	55	328	910	797	68	638	43	228	567	43	196	95	70	1044	32	233	1029	41	28	36	448	267	380	428	896	201	60					
7	Число бюллетеней в переносных ящиках для голосования	2272	35	58	46	8	182	21	69	33	79	79	35	20	54	29	41	82	64	69	109	55	27	11	55	64	81	70	0	29	35	0	2	25	27	18	59	9	44	48	18	71	0	72	42	7	3	6	66	29	65	0	75	34	12					
8	Число бюллетеней в стационарных ящиках для голосования	30537	1044	1161	892	167	453	1241	1040	922	1238	1169	973	829	846	201	1362	1092	819	1158	1081	986	130	226	479	466	379	449	172	275	432	728	163	625	90	352	652	103	194	214	124	768	52	211	612	227	46	27	874	347	332	591	1020	365	138					
9	Число недействительных бюллетеней	414	17	3	10	0	9	6	5	9	8	14	16	6	17	6	8	10	15	28	38	9	5	5	5	10	10	1	1	8	8	15	5	8	0	14	12	2	9	0	1	11	0	5	4	0	0	0	13	3	4	7	2	4	8					
10	Число действительных бюллетеней	32395	1062	1216	928	175	626	1256	1104	946	1309	1234	992	843	883	224	1395	1164	868	1199	1152	1032	152	232	529	520	450	518	171	296	459	713	160	642	117	356	699	110	229	262	141	828	52	278	650	234	49	33	927	373	393	584	1093	395	142					
