Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Юхновская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734					
1	"Число избирателей, внесенных в списки"	11377	2392	2545	1492	399	240	201	444	376	262	275	372	263	406	492	160	216	842					
2	"Число бюллетеней, полученных участковыми комиссиями"	10251	2158	2290	1296	384	212	184	405	344	241	250	333	234	369	440	156	194	761					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6319	1272	1504	1112	220	148	88	265	186	115	114	180	132	157	274	83	109	360					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1458	77	55	0	93	40	78	108	100	77	84	99	82	115	96	56	26	272					
6	Число погашенных бюллетеней	2474	809	731	184	71	24	18	32	58	49	52	54	20	97	70	17	59	129					
7	Число бюллетеней в переносных ящиках для голосования	1458	77	55	0	93	40	78	108	100	77	84	99	82	115	96	56	26	272					
8	Число бюллетеней в стационарных ящиках для голосования	6316	1272	1501	1112	220	148	88	265	186	115	114	180	132	157	274	83	109	360					
9	Число недействительных бюллетеней	62	16	8	5	2	0	2	1	1	3	2	4	0	7	5	2	1	3					
10	Число действительных бюллетеней	7712	1333	1548	1107	311	188	164	372	285	189	196	275	214	265	365	137	134	629					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	22	20	5	18	8	8	11	5	8	8	8	8	10	8	15	15	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	106	10	13	0	18	2	4	11	5	8	3	1	0	10	8	6	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	2	11	5	6	0	1	5	3	3	2	2	2	1	1	2	0	2					
14	Число погашенных открепительных удостоверений	89	12	7	5	0	6	4	0	0	0	5	7	8	0	0	9	15	11					
15	Число открепительных удостоверений выданных ТИК	5	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	83	13	12	11	5	1	0	3	1	3	6	6	3	1	4	4	1	9					
		1.06%	0.96%	0.77%	0.98%	1.59%	0.53%	0.0%	0.80%	0.34%	1.56%	3.03%	2.15%	1.40%	0.36%	1.08%	2.87%	0.74%	1.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	86	22	10	12	2	1	1	1	2	4	0	0	2	0	6	1	1	21					
		1.10%	1.63%	0.64%	1.07%	0.63%	0.53%	0.60%	0.26%	0.69%	2.08%	0.0%	0.0%	0.93%	0.0%	1.62%	0.71%	0.74%	3.32%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	160	24	45	15	9	1	2	9	9	2	7	2	0	10	11	5	4	5					
		2.05%	1.77%	2.89%	1.34%	2.87%	0.53%	1.20%	2.41%	3.14%	1.04%	3.53%	0.71%	0.0%	3.67%	2.97%	3.59%	2.96%	0.79%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	104	20	26	13	12	3	0	1	5	0	1	4	3	1	3	1	3	8					
		1.33%	1.48%	1.67%	1.16%	3.83%	1.59%	0.0%	0.26%	1.74%	0.0%	0.50%	1.43%	1.40%	0.36%	0.81%	0.71%	2.22%	1.26%					
22	"5. ""За Русь Святую"""	29	2	11	6	2	0	1	1	0	0	1	0	0	3	0	1	0	1					
		0.37%	0.14%	0.70%	0.53%	0.63%	0.0%	0.60%	0.26%	0.0%	0.0%	0.50%	0.0%	0.0%	1.10%	0.0%	0.71%	0.0%	0.15%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	3	0	2	0	0	0	1	0	0	2	1	0	1	2	0	0	1					
		0.16%	0.22%	0.0%	0.17%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	1.01%	0.35%	0.0%	0.36%	0.54%	0.0%	0.0%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	9	9	29	0	0	0	1	3	0	0	0	2	0	3	2	0	6					
