Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Задонская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27253	1627	1577	1568	1712	1534	819	254	288	494	351	314	797	413	509	488	230	1233	220	359	363	848	934	407	341	661	501	642	215	231	452	435	304	399	398	674	139	180	383	236	449	113	167	194	229	178	851	383	412	423	324									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25850	1600	1500	1500	1700	1500	750	250	250	450	350	300	750	400	500	450	200	1200	200	350	350	800	900	350	300	650	450	600	200	200	400	400	300	400	400	650	130	170	350	200	400	100	150	150	200	150	850	350	400	400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12648	852	683	742	780	734	471	156	199	159	183	168	255	227	222	246	62	580	101	97	132	298	374	150	156	262	247	293	88	128	225	236	152	215	87	306	51	74	256	134	265	51	77	91	145	60	414	200	222	218	124									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2513	35	52	26	47	66	59	26	22	74	41	44	77	36	66	50	50	18	50	85	54	100	33	73	48	65	79	63	18	12	15	26	10	54	133	124	52	27	28	29	40	35	57	54	40	35	75	48	42	59	61									
6	Число погашенных избирательных бюллетеней	10689	713	765	732	873	700	220	68	29	217	126	88	418	137	212	154	88	602	49	168	164	402	493	127	96	323	124	244	94	60	160	138	138	131	180	220	27	69	66	37	95	14	16	5	15	55	361	102	136	123	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2513	35	52	26	47	66	59	26	22	74	41	44	77	36	66	50	50	18	50	85	54	100	33	73	48	65	79	63	18	12	15	26	10	54	133	124	52	27	28	29	40	35	57	54	40	35	75	48	42	59	61									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12648	852	683	742	780	734	471	156	199	159	183	168	255	227	222	246	62	580	101	97	132	298	374	150	156	262	247	293	88	128	225	236	152	215	87	306	51	74	256	134	265	51	77	91	145	60	414	200	222	218	124									
9	Число недействительных избирательных бюллетеней	352	25	18	13	26	29	2	0	4	2	4	1	8	3	5	2	3	27	0	7	6	12	22	6	8	10	4	0	3	3	10	9	4	9	3	6	0	2	5	1	13	0	5	4	2	0	8	5	4	6	3									
10	Число действительных избирательных бюллетеней	14809	862	717	755	801	771	528	182	217	231	220	211	324	260	283	294	109	571	151	175	180	386	385	217	196	317	322	356	103	137	230	253	158	260	217	424	103	99	279	162	292	86	129	141	183	95	481	243	260	271	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	11	12	12	15	12	6	4	2	4	3	3	5	4	4	4	2	6	2	4	4	7	5	4	4	4	3	3	2	2	3	4	3	4	4	5	2	2	3	3	8	3	3	3	3	2	5	5	3	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	8	6	7	13	9	4	3	0	0	0	0	0	0	1	1	0	0	0	4	1	5	4	1	0	2	0	0	1	1	0	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	4	3	2	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	5	7	4	3	12	0	5	1	1	1	4	1	0	2	2	2	3	0	8	2	6	4	1	1	4	2	2	0	2	3	4	1	0	1	0	1	0	2	5	1	0	2	0	0	4	2	1	1	2	1									
