Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Фрунзенская №23																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637					
1	"Число избирателей, внесенных в список"	148125	2388	2272	2620	3031	2261	2769	2582	2780	2480	2846	2719	2458	2767	2624	2675	2709	2713	2750	2494	2176	2002	2714	2607	2373	2481	2507	2436	2362	2379	2491	2467	1009	2335	1054	2018	2201	2284	2201	2919	2878	2499	2457	2309	2216	2274	2113	2023	2326	2255	2059	1996	2405	2477	2651	2337	2369	2150	2001	2101	2444	2429	2402					
2	Число полученных избирательных бюллетеней	140000	2200	2130	2670	2700	2100	2500	2500	2550	2500	2430	2500	2500	2500	2500	2500	2500	2500	2500	2500	2000	2000	2500	2500	2180	2500	2500	2220	2130	2160	2500	2500	1000	2130	1000	2000	2010	2100	2000	2650	2630	2500	2500	2140	2020	2100	2000	2000	2150	2100	2000	2000	2500	2500	2500	2150	2150	2000	2000	2000	2250	2250	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	83911	1082	1560	1980	1446	1107	1212	1327	1450	1854	1934	1409	1678	1553	1417	1422	1501	1455	1508	1369	1218	1168	1450	1402	1251	1417	1275	1344	1736	1664	1344	1331	570	1286	619	1082	1190	1843	1752	1551	1618	1439	1342	1331	1177	1315	1187	1095	1270	1143	1131	1029	1356	1285	1434	1296	1312	1171	1067	1121	1366	1394	1275					
5	"Число избирательных бюллетеней, выданных вне помещения"	1754	16	21	17	25	31	26	26	36	31	38	40	34	41	39	34	24	34	21	26	32	20	24	26	29	42	24	38	15	29	32	43	18	21	4	20	30	20	31	20	33	18	25	18	25	25	42	16	11	22	16	37	31	26	41	31	20	41	61	29	32	26	50					
6	Число погашенных избирательных бюллетеней	54335	1102	549	673	1229	962	1262	1147	1064	615	458	1051	788	906	1044	1044	975	1011	971	1105	750	812	1026	1072	900	1041	1201	838	379	467	1124	1126	412	823	377	898	790	237	217	1079	979	1043	1133	791	818	760	771	889	869	935	853	934	1113	1189	1025	823	818	788	872	850	852	830	875					
7	Число избирательных бюллетеней в переносных ящиках	1754	16	21	17	25	31	26	26	36	31	38	40	34	41	39	34	24	34	21	26	32	20	24	26	29	42	24	38	15	29	32	43	18	21	4	20	30	20	31	20	33	18	25	18	25	25	42	16	11	22	16	37	31	26	41	31	20	41	61	29	32	26	50					
8	Число бюллетеней в стационарных ящиках для голосования	83762	1082	1560	1980	1421	1107	1212	1327	1450	1854	1934	1409	1678	1553	1417	1422	1500	1446	1508	1369	1218	1166	1447	1401	1251	1417	1275	1344	1736	1664	1312	1329	567	1286	619	1082	1190	1843	1752	1549	1607	1439	1342	1331	1174	1288	1187	1095	1270	1139	1131	1028	1354	1285	1433	1293	1311	1171	1067	1121	1364	1380	1275					
9	Число недействительных избирательных бюллетеней	272	1	0	4	7	4	8	5	2	7	5	4	3	4	5	0	8	7	5	3	3	3	11	2	4	2	5	3	5	2	3	4	1	2	0	2	5	6	0	5	2	4	2	10	8	4	4	5	6	3	2	3	8	14	8	1	7	3	3	5	1	9	10					
10	Число действительных избирательных бюллетеней	85244	1097	1581	1993	1439	1134	1230	1348	1484	1878	1967	1445	1709	1590	1451	1456	1516	1473	1524	1392	1247	1183	1460	1425	1276	1457	1294	1379	1746	1691	1341	1368	584	1305	623	1100	1215	1857	1783	1564	1638	1453	1365	1339	1191	1309	1225	1106	1275	1158	1145	1062	1377	1297	1466	1323	1324	1209	1125	1145	1395	1397	1315					
11	Число полученных открепительных  удостоверений	2805	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	30	30	30	30	30	30	30	30	30	30	57					
12	Число выданных открепительных удостоверений	1251	20	17	30	20	16	25	23	19	20	15	19	21	13	25	26	30	25	19	21	17	22	30	29	20	15	29	17	14	24	20	26	10	20	13	16	19	11	16	17	17	30	27	28	14	26	17	12	21	19	9	26	26	19	26	21	13	24	12	13	21	17	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	942	21	43	15	37	21	9	12	20	18	16	14	15	15	19	12	12	9	9	14	16	10	18	19	13	14	8	16	13	7	13	14	21	20	8	13	7	12	16	21	14	20	21	15	16	14	16	5	4	19	12	11	24	9	13	13	16	9	22	13	16	12	18					
14	Число неиспользованных открепительных удостоверений	1554	28	31	18	28	32	23	25	29	28	33	29	27	35	23	22	18	23	29	27	31	26	18	19	28	33	19	31	34	24	28	22	38	28	35	32	29	37	32	31	31	18	21	20	34	22	31	36	27	29	39	22	4	11	4	9	17	6	18	17	9	13	33					
15	"Число открепительных удостоверений, выданных в ТИК"	195	7	3	1	5	3	0	3	3	3	4	6	4	7	3	5	3	0	5	6	2	3	8	3	2	9	4	4	1	0	2	1	1	4	1	4	2	6	5	6	3	4	2	1	4	1	4	3	2	6	1	2	2	2	1	1	2	4	0	3	2	5	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	3528	28	44	44	44	28	30	52	43	64	50	70	55	67	65	61	56	59	65	70	50	50	66	65	55	108	50	69	63	58	64	64	27	67	22	51	41	43	68	80	65	60	51	83	58	71	58	56	67	59	52	35	66	48	59	47	56	57	65	50	70	81	58					
		4.13%	2.55%	2.78%	2.20%	3.04%	2.46%	2.42%	3.84%	2.89%	3.40%	2.54%	4.83%	3.21%	4.20%	4.46%	4.19%	3.67%	3.99%	4.25%	5.02%	4.00%	4.22%	4.49%	4.56%	4.30%	7.40%	3.85%	4.99%	3.60%	3.43%	4.76%	4.66%	4.62%	5.13%	3.53%	4.63%	3.36%	2.31%	3.81%	5.10%	3.96%	4.12%	3.73%	6.15%	4.84%	5.41%	4.72%	5.04%	5.23%	5.08%	4.53%	3.29%	4.77%	3.66%	4.00%	3.55%	4.21%	4.70%	5.76%	4.35%	5.01%	5.76%	4.38%					
19	. Малышкин Олег Александрович	663	16	7	11	12	5	8	11	12	18	14	1	11	10	9	18	13	8	10	15	17	12	15	14	9	9	12	16	11	21	7	12	10	5	6	10	10	10	8	11	9	14	8	11	14	7	6	12	5	11	4	9	15	17	8	5	11	9	13	12	8	15	6					
		0.78%	1.46%	0.44%	0.55%	0.83%	0.44%	0.65%	0.81%	0.81%	0.95%	0.71%	0.07%	0.64%	0.63%	0.62%	1.24%	0.85%	0.54%	0.65%	1.08%	1.36%	1.01%	1.02%	0.98%	0.70%	0.62%	0.92%	1.16%	0.63%	1.24%	0.52%	0.87%	1.71%	0.38%	0.96%	0.91%	0.82%	0.54%	0.45%	0.70%	0.55%	0.96%	0.59%	0.82%	1.17%	0.53%	0.49%	1.08%	0.39%	0.95%	0.35%	0.85%	1.08%	1.30%	0.54%	0.38%	0.83%	0.74%	1.15%	1.04%	0.57%	1.07%	0.45%					
20	. Миронов Сергей Михайлович	1110	14	18	14	31	18	18	20	26	16	22	17	11	21	31	21	21	23	30	16	15	17	23	22	19	18	8	19	20	17	13	15	9	10	5	19	9	19	11	16	35	29	22	14	13	16	16	12	23	20	24	13	20	18	22	12	11	18	8	14	20	21	17					
		1.30%	1.28%	1.14%	0.70%	2.14%	1.58%	1.45%	1.48%	1.75%	0.85%	1.12%	1.17%	0.64%	1.32%	2.13%	1.44%	1.38%	1.55%	1.96%	1.15%	1.20%	1.43%	1.56%	1.54%	1.48%	1.23%	0.62%	1.37%	1.14%	1.00%	0.97%	1.09%	1.54%	0.77%	0.80%	1.72%	0.74%	1.02%	0.62%	1.02%	2.13%	1.99%	1.61%	1.04%	1.08%	1.22%	1.30%	1.08%	1.80%	1.72%	2.09%	1.22%	1.44%	1.37%	1.49%	0.91%	0.83%	1.49%	0.71%	1.22%	1.43%	1.49%	1.28%					
21	. Путин Владимир Владимирович	65178	873	1318	1564	1122	888	1007	1052	1184	1433	1533	1092	1436	1217	1063	1094	1149	1100	1179	1069	973	890	1109	1047	963	1066	1010	1035	1434	1362	1027	1044	470	1008	451	839	918	1501	1341	1159	1235	1062	1027	1015	914	975	951	818	956	847	834	818	1004	993	1051	996	984	940	834	857	1039	1011	997					
		76.22%	79.51%	83.36%	78.32%	77.59%	78.03%	81.34%	77.75%	79.68%	76.02%	77.74%	75.36%	83.88%	76.35%	73.01%	75.14%	75.39%	74.32%	77.11%	76.63%	77.84%	75.04%	75.39%	73.37%	75.23%	73.06%	77.75%	74.89%	81.90%	80.45%	76.41%	76.09%	80.34%	77.12%	72.39%	76.13%	75.25%	80.57%	75.21%	73.87%	75.30%	72.89%	75.13%	75.24%	76.23%	74.26%	77.38%	73.63%	74.63%	72.95%	72.71%	76.81%	72.49%	75.74%	71.30%	75.23%	73.93%	77.56%	73.94%	74.52%	74.43%	71.91%	75.25%					
22	. Хакамада Ирина Муцуовна	4982	65	85	108	92	72	51	76	65	89	93	99	60	90	78	89	86	96	53	73	67	68	90	78	83	85	80	90	83	69	71	72	18	61	56	52	94	82	108	107	111	111	86	76	69	93	49	70	72	79	76	67	101	70	121	96	101	53	72	82	81	116	96					
		5.83%	5.92%	5.38%	5.41%	6.36%	6.33%	4.12%	5.62%	4.37%	4.72%	4.72%	6.83%	3.50%	5.65%	5.36%	6.11%	5.64%	6.49%	3.47%	5.23%	5.36%	5.73%	6.12%	5.47%	6.48%	5.83%	6.16%	6.51%	4.74%	4.08%	5.28%	5.25%	3.08%	4.67%	8.99%	4.72%	7.70%	4.40%	6.06%	6.82%	6.77%	7.62%	6.29%	5.63%	5.75%	7.08%	3.99%	6.30%	5.62%	6.80%	6.63%	6.29%	7.29%	5.34%	8.21%	7.25%	7.59%	4.37%	6.38%	7.13%	5.80%	8.25%	7.25%					
23	. Харитонов Николай Михайлович	6270	52	79	56	99	77	74	91	113	107	128	126	95	109	140	120	117	120	122	106	85	105	108	130	111	108	94	109	90	106	109	114	30	114	43	93	102	67	103	125	119	121	108	103	86	101	104	96	100	97	111	69	117	94	150	113	115	93	87	92	118	106	93					
		7.33%	4.74%	5.00%	2.80%	6.85%	6.77%	5.98%	6.73%	7.60%	5.68%	6.49%	8.70%	5.55%	6.84%	9.62%	8.24%	7.68%	8.11%	7.98%	7.60%	6.80%	8.85%	7.34%	9.11%	8.67%	7.40%	7.24%	7.89%	5.14%	6.26%	8.11%	8.31%	5.13%	8.72%	6.90%	8.44%	8.36%	3.60%	5.78%	7.97%	7.26%	8.30%	7.90%	7.64%	7.17%	7.69%	8.46%	8.64%	7.81%	8.35%	9.68%	6.48%	8.45%	7.17%	10.18%	8.53%	8.64%	7.67%	7.71%	8.00%	8.45%	7.54%	7.02%					
																																																																					
24	Против всех	3513	49	30	196	39	46	42	46	41	151	127	40	41	76	65	53	74	67	65	43	40	41	49	69	36	63	40	41	45	58	50	47	20	40	40	36	41	135	144	66	64	56	63	37	37	46	41	42	52	45	44	51	54	57	55	54	46	39	46	38	59	47	48					
		4.11%	4.46%	1.90%	9.81%	2.70%	4.04%	3.39%	3.40%	2.76%	8.01%	6.44%	2.76%	2.39%	4.77%	4.46%	3.64%	4.86%	4.53%	4.25%	3.08%	3.20%	3.46%	3.33%	4.84%	2.81%	4.32%	3.08%	2.97%	2.57%	3.43%	3.72%	3.43%	3.42%	3.06%	6.42%	3.27%	3.36%	7.25%	8.08%	4.21%	3.90%	3.84%	4.61%	2.74%	3.09%	3.50%	3.34%	3.78%	4.06%	3.88%	3.84%	4.79%	3.90%	4.35%	3.73%	4.08%	3.46%	3.22%	4.08%	3.30%	4.23%	3.34%	3.62%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
