Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Мичуринская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
1	"Число избирателей, внесенных в список"	25505	1376	1591	1381	1526	922	61	427	376	653	228	488	597	1261	1178	130	195	118	1169	458	141	531	673	347	697	415	346	206	419	96	368	241	124	302	419	144	451	95	125	415	647	351	157	438	544	279	701	486	400	678	134					
2	Число полученных избирательных бюллетеней	25454	1400	1500	1350	1400	900	60	420	400	650	220	500	600	1300	1100	140	220	135	1180	460	144	530	660	360	680	420	340	200	430	100	360	260	125	300	410	153	470	94	140	430	660	390	176	460	540	295	660	475	390	690	177					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14520	730	778	668	792	504	42	283	215	393	126	358	424	699	891	105	113	87	613	248	70	214	288	162	453	276	174	105	248	62	174	119	90	244	248	116	321	52	86	225	375	157	105	295	307	139	305	297	268	368	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	3928	207	139	82	140	97	18	88	113	46	39	60	66	209	14	16	68	16	217	135	51	217	229	69	94	60	108	79	60	28	91	65	14	11	62	14	108	42	27	99	56	112	33	57	41	56	110	33	36	96	0					
6	Число погашенных избирательных бюллетеней	7006	463	583	600	468	299	0	49	72	211	55	82	110	392	195	19	39	32	350	77	23	99	143	129	133	84	58	16	122	10	95	76	21	45	100	23	41	0	27	106	229	121	38	108	192	100	245	145	86	226	69					
7	Число избирательных бюллетеней в переносных ящиках	3928	207	139	82	140	97	18	88	113	46	39	60	66	209	14	16	68	16	217	135	51	217	229	69	94	60	108	79	60	28	91	65	14	11	62	14	108	42	27	99	56	112	33	57	41	56	110	33	36	96	0					
8	Число бюллетеней в стационарных ящиках для голосования	14517	730	778	668	792	504	42	283	215	390	126	358	424	699	891	105	113	87	613	248	70	214	288	162	453	276	174	105	248	62	174	119	90	244	248	116	321	52	86	225	375	157	105	295	307	139	305	297	268	368	108					
9	Число недействительных избирательных бюллетеней	193	5	12	8	6	6	1	1	4	4	1	4	4	8	10	1	4	1	4	5	3	7	0	2	5	7	3	3	4	1	5	0	1	3	6	0	7	0	0	5	5	3	2	4	10	3	0	4	4	6	1					
10	Число действительных избирательных бюллетеней	18252	932	905	742	926	595	59	370	324	432	164	414	486	900	895	120	177	102	826	378	118	424	517	229	542	329	279	181	304	89	260	184	103	252	304	130	422	94	113	319	426	266	136	348	338	192	415	326	300	458	107					
11	Число полученных открепительных  удостоверений	297	10	10	4	16	10	3	6	6	6	6	6	6	10	10	3	5	3	10	6	3	6	6	6	6	6	6	6	6	3	6	5	3	4	6	3	5	3	3	6	6	6	4	6	6	6	6	6	6	6	5					
12	Число выданных открепительных удостоверений	92	3	8	3	14	1	0	2	3	0	0	6	6	1	2	0	0	2	1	5	1	0	0	2	4	3	2	1	1	0	0	0	0	3	1	0	3	0	0	0	2	0	0	3	3	2	0	0	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	0	0	1	4	2	2	2	5	1	1	3	3	5	4	2	2	6	2	0	0	2	0	4	4	0	4	0	3	2	3	0	3	2	0	0	0	2	2	2	4	2	1	4	1	2	0	0	0	2	0					
14	Число неиспользованных открепительных удостоверений	205	7	2	1	2	9	3	4	3	6	6	0	0	9	8	3	5	1	9	1	2	6	6	4	2	3	4	5	5	3	6	5	3	1	5	3	2	3	3	6	4	6	4	3	3	4	6	6	5	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
