Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Волоколамская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113					
1	"Число избирателей, внесенных в список"	41597	1380	2699	2566	2466	2919	2617	1726	1566	866	1461	1259	304	940	1371	732	414	737	1137	333	2703	857	732	688	2572	709	1236	482	528	933	1084	546	1034					
2	Число полученных избирательных бюллетеней	40570	1317	2577	2490	2335	2806	2516	1684	1513	854	1458	1234	293	922	1299	760	414	733	1237	327	2660	853	711	665	2478	700	1230	465	518	918	1052	603	948					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19240	561	1124	1237	1102	1329	1186	640	790	384	601	501	154	486	562	334	271	423	481	171	1375	426	367	276	1056	334	635	266	260	482	533	546	347					
5	"Число избирательных бюллетеней, выданных вне помещения"	2593	30	104	41	31	30	16	51	56	141	70	63	34	29	237	48	35	81	236	68	38	100	79	106	254	109	111	51	70	118	78	0	78					
6	Число погашенных избирательных бюллетеней	18737	726	1349	1212	1202	1447	1314	993	667	329	787	670	105	407	500	378	108	229	520	88	1247	327	265	283	1168	257	484	148	188	318	441	57	523					
7	Число избирательных бюллетеней в переносных ящиках	2593	30	104	41	31	30	16	51	56	141	70	63	34	29	237	48	35	81	236	68	38	100	79	106	254	109	111	51	70	118	78	0	78					
8	Число бюллетеней в стационарных ящиках для голосования	19235	561	1124	1237	1102	1329	1184	640	790	384	601	501	154	486	562	334	271	423	481	171	1375	426	367	276	1056	334	635	266	260	482	533	545	345					
9	Число недействительных избирательных бюллетеней	259	10	12	30	8	10	6	5	21	8	9	4	0	9	8	5	5	14	8	0	20	5	6	2	6	4	11	6	0	8	4	9	6					
10	Число действительных избирательных бюллетеней	21569	581	1216	1248	1125	1349	1194	686	825	517	662	560	188	506	791	377	301	490	709	239	1393	521	440	380	1304	439	735	311	330	592	607	536	417					
11	Число полученных открепительных  удостоверений	1780	60	70	70	70	70	70	60	60	50	60	60	50	50	60	50	50	50	60	50	70	50	50	50	70	50	60	50	50	50	60	0	50					
12	Число выданных открепительных удостоверений	371	8	7	2	5	9	11	18	10	8	6	11	3	2	10	46	11	18	20	7	18	20	7	2	11	33	25	20	7	4	5	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	280	7	19	7	9	12	12	8	6	9	3	3	3	2	25	9	2	7	12	6	9	8	8	2	48	4	5	4	5	4	13	0	9					
14	Число неиспользованных открепительных удостоверений	1409	52	63	68	65	61	59	42	50	42	54	49	47	48	50	4	39	32	40	43	52	30	43	48	59	17	35	30	43	46	55	0	43					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	737	28	51	36	74	50	62	30	41	20	27	21	4	15	18	3	5	6	15	5	59	11	7	14	38	1	27	16	7	14	16	8	8					
