Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Шуйская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804					
1	"Число избирателей, внесенных в списки"	17427	380	382	107	1020	162	104	362	442	88	237	183	693	994	448	2747	689	579	279	278	392	307	294	333	745	364	2374	229	2215					
2	"Число бюллетеней, полученных участковыми комиссиями"	15700	340	345	96	920	147	93	323	395	76	220	167	622	900	420	2480	618	520	252	250	366	280	270	297	664	304	2125	210	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8577	203	162	60	551	71	52	181	292	49	148	105	382	505	273	1321	247	264	133	144	138	158	190	139	352	178	1306	100	873					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1417	44	35	21	72	54	16	41	26	13	11	26	61	43	15	166	135	163	24	25	94	2	9	34	33	26	33	37	158					
6	Число погашенных бюллетеней	5706	93	148	15	297	22	25	101	77	14	61	36	179	352	132	993	236	93	95	81	134	120	71	124	279	100	786	73	969					
7	Число бюллетеней в переносных ящиках для голосования	1417	44	35	21	72	54	16	41	26	13	11	26	61	43	15	166	135	163	24	25	94	2	9	34	33	26	33	37	158					
8	Число бюллетеней в стационарных ящиках для голосования	8577	203	162	60	551	71	52	181	292	49	148	105	382	505	273	1321	247	264	133	144	138	158	190	139	352	178	1306	100	873					
9	Число недействительных бюллетеней	102	4	3	0	6	2	0	5	3	2	1	0	3	7	3	15	12	3	0	1	3	1	2	4	4	2	5	1	10					
10	Число действительных бюллетеней	9892	243	194	81	617	123	68	217	315	60	158	131	440	541	285	1472	370	424	157	168	229	159	197	169	381	202	1334	136	1021					
