Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    пгт Прогресс																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781					
1	"Число избирателей, внесенных в список избирателей"	12287	295	527	1926	2318	2690	1832	754	402	646	897					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11912	288	520	1879	2389	2613	1860	720	387	528	728					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6243	148	249	929	1275	1473	1006	337	155	296	375					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	292	3	5	41	84	66	27	11	14	18	23					
6	Число погашенных избирательных бюллетеней	5377	137	266	909	1030	1074	827	372	218	214	330					
7	Число избирательных бюллетеней в переносных ящиках для голосования	292	3	5	41	84	66	27	11	14	18	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6235	148	249	923	1275	1471	1006	337	155	296	375					
9	Число недействительных избирательных бюллетеней	218	3	4	22	38	51	24	14	4	9	49					
10	Число действительных избирательных бюллетеней	6309	148	250	942	1321	1486	1009	334	165	305	349					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	121	3	8	22	21	27	16	6	3	9	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	109	3	7	21	21	21	16	6	0	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	130	10	12	5	16	34	8	36	3	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	12	0	1	1	0	6	0	0	3	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	1	0	0	2	0	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	509	11	22	74	100	118	92	25	10	35	22					
		7.80%	7.28%	8.66%	7.68%	7.36%	7.68%	8.91%	7.18%	5.92%	11.15%	5.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1722	47	82	263	324	393	285	99	59	83	87					
		26.38%	31.13%	32.28%	27.28%	23.84%	25.57%	27.59%	28.45%	34.91%	26.43%	21.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	134	2	4	26	29	27	21	5	3	9	8					
		2.05%	1.32%	1.57%	2.70%	2.13%	1.76%	2.03%	1.44%	1.78%	2.87%	2.01%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1466	24	38	223	313	350	266	56	35	64	97					
		22.46%	15.89%	14.96%	23.13%	23.03%	22.77%	25.75%	16.09%	20.71%	20.38%	24.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	0	3	19	20	22	17	3	2	0	5					
		1.39%	0.00%	1.18%	1.97%	1.47%	1.43%	1.65%	0.86%	1.18%	0.00%	1.26%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2346	63	101	330	526	562	322	146	56	114	126					
		35.94%	41.72%	39.76%	34.23%	38.70%	36.56%	31.17%	41.95%	33.14%	36.31%	31.66%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	41	1	0	7	9	14	6	0	0	0	4					
		0.63%	0.66%	0.00%	0.73%	0.66%	0.91%	0.58%	0.00%	0.00%	0.00%	1.01%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
