Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Чановская 																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218					
1	"Число избирателей, внесенных в список избирателей"	20469	865	1055	930	790	895	300	246	670	897	122	258	573	124	228	182	176	487	238	87	106	453	236	216	147	154	262	133	150	292	382	83	615	337	880	188	330	395	523	65	61	266	129	103	31	469	872	507	356	98	99	609	375	153	250	121	438	185	277					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20160	860	1000	900	770	960	320	230	620	820	120	250	570	120	220	180	170	480	230	90	110	450	230	210	140	150	330	120	140	290	380	80	610	320	880	180	320	380	520	60	60	260	120	100	30	460	870	520	360	110	100	610	360	140	240	120	440	180	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12348	441	633	499	415	533	177	109	361	411	80	186	287	93	140	144	170	281	139	60	90	289	199	156	114	123	262	107	125	194	216	55	308	205	416	125	151	182	251	43	46	154	119	91	28	300	595	285	277	88	81	365	255	124	200	80	260	119	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1203	41	81	75	37	55	41	44	17	90	4	10	56	0	13	0	0	26	18	3	0	28	5	12	4	0	0	0	0	17	18	8	24	27	68	17	20	15	78	3	0	18	0	0	0	46	0	23	21	10	0	19	0	0	0	2	27	9	73					
6	Число погашенных избирательных бюллетеней	6609	378	286	326	318	372	102	77	242	319	36	54	227	27	67	36	0	173	73	27	20	133	26	42	22	27	68	13	15	79	146	17	278	88	396	38	149	183	191	14	14	88	1	9	2	114	275	212	62	12	19	226	105	16	40	38	153	52	86					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1202	41	81	75	37	55	40	44	17	90	4	10	56	0	13	0	0	26	18	3	0	28	5	12	4	0	0	0	0	17	18	8	24	27	68	17	20	15	78	3	0	18	0	0	0	46	0	23	21	10	0	19	0	0	0	2	27	9	73					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12343	441	633	499	415	533	172	109	361	411	80	186	287	93	140	144	170	281	139	60	90	289	199	156	114	123	262	107	125	194	216	55	308	205	416	125	151	182	251	43	46	154	119	91	28	300	595	285	277	88	81	365	255	124	200	80	260	119	111					
9	Число недействительных избирательных бюллетеней	198	7	10	8	9	15	6	2	8	6	0	6	7	0	6	0	1	3	2	2	0	4	5	0	2	7	0	1	0	3	2	2	5	6	5	0	0	4	4	0	4	1	4	0	0	1	8	3	3	0	2	3	1	0	6	6	4	4	0					
10	Число действительных избирательных бюллетеней	13347	475	704	566	443	573	206	151	370	495	84	190	336	93	147	144	169	304	155	61	90	313	199	168	116	116	262	106	125	208	232	61	327	226	479	142	171	193	325	46	42	171	115	91	28	345	587	305	295	98	79	381	254	124	194	76	283	124	184					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	462	13	20	26	11	16	1	4	12	12	5	2	5	2	4	4	4	12	10	5	6	10	13	12	7	6	19	6	5	9	8	7	10	7	10	6	5	7	12	5	2	5	0	5	1	10	12	9	8	5	6	13	2	5	7	6	12	6	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	451	13	20	26	11	16	1	4	12	12	5	2	5	2	4	4	4	12	10	5	6	10	13	12	7	6	19	6	5	9	7	7	10	7	10	6	5	7	9	2	2	5	0	5	1	10	12	9	8	5	6	13	2	5	6	6	12	6	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	193	4	17	8	25	4	3	3	8	3	3	6	2	1	0	1	3	5	1	1	1	3	2	1	4	1	2	3	0	0	5	1	3	9	8	5	2	3	1	2	1	2	3	1	0	4	5	2	0	1	3	0	7	1	1	4	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	5	6	4	1	6	2	1	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0					
