Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Усть-Янская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658					
1	"Число избирателей, внесенных в списки избирателей"	5451	448	1130	1087	93	321	368	246	310	413	470	186	312	67					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5215	440	1000	1000	93	318	342	240	330	413	477	180	310	72					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	205	30	83	21	2	0	0	16	0	11	16	0	26	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3712	331	662	684	77	242	258	185	232	252	337	165	239	48					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	249	15	56	61	0	8	14	8	24	38	20	0	5	0					
6	Число погашенных избирательных бюллетеней	1049	64	199	234	14	68	70	31	74	112	104	15	40	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	454	45	139	82	2	8	14	24	24	49	36	0	31	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3712	331	662	684	77	242	258	185	232	252	337	165	239	48					
9	Число недействительных избирательных бюллетеней	28	0	12	4	0	1	3	0	1	2	5	0	0	0					
10	Число действительных избирательных бюллетеней	4138	376	789	762	79	249	269	209	255	299	368	165	270	48					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	270	30	30	30	10	20	20	15	20	20	20	15	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	54	8	8	14	0	2	0	0	1	5	7	0	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	23	1	4	6	4	0	1	0	1	2	0	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	216	22	22	16	10	18	20	15	19	15	13	15	27	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	3	3	0	0	1	0	1	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	27	6	4	3	0	2	6	0	1	2	0	2	1	0					
		0.65%	1.60%	0.50%	0.39%	0.00%	0.80%	2.21%	0.00%	0.39%	0.66%	0.00%	1.21%	0.37%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	1	9	4	0	0	1	2	0	1	2	1	1	0					
		0.53%	0.27%	1.12%	0.52%	0.00%	0.00%	0.37%	0.96%	0.00%	0.33%	0.54%	0.61%	0.37%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	0	0	1	0	1	0	0	0	2	1	2	0	0					
		0.17%	0.00%	0.00%	0.13%	0.00%	0.40%	0.00%	0.00%	0.00%	0.66%	0.27%	1.21%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	336	25	36	69	11	16	15	31	21	23	41	8	39	1					
		8.07%	6.65%	4.49%	9.01%	13.92%	6.40%	5.51%	14.83%	8.20%	7.64%	10.99%	4.85%	14.44%	2.08%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	23	2	2	8	0	0	0	0	0	2	4	5	0	0					
		0.55%	0.53%	0.25%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	1.07%	3.03%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	0	1	0	0	0	2	1	0	0	0	0	0	0					
		0.10%	0.00%	0.12%	0.00%	0.00%	0.00%	0.74%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	194	4	55	56	2	17	21	3	25	2	4	2	1	2					
		4.66%	1.06%	6.87%	7.31%	2.53%	6.80%	7.72%	1.44%	9.77%	0.66%	1.07%	1.21%	0.37%	4.17%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	276	24	70	50	8	15	10	17	11	13	31	6	21	0					
		6.63%	6.38%	8.74%	6.53%	10.13%	6.00%	3.68%	8.13%	4.30%	4.32%	8.31%	3.64%	7.78%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	16	2	2	4	2	2	0	1	0	0	1	0	2	0					
		0.38%	0.53%	0.25%	0.52%	2.53%	0.80%	0.00%	0.48%	0.00%	0.00%	0.27%	0.00%	0.74%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3213	312	606	562	55	194	212	154	192	254	284	139	204	45					
		77.12%	82.98%	75.66%	73.37%	69.62%	77.60%	77.94%	73.68%	75.00%	84.39%	76.14%	84.24%	75.56%	93.75%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	0	4	5	1	2	2	0	5	0	0	0	1	0					
		0.48%	0.00%	0.50%	0.65%	1.27%	0.80%	0.74%	0.00%	1.95%	0.00%	0.00%	0.00%	0.37%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
