Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Усть-Янская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638					
1	"Число избирателей, внесенных в список избирателей"	4968	378	962	1149	80	296	254	247	243	363	442	191	302	61					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5210	450	950	1000	90	350	270	250	300	400	500	200	380	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	88	31	0	0	8	0	0	5	0	22	0	0	22	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3156	284	505	691	63	174	165	158	189	219	300	144	211	53					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	239	8	19	93	0	19	13	7	13	28	19	13	7	0					
6	Число погашенных избирательных бюллетеней	1727	127	426	216	19	157	92	80	98	131	181	43	140	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	327	39	19	93	8	19	13	12	13	50	19	13	29	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3156	284	505	691	63	174	165	158	189	219	300	144	211	53					
9	Число недействительных избирательных бюллетеней	26	1	6	4	0	2	2	0	2	4	3	1	1	0					
10	Число действительных избирательных бюллетеней	3457	322	518	780	71	191	176	170	200	265	316	156	239	53					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	20	30	30	10	20	20	20	20	20	20	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	90	12	4	14	9	0	2	1	0	16	14	8	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	3	0	23	6	0	2	0	0	6	0	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	160	8	26	16	1	20	18	19	20	4	6	2	20	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	2	4	5	0	1	0	2	0	2	3	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	703	147	101	139	4	23	36	46	17	45	43	28	66	8					
		20.18%	45.51%	19.27%	17.73%	5.63%	11.92%	20.22%	27.06%	8.42%	16.73%	13.48%	17.83%	27.50%	15.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	236	3	51	61	0	37	22	4	42	5	2	3	5	1					
		6.78%	0.93%	9.73%	7.78%	0.00%	19.17%	12.36%	2.35%	20.79%	1.86%	0.63%	1.91%	2.08%	1.89%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	1	6	7	0	4	3	4	3	2	2	1	5	0					
		1.09%	0.31%	1.15%	0.89%	0.00%	2.07%	1.69%	2.35%	1.49%	0.74%	0.63%	0.64%	2.08%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	563	47	68	139	31	21	28	43	42	36	55	14	36	3					
		16.16%	14.55%	12.98%	17.73%	43.66%	10.88%	15.73%	25.29%	20.79%	13.38%	17.24%	8.92%	15.00%	5.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	0	12	19	0	7	3	3	5	0	0	0	1	0					
		1.44%	0.00%	2.29%	2.42%	0.00%	3.63%	1.69%	1.76%	2.48%	0.00%	0.00%	0.00%	0.42%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1852	122	280	408	36	99	83	69	90	176	212	110	126	41					
		53.17%	37.77%	53.44%	52.04%	50.70%	51.30%	46.63%	40.59%	44.55%	65.43%	66.46%	70.06%	52.50%	77.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	2	0	7	0	0	1	1	1	1	2	0	0	0					
		0.43%	0.62%	0.00%	0.89%	0.00%	0.00%	0.56%	0.59%	0.50%	0.37%	0.63%	0.00%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
