Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																								
Дата голосования: 18.09.2016																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Химкинская городская																																																																																																								
																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																								
																																																																																																								
		Сумма	УИК №1740	УИК №2372	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3563	УИК №3564	УИК №3565	УИК №3566	УИК №3567	УИК №3568	УИК №3569									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	161281	106	485	1834	1920	1775	2279	2180	942	1887	2529	1970	2057	2137	1135	856	1192	1698	1782	1666	1925	2007	2037	2082	1967	2256	2296	2309	2160	1153	2194	2260	2303	1889	1487	1881	1776	2164	1370	1909	1751	1545	1102	2058	2375	2130	2203	2344	2228	1872	1619	2407	2254	1990	1676	2031	1152	1284	2246	1655	2188	1830	2196	1539	847	912	1962	1977	2348	1821	815	1673	676	2089	1445	871	1143	1937	1702	950	1759	1950	2228	728	1380	508	2528	2010	1341	436	2681	1895	1580	1559									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	115273	1000	1000	1261	1308	1228	1598	1518	652	1301	1734	1368	1436	1506	788	587	830	1151	1237	1292	1349	1382	1295	1445	1360	1566	1607	1608	1510	1279	1534	1563	1593	1536	1027	1302	1249	1520	957	1327	1222	1051	755	1420	1660	1477	1543	1641	1555	1313	1126	1690	1563	1412	1144	1383	780	883	1574	1140	1541	1285	1534	1070	496	497	1101	1362	1583	1224	494	1154	1651	1397	1003	612	755	1330	1202	1161	1222	1357	1453	475	923	330	1570	1145	863	960	1826	1333	1131	1097									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54238	103	485	681	701	546	691	652	343	635	792	699	641	736	361	332	437	556	503	639	524	714	638	691	635	700	704	873	1330	1151	756	687	771	770	494	662	581	593	419	545	549	352	332	639	677	728	727	799	703	618	529	616	554	451	449	439	332	396	701	533	700	748	780	509	305	221	1079	565	672	577	293	530	670	555	362	307	316	496	495	944	487	536	657	224	422	211	800	549	476	436	751	495	616	559									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	982	0	0	6	7	8	9	4	6	5	4	14	11	15	18	3	8	5	10	3	8	10	174	1	5	5	4	4	1	2	4	4	6	6	6	7	2	16	6	8	5	0	2	2	9	13	4	5	9	8	2	4	9	3	0	2	1	1	5	5	22	4	13	4	0	137	1	6	11	8	58	14	6	9	5	5	4	4	4	6	6	1	96	19	0	3	10	0	2	0	4	11	5	0									
6	Число погашенных избирательных бюллетеней	60053	897	515	574	600	674	898	862	303	661	938	655	784	755	409	252	385	590	724	650	817	658	483	753	720	861	899	731	179	126	774	872	816	760	527	633	666	911	532	774	668	699	421	779	974	736	812	837	843	687	595	1070	1000	958	695	942	447	486	868	602	819	533	741	557	191	139	21	791	900	639	143	610	975	833	636	300	435	830	703	211	729	820	700	232	501	116	760	596	385	524	1071	827	510	538									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	982	0	0	6	7	8	9	4	6	5	4	14	11	15	18	3	8	5	10	3	8	10	174	1	5	5	4	4	1	2	4	4	6	6	6	7	2	16	6	8	5	0	2	2	9	13	4	5	9	8	2	4	9	3	0	2	1	1	5	5	22	4	13	4	0	137	1	6	11	8	58	14	6	9	5	5	4	4	4	6	6	1	96	19	0	3	10	0	2	0	4	11	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54042	103	485	681	701	544	690	652	343	624	790	697	639	732	360	331	437	553	503	639	516	713	638	691	635	675	694	865	1330	1151	756	687	771	770	490	660	581	591	419	545	549	352	332	637	677	728	727	796	703	616	529	616	554	448	448	436	332	395	701	533	700	677	780	499	305	221	1079	565	672	577	293	530	670	554	362	307	312	496	495	944	487	536	657	224	422	211	800	549	474	436	747	495	616	559									
9	Число недействительных избирательных бюллетеней	1302	1	11	1	16	10	20	14	6	30	35	20	24	34	9	9	0	31	13	12	9	15	12	1	24	7	10	4	22	7	16	21	21	34	27	3	0	22	23	11	24	12	9	13	11	34	15	18	32	24	15	22	8	4	9	6	4	3	21	12	15	17	24	12	6	23	21	14	29	22	15	0	12	13	14	9	7	4	17	3	14	18	20	5	4	11	0	8	13	2	12	16	17	4									
10	Число действительных избирательных бюллетеней	53722	102	474	686	692	542	679	642	343	599	759	691	626	713	369	325	445	527	500	630	515	708	800	691	616	673	688	865	1309	1146	744	670	756	742	469	664	583	585	402	542	530	340	325	626	675	707	716	783	680	600	516	598	555	447	439	432	329	393	685	526	707	664	769	491	299	335	1059	557	654	563	336	544	664	550	353	303	309	496	482	947	479	519	733	238	418	203	810	541	463	434	739	490	604	555									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1109	0	0	10	15	10	15	15	5	10	20	15	15	20	5	10	5	15	10	15	7	10	15	15	25	25	11	10	10	10	15	15	10	15	10	5	10	10	10	5	10	10	10	14	10	10	15	10	10	10	5	10	25	20	10	15	10	15	10	10	20	20	10	10	11	5	5	10	20	15	5	6	20	10	20	5	10	15	30	15	10	10	15	5	10	5	10	10	15	10	20	5	25	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	880	0	0	8	13	9	14	12	4	8	16	13	11	17	3	6	4	13	9	11	5	8	11	10	24	20	11	7	7	9	14	13	8	15	10	5	7	7	6	2	8	9	5	9	8	8	10	10	8	7	5	10	16	14	6	13	8	8	7	8	15	16	10	9	8	5	5	8	15	11	3	6	19	9	11	4	7	10	27	10	9	9	15	5	5	3	10	7	12	8	13	5	19	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1256	51	196	35	19	24	7	14	15	4	21	17	3	6	8	14	5	8	4	17	5	2	18	25	9	2	4	9	10	20	11	10	8	6	4	9	6	1	5	7	7	7	36	5	3	17	13	12	19	11	8	8	16	8	14	8	21	6	15	17	4	10	9	21	13	16	9	5	13	50	8	6	5	12	13	3	4	12	2	5	5	7	12	11	32	5	13	17	1	7	23	3	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	229	0	0	2	2	1	1	3	1	2	4	2	4	3	2	4	1	2	1	4	2	2	4	5	1	5	0	3	3	1	1	2	2	0	0	0	3	3	4	3	2	1	5	5	2	2	5	0	2	3	0	0	9	6	4	2	2	7	3	2	5	4	0	1	3	0	0	2	5	4	2	0	1	1	9	1	3	5	3	5	1	1	0	0	5	2	0	3	3	2	7	0	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	888	0	0	10	12	11	10	7	11	7	18	8	8	13	4	2	4	5	6	12	9	2	16	9	11	13	7	11	17	15	5	7	8	8	5	8	14	8	10	13	5	15	12	6	13	5	15	7	16	10	5	15	6	22	10	13	8	17	16	8	7	7	11	4	7	2	6	10	11	8	6	7	22	10	7	3	3	11	5	11	9	5	24	6	7	3	16	14	8	10	17	10	18	15									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2920	5	17	25	46	33	54	60	25	44	45	49	58	63	23	18	31	36	35	39	30	46	38	48	35	20	37	32	32	45	43	42	41	42	19	20	16	43	32	43	39	15	19	37	47	42	39	55	48	27	22	46	37	14	22	6	20	14	33	35	35	28	45	33	17	10	35	23	44	34	22	12	28	31	8	13	11	17	22	32	21	18	30	20	20	22	73	38	29	16	30	14	34	28									
		5.31%	4.85%	3.51%	3.64%	6.50%	5.98%	7.73%	9.15%	7.16%	6.99%	5.67%	6.89%	8.92%	8.43%	6.08%	5.39%	6.97%	6.45%	6.82%	6.07%	5.73%	6.36%	4.68%	6.94%	5.47%	2.94%	5.30%	3.68%	2.40%	3.90%	5.66%	6.08%	5.28%	5.41%	3.83%	2.99%	2.74%	7.08%	7.53%	7.78%	7.04%	4.26%	5.69%	5.79%	6.85%	5.67%	5.34%	6.87%	6.74%	4.33%	4.14%	7.42%	6.57%	3.10%	4.91%	1.37%	6.01%	3.54%	4.67%	6.51%	4.85%	4.11%	5.67%	6.56%	5.57%	2.79%	3.24%	4.03%	6.44%	5.81%	6.27%	2.21%	4.14%	5.51%	2.18%	4.17%	3.48%	3.40%	4.41%	3.37%	4.26%	3.35%	3.98%	8.23%	4.74%	10.28%	9.01%	6.92%	6.09%	3.67%	3.99%	2.77%	5.48%	5.01%									
