Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Чукотская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2368	334	179	233	317	686	619									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2761	420	185	235	416	712	793									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	44	15	0	0	0	16	13									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1831	288	150	180	297	475	441									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	17	0	1	2	0	8	6									
6	Число погашенных избирательных бюллетеней	869	117	34	53	119	213	333									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	61	15	1	2	0	24	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1829	287	150	180	297	474	441									
9	Число недействительных избирательных бюллетеней	83	32	2	4	8	19	18									
10	Число действительных избирательных бюллетеней	1807	270	149	178	289	479	442									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	25	20	20	25	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	2	2	1	2	22	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	2	0	1	0	18	1									
14	Число погашенных неиспользованных открепительных удостоверений	95	23	18	19	23	3	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	3	1	2	2	21	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	5	2	1	3	3	5									
		1.01%	1.66%	1.32%	0.55%	1.01%	0.60%	1.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	20	6	2	1	0	5	6									
		1.06%	1.99%	1.32%	0.55%	0.00%	1.00%	1.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	8	2	3	9	10	5									
		1.96%	2.65%	1.32%	1.65%	3.03%	2.01%	1.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1351	193	132	142	235	311	338									
		71.48%	63.91%	87.42%	78.02%	79.12%	62.45%	73.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	2	0	0	2	3	3									
		0.53%	0.66%	0.00%	0.00%	0.67%	0.60%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	2	0	0	1	1	3									
		0.37%	0.66%	0.00%	0.00%	0.34%	0.20%	0.65%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	213	23	9	17	20	95	49									
		11.27%	7.62%	5.96%	9.34%	6.73%	19.08%	10.65%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	4	0	1	0	2	1									
		0.42%	1.32%	0.00%	0.55%	0.00%	0.40%	0.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	3	0	0	0	3	4									
		0.53%	0.99%	0.00%	0.00%	0.00%	0.60%	0.87%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	2	1									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.40%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	0	0	0	3	6	2									
		0.58%	0.00%	0.00%	0.00%	1.01%	1.20%	0.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	72	16	2	5	8	27	14									
		3.81%	5.30%	1.32%	2.75%	2.69%	5.42%	3.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	1	0	1	2	2	1									
		0.37%	0.33%	0.00%	0.55%	0.67%	0.40%	0.22%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	39	7	0	7	6	9	10									
		2.06%	2.32%	0.00%	3.85%	2.02%	1.81%	2.17%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
