Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Новоалександровская 																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928					
1	"Число избирателей, внесенных в списки"	49839	1632	1261	2472	2859	2284	2205	2426	1760	2036	1419	944	1618	153	1009	168	678	284	1033	854	640	215	104	337	1927	704	166	187	952	1371	1845	1620	213	229	406	79	208	193	201	199	2465	1234	160	847	2651	663	856	370	245	177	1280					
2	"Число бюллетеней, полученных участковыми комиссиями"	45204	1365	1155	2275	2520	2090	1925	2210	1570	1940	1270	910	1465	175	895	270	595	250	935	755	580	195	114	300	1730	640	165	200	860	1225	1665	1455	210	210	355	86	200	196	200	200	2195	1115	156	755	2370	600	770	330	225	182	1150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22307	628	544	882	962	892	847	918	624	663	599	370	582	100	545	141	364	165	487	481	300	131	72	208	1005	355	94	136	404	530	813	764	130	156	282	57	149	120	113	147	1109	772	106	456	1183	322	438	254	130	133	644					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1362	33	70	44	29	44	52	46	14	60	20	11	25	10	42	27	10	7	51	17	10	9	6	25	111	71	6	12	20	35	38	28	19	0	22	0	11	3	10	11	56	13	0	26	63	38	37	11	5	9	45					
6	Число погашенных бюллетеней	21535	704	541	1349	1529	1154	1026	1246	932	1217	651	529	858	65	308	102	221	78	397	257	270	55	36	67	614	214	65	52	436	660	814	663	61	54	51	29	40	73	77	42	1030	330	50	273	1124	240	295	65	90	40	461					
7	Число бюллетеней в переносных ящиках для голосования	1362	33	70	44	29	44	52	46	14	60	20	11	25	10	42	27	10	7	51	17	10	9	6	25	111	71	6	12	20	35	38	28	19	0	22	0	11	3	10	11	56	13	0	26	63	38	37	11	5	9	45					
8	Число бюллетеней в стационарных ящиках для голосования	22304	628	543	882	962	892	847	918	624	663	599	370	582	100	545	141	364	165	487	481	300	131	72	208	1005	355	94	136	404	530	813	764	130	156	282	57	149	120	113	147	1107	772	106	456	1183	322	438	254	130	133	644					
9	Число недействительных бюллетеней	502	8	4	16	22	17	15	17	14	11	31	7	21	1	15	5	8	5	5	15	5	3	4	6	17	9	1	8	10	9	15	9	5	0	3	1	4	5	7	7	25	19	10	13	19	1	8	10	8	8	16					
10	Число действительных бюллетеней	23164	653	609	910	969	919	884	947	624	712	588	374	586	109	572	163	366	167	533	483	305	137	74	227	1099	417	99	140	414	556	836	783	144	156	301	56	156	118	116	151	1138	766	96	469	1227	359	467	255	127	134	673					
