Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Гавриловская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655					
1	"Число избирателей, внесенных в списки"	10247	1998	141	861	100	1600	749	146	487	573	270	242	115	421	142	275	288	528	320	258	351	382					
2	"Число бюллетеней, полученных участковыми комиссиями"	10427	1986	241	854	99	1590	757	162	496	595	275	254	126	416	142	273	286	523	332	269	363	388					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4747	909	110	404	57	529	376	82	241	259	125	115	64	224	74	158	143	283	143	133	139	179					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1390	118	31	66	9	184	117	24	97	85	49	56	22	71	26	39	72	89	46	32	98	59					
6	Число погашенных бюллетеней	4290	959	100	384	33	877	264	56	158	251	101	83	40	121	42	76	71	151	143	104	126	150					
7	Число бюллетеней в переносных ящиках для голосования	1390	118	31	66	9	184	117	24	97	85	49	56	22	71	26	39	72	89	46	32	98	59					
8	Число бюллетеней в стационарных ящиках для голосования	4747	909	110	404	57	529	376	82	241	259	125	115	64	224	74	158	143	283	143	133	139	179					
9	Число недействительных бюллетеней	180	10	8	10	9	47	5	0	8	11	7	6	3	4	1	8	3	6	11	6	6	11					
10	Число действительных бюллетеней	5957	1017	133	460	57	666	488	106	330	333	167	165	83	291	99	189	212	366	178	159	231	227					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	20	2	8	1	16	7	2	5	6	3	2	1	4	1	3	3	5	3	2	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	27	20	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	9	3	1	2	3	2	3	6	3	4	3	1	4	0	3	2	2	1	1	2	2					
14	Число погашенных открепительных удостоверений	73	0	2	8	1	12	7	1	5	6	3	2	1	4	1	3	3	4	3	1	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	137	17	5	9	2	19	8	5	6	7	2	2	8	6	1	2	12	3	4	7	6	6					
		2.23%	1.65%	3.54%	1.91%	3.03%	2.66%	1.62%	4.71%	1.77%	2.03%	1.14%	1.16%	9.30%	2.03%	1.0%	1.01%	5.58%	0.80%	2.11%	4.24%	2.53%	2.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	35	7	2	1	0	6	2	2	2	1	0	0	0	2	0	1	0	4	0	1	4	0					
		0.57%	0.68%	1.41%	0.21%	0.0%	0.84%	0.40%	1.88%	0.59%	0.29%	0.0%	0.0%	0.0%	0.67%	0.0%	0.50%	0.0%	1.07%	0.0%	0.60%	1.68%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	150	21	5	22	1	8	15	5	6	8	1	2	4	6	2	8	1	13	10	3	7	2					
		2.44%	2.04%	3.54%	4.68%	1.51%	1.12%	3.04%	4.71%	1.77%	2.32%	0.57%	1.16%	4.65%	2.03%	2.0%	4.06%	0.46%	3.49%	5.29%	1.81%	2.95%	0.84%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	54	18	1	8	1	6	4	1	3	1	0	1	0	1	0	2	0	3	1	0	2	1					
		0.87%	1.75%	0.70%	1.70%	1.51%	0.84%	0.81%	0.94%	0.88%	0.29%	0.0%	0.58%	0.0%	0.33%	0.0%	1.01%	0.0%	0.80%	0.52%	0.0%	0.84%	0.42%					
22	"5. ""За Русь Святую"""	61	5	0	3	0	6	3	1	4	9	1	0	1	2	0	1	1	13	1	3	6	1					
		0.99%	0.48%	0.0%	0.63%	0.0%	0.84%	0.60%	0.94%	1.18%	2.61%	0.57%	0.0%	1.16%	0.67%	0.0%	0.50%	0.46%	3.49%	0.52%	1.81%	2.53%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	0	0	0	1	1	2	0	3	0	1	1	0	1	2	2	0	2	1	0	0	0					
		0.27%	0.0%	0.0%	0.0%	1.51%	0.14%	0.40%	0.0%	0.88%	0.0%	0.57%	0.58%	0.0%	0.33%	2.0%	1.01%	0.0%	0.53%	0.52%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	27	8	0	7	0	7	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0					
		0.43%	0.77%	0.0%	1.48%	0.0%	0.98%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.42%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	1	0	0	0	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	1					
		0.19%	0.09%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.88%	0.58%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.42%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	350	60	5	22	0	21	31	7	21	34	18	17	2	13	4	6	7	26	13	21	8	14					
		5.70%	5.84%	3.54%	4.68%	0.0%	2.94%	6.28%	6.60%	6.21%	9.88%	10.34%	9.94%	2.32%	4.40%	4.0%	3.04%	3.25%	6.98%	6.87%	12.72%	3.37%	5.88%					
28	"11. ""Истинные патриоты России"""	27	3	0	0	0	15	6	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0					
		0.43%	0.29%	0.0%	0.0%	0.0%	2.10%	1.21%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	30	4	0	5	3	5	0	2	1	2	0	1	0	1	0	2	1	3	0	0	0	0					
		0.48%	0.38%	0.0%	1.06%	4.54%	0.70%	0.0%	1.88%	0.29%	0.58%	0.0%	0.58%	0.0%	0.33%	0.0%	1.01%	0.46%	0.80%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	10	1	0	1	0	0	1	0	1	0	0	0	0	3	0	0	1	0	0	1	1	0					
		0.16%	0.09%	0.0%	0.21%	0.0%	0.0%	0.20%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.46%	0.0%	0.0%	0.60%	0.42%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.94%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.26%	1.05%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.04%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	246	47	5	22	7	22	18	5	16	16	0	8	5	9	3	3	7	10	10	10	13	10					
		4.00%	4.57%	3.54%	4.68%	10.60%	3.08%	3.65%	4.71%	4.73%	4.65%	0.0%	4.67%	5.81%	3.05%	3.0%	1.52%	3.25%	2.68%	5.29%	6.06%	5.48%	4.20%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	3	0	3	0	1	4	0	0	0	0	1	0	0	0	1	0	4	4	2	1	2					
		0.42%	0.29%	0.0%	0.63%	0.0%	0.14%	0.81%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.50%	0.0%	1.07%	2.11%	1.21%	0.42%	0.84%					
35	"18. ""ЛДПР"""	594	117	5	78	6	54	79	10	20	14	16	10	4	38	18	24	22	25	25	4	11	14					
		9.67%	11.39%	3.54%	16.59%	9.09%	7.57%	16.02%	9.43%	5.91%	4.06%	9.19%	5.84%	4.65%	12.88%	18.0%	12.18%	10.23%	6.72%	13.22%	2.42%	4.64%	5.88%					
