Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Красногвардейская 																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734					
1	"Число избирателей, внесенных в списки"	34398	2191	1096	1171	929	851	428	166	96	161	55	683	401	618	168	179	281	479	570	84	873	303	119	590	839	475	226	488	630	556	627	876	1056	720	444	190	139	406	157	278	282	80	145	1073	744	838	665	278	199	332	1191	580	200	594	451	483	285	1095	198	592	1120	100	678	225	936	214	221					
2	"Число бюллетеней, полученных участковыми комиссиями"	34392	2132	1083	1190	919	856	428	168	97	164	57	688	404	618	172	180	281	479	569	86	864	302	121	586	842	474	226	487	628	558	628	876	1060	725	445	191	142	405	160	279	285	82	146	1064	743	837	666	278	200	332	1188	569	200	592	451	488	286	1119	204	592	1121	105	674	225	942	213	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21489	1291	641	680	626	490	311	148	83	94	51	338	258	421	134	140	224	401	376	67	522	210	90	373	596	310	184	304	427	335	402	604	615	491	277	122	87	275	102	187	189	60	91	601	441	385	334	211	160	198	680	369	147	385	265	286	184	570	126	378	695	60	370	190	529	146	152					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2544	99	14	43	35	82	41	0	0	29	0	162	27	31	10	7	24	0	28	14	96	34	3	80	27	61	11	0	14	32	30	32	28	23	63	55	27	31	26	12	24	11	29	99	40	142	95	0	0	0	84	30	21	33	27	84	47	169	43	19	46	12	48	5	93	12	0					
6	Число погашенных бюллетеней	10359	742	428	467	258	284	76	20	14	41	6	188	119	166	28	33	33	78	165	5	246	58	28	133	219	103	31	183	187	191	196	240	417	211	105	14	28	99	32	80	72	11	26	364	262	310	237	67	40	134	424	170	32	174	159	118	55	380	35	195	380	33	256	30	320	55	68					
7	Число бюллетеней в переносных ящиках для голосования	2544	99	14	43	35	82	41	0	0	29	0	162	27	31	10	7	24	0	28	14	96	34	3	80	27	61	11	0	14	32	30	32	28	23	63	55	27	31	26	12	24	11	29	99	40	142	95	0	0	0	84	30	21	33	27	84	47	169	43	19	46	12	48	5	93	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	21476	1281	641	680	626	490	311	148	83	94	51	338	258	421	134	140	224	401	376	67	521	210	90	373	596	310	184	304	427	335	402	603	615	491	277	122	87	275	102	187	189	60	91	601	441	384	334	211	160	198	680	369	147	385	265	286	184	570	126	378	695	60	370	190	529	146	152					
9	Число недействительных бюллетеней	467	31	7	10	4	15	8	0	4	6	3	1	1	1	1	4	8	20	0	5	6	7	0	9	8	0	3	6	4	3	13	4	19	6	8	2	7	12	2	0	2	2	3	7	10	2	13	6	4	2	12	15	10	9	11	23	1	9	7	29	13	0	12	3	5	8	1					
10	Число действительных бюллетеней	23553	1349	648	713	657	557	344	148	79	117	48	499	284	451	143	143	240	381	404	76	611	237	93	444	615	371	192	298	437	364	419	631	624	508	332	175	107	294	126	199	211	69	117	693	471	524	416	205	156	196	752	384	158	409	281	347	230	730	162	368	728	72	406	192	617	150	151					
