Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Балахтинская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №884	УИК №2279					
1	"Число избирателей, внесенных в список избирателей"	17260	1070	806	1084	772	939	1132	336	158	119	388	151	766	195	160	1283	479	97	49	237	197	563	53	151	331	59	794	124	78	147	331	125	77	1347	183	132	113	546	163	119	173	597	30	482	38	86					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16685	1000	750	1000	730	900	1050	330	164	128	380	145	760	200	169	1220	480	93	50	230	200	500	54	145	300	58	770	118	75	151	330	138	76	1300	191	200	106	530	170	104	173	580	38	470	42	87					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9377	637	397	471	353	525	426	176	96	88	237	104	383	91	99	724	282	59	28	128	158	306	25	84	225	34	491	113	74	90	201	89	53	601	106	77	64	278	114	74	126	332	25	262	25	46					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	794	19	22	59	17	9	81	14	7	5	15	9	56	14	3	48	28	8	2	4	0	26	8	9	11	0	50	0	0	7	38	12	3	113	11	10	8	23	3	0	0	12	0	26	0	4					
6	Число погашенных избирательных бюллетеней	6514	344	331	470	360	366	543	140	61	35	128	32	321	95	67	448	170	26	20	98	42	168	21	52	64	24	229	5	1	54	91	37	20	586	74	113	34	229	53	30	47	236	13	182	17	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	794	19	22	59	17	9	81	14	7	5	15	9	56	14	3	48	28	8	2	4	0	26	8	9	11	0	50	0	0	7	38	12	3	113	11	10	8	23	3	0	0	12	0	26	0	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9377	637	397	471	353	525	426	176	96	88	237	104	383	91	99	724	282	59	28	128	158	306	25	84	225	34	491	113	74	90	201	89	53	601	106	77	64	278	114	74	126	332	25	262	25	46					
9	Число недействительных избирательных бюллетеней	176	9	6	10	7	3	10	3	1	3	9	4	6	0	0	13	9	1	0	0	0	3	0	1	2	0	7	2	0	3	4	0	2	13	2	5	2	10	5	5	2	8	0	6	0	0					
10	Число действительных избирательных бюллетеней	9995	647	413	520	363	531	497	187	102	90	243	109	433	105	102	759	301	66	30	132	158	329	33	92	234	34	534	111	74	94	235	101	54	701	115	82	70	291	112	69	124	336	25	282	25	50					
