Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Балашихинская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80					
1	"Число избирателей, внесенных в список избирателей"	178658	2446	2947	2485	2553	2432	2575	2556	2567	2632	2588	1504	2716	2757	2484	2490	2649	2627	2089	2319	1174	1461	2245	2433	2320	2322	2569	2638	2579	2207	2467	2226	2568	2707	2686	2585	2735	1314	1863	2622	2586	2810	2725	2478	2039	2903	2606	2437	2314	1762	1528	2508	2520	1905	1264	1145	1342	2700	1382	3192	2707	2933	2442	523	502	2334	2325	2276	2081	2300	2578	1514	1596	2021	882	692	1931	1363	2966	2962	2447					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	178550	2400	2700	2400	2550	2450	2600	2500	2600	2700	2600	1500	2600	2650	2450	2500	2600	2650	2100	2350	1200	1500	2250	2400	2300	2350	2600	2600	2600	2200	2500	2250	2550	2800	2750	2600	2750	1300	1850	2650	2650	2400	2700	2200	2250	2850	2600	2400	2350	1700	1500	2450	2400	1900	1250	1100	1200	2650	2550	2700	2300	2850	2450	500	500	2350	2400	2350	2100	2300	2600	1550	2750	2050	850	950	1750	1300	2600	2900	2450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	90651	1033	1121	959	1176	1085	1177	1222	1147	1268	1216	962	1152	1377	1177	1280	1219	1138	978	1140	471	710	1091	1082	1080	964	1368	1288	1017	934	1264	1086	1310	1357	1529	1090	1171	688	985	1058	1217	895	1044	1775	1298	1308	1079	1281	1220	1027	1064	1350	1755	708	580	461	680	1425	1352	1777	2078	2016	1176	221	176	1402	1226	1238	1214	716	1446	1165	1548	1060	466	677	930	556	2094	1315	1265					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2855	24	268	40	16	29	23	15	40	22	23	2	19	29	17	11	7	32	14	5	58	11	6	0	15	40	39	44	31	23	48	22	14	16	18	38	130	13	21	26	51	329	56	17	34	7	28	19	17	12	15	11	110	31	46	87	10	109	30	95	80	76	7	28	19	2	2	29	67	0	5	28	48	14	47	15	0	2	1	3	19					
6	Число погашенных избирательных бюллетеней	84988	1343	1311	1401	1358	1336	1400	1263	1413	1410	1358	536	1426	1244	1256	1209	1374	1480	1108	1205	671	779	1153	1318	1205	1346	1193	1268	1552	1243	1188	1142	1226	1421	1203	1472	1449	599	844	1566	1382	1176	1600	408	918	1501	1493	1101	1112	661	421	1089	535	1161	624	552	508	1111	1168	828	142	755	1267	251	305	946	1172	1083	819	1584	1149	357	1154	976	337	258	820	742	505	1582	1166					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2855	24	268	40	16	29	23	15	40	22	23	2	19	29	17	11	7	32	14	5	58	11	6	0	15	40	39	44	31	23	48	22	14	16	18	38	130	13	21	26	51	329	56	17	34	7	28	19	17	12	15	11	110	31	46	87	10	109	30	95	80	76	7	28	19	2	2	29	67	0	5	28	48	14	47	15	0	2	1	3	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	90380	1033	1106	959	1175	1076	1159	1218	1147	1268	1216	962	1092	1339	1177	1280	1213	1138	978	1136	471	710	1091	1082	1080	964	1368	1288	1017	933	1264	1086	1310	1357	1527	1090	1171	688	983	1056	1217	895	1044	1775	1271	1274	1079	1281	1220	1025	1064	1349	1749	708	579	461	680	1425	1352	1777	2078	2011	1169	221	176	1392	1225	1236	1214	716	1446	1165	1548	1060	463	677	930	550	2094	1314	1262					
9	Число недействительных избирательных бюллетеней	2536	25	38	55	34	24	23	37	33	39	20	75	32	7	34	16	79	0	34	22	0	38	26	36	6	20	51	45	27	17	9	29	38	37	48	29	22	10	29	35	33	34	41	24	43	21	19	19	5	38	41	24	32	23	20	8	24	41	37	31	46	43	110	9	0	8	22	26	16	12	148	113	61	9	7	11	13	39	55	19	32					
10	Число действительных избирательных бюллетеней	90699	1032	1336	944	1157	1081	1159	1196	1154	1251	1219	889	1079	1361	1160	1275	1141	1170	958	1119	529	683	1071	1046	1089	984	1356	1287	1021	939	1303	1079	1286	1336	1497	1099	1279	691	975	1047	1235	1190	1059	1768	1262	1260	1088	1281	1232	999	1038	1336	1827	716	605	540	666	1493	1345	1841	2112	2044	1066	240	195	1386	1205	1239	1265	704	1303	1080	1535	1065	503	681	917	513	2040	1298	1249					
