Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
Наименование Избирательной комиссии:    Барабинская  																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
1	"Число избирателей, внесенных в список избирателей"	36236	564	175	115	438	88	83	352	91	402	82	107	552	211	177	733	146	388	150	80	59	402	276	255	167	447	241	95	717	241	235	363	129	490	238	64	338	162	614	362	273	376	65	1221	2057	929	1754	1805	887	1050	1015	1051	1063	1007	1042	970	1050	1038	969	885	924	991	1079	959	947					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33200	600	182	135	480	106	103	410	110	460	89	118	583	227	194	750	163	410	154	96	75	390	290	270	183	490	270	119	760	260	240	370	144	500	243	74	410	205	650	380	295	390	72	1000	1650	800	1500	1500	800	850	850	850	850	850	850	850	850	850	850	800	800	850	850	850	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19534	315	135	95	280	68	72	252	78	290	66	85	407	140	118	429	107	222	89	64	51	288	232	162	142	287	148	83	451	118	160	189	94	311	136	42	249	139	348	222	182	208	49	578	1068	386	905	1100	452	598	481	513	438	525	525	524	416	577	405	371	338	401	423	432	475					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1913	30	12	6	32	5	5	30	5	26	9	14	50	11	17	39	3	19	12	0	0	20	7	13	5	32	28	5	44	25	14	34	2	29	18	12	31	14	93	31	16	17	8	54	69	53	76	64	38	61	39	31	31	50	93	51	47	28	22	37	57	80	37	26	46					
6	Число погашенных избирательных бюллетеней	11753	255	35	34	168	33	26	128	27	144	14	19	126	76	59	282	53	169	53	32	24	82	51	95	36	171	94	31	265	117	66	147	48	160	89	20	130	52	209	127	97	165	15	368	513	361	519	336	310	191	330	306	381	275	232	275	387	245	423	392	405	369	390	392	329					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1913	30	12	6	32	5	5	30	5	26	9	14	50	11	17	39	3	19	12	0	0	20	7	13	5	32	28	5	44	25	14	34	2	29	18	12	31	14	93	31	16	17	8	54	69	53	76	64	38	61	39	31	31	50	93	51	47	28	22	37	57	80	37	26	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19529	315	135	95	280	68	72	252	78	290	66	85	407	140	118	428	107	222	89	64	51	288	232	162	142	287	148	83	451	118	160	189	94	311	136	42	249	139	348	222	182	208	49	578	1068	386	905	1100	452	598	481	513	438	525	522	523	416	577	405	371	338	401	423	432	475					
9	Число недействительных избирательных бюллетеней	366	5	4	2	6	0	1	5	1	9	0	0	6	0	1	2	2	3	0	1	0	5	2	3	3	8	1	1	7	0	1	7	2	3	2	0	11	2	4	7	3	4	4	10	9	4	18	22	8	4	7	10	9	12	13	10	13	10	13	8	10	11	13	18	6					
10	Число действительных избирательных бюллетеней	21076	340	143	99	306	73	76	277	82	307	75	99	451	151	134	465	108	238	101	63	51	303	237	172	144	311	175	87	488	143	173	216	94	337	152	54	269	151	437	246	195	221	53	622	1128	435	963	1142	482	655	513	534	460	563	602	564	450	595	414	400	385	470	447	440	515					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1394	40	10	15	50	20	20	60	20	60	18	10	33	14	15	30	20	25	2	10	16	35	15	15	15	45	30	25	50	20	5	20	20	25	5	8	79	40	55	25	20	15	5	9	30	6	33	18	12	13	20	20	10	15	17	26	15	20	10	10	11	15	10	9	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1371	40	10	15	50	20	20	60	20	60	18	10	33	14	15	30	20	25	2	10	16	35	15	15	15	45	30	25	50	20	5	20	13	24	5	8	79	40	55	25	20	13	5	8	30	6	33	18	12	12	20	17	9	15	17	25	14	20	10	10	9	15	9	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	396	5	3	1	5	8	2	4	5	7	9	2	6	2	3	15	3	4	1	0	6	37	1	2	1	4	3	3	7	3	1	8	0	4	1	0	2	2	5	5	1	3	1	2	7	6	12	15	3	4	6	7	11	5	15	17	8	10	12	6	5	10	6	11	33					
14	Число погашенных неиспользованных открепительных удостоверений	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	3	1	0	0	1	1	0	0	0	2	0	1	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	4	3	1	1	1	2	3	3	3	2	2	1	2	0	0	1	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2200	33	10	6	24	13	5	19	1	23	4	9	39	15	13	55	17	26	10	2	7	25	5	5	9	31	19	8	46	12	20	25	13	24	10	2	21	6	35	18	19	8	7	76	118	40	103	161	58	99	53	66	57	70	63	61	42	85	47	42	43	63	52	52	50					
		10.26%	9.57%	6.80%	5.94%	7.69%	17.81%	6.49%	6.74%	1.20%	7.28%	5.33%	9.09%	8.53%	9.93%	9.63%	11.78%	15.45%	10.79%	9.90%	3.13%	13.73%	8.12%	2.09%	2.86%	6.12%	9.72%	10.80%	9.09%	9.29%	8.39%	11.49%	11.21%	13.54%	7.06%	6.49%	3.70%	7.50%	3.92%	7.94%	7.11%	9.60%	3.56%	12.28%	12.03%	10.38%	9.11%	10.50%	13.83%	11.84%	15.02%	10.19%	12.13%	12.15%	12.17%	10.24%	10.63%	9.07%	14.05%	11.01%	10.29%	10.89%	13.10%	11.30%	11.35%	9.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3837	59	26	14	57	15	17	46	18	55	9	13	49	10	20	75	11	39	7	12	8	49	8	29	13	70	40	7	86	14	23	43	12	52	27	16	56	30	102	59	30	67	14	136	195	110	163	160	91	114	113	83	98	113	116	93	99	105	78	94	89	89	105	84	102					
