Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Ермишинская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371					
1	"Число избирателей, внесенных в списки"	8255	570	254	201	235	1273	1206	1098	462	164	266	416	328	397	140	170	240	67	114	313	142	199					
2	"Число бюллетеней, полученных участковыми комиссиями"	8271	579	248	204	234	1281	1206	1094	462	162	258	424	331	393	139	178	240	67	112	311	142	206					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4783	348	140	126	114	759	742	595	275	82	155	251	194	229	65	116	146	49	69	142	56	130					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	966	56	66	30	31	32	52	75	45	53	17	77	37	86	45	17	33	13	14	116	46	25					
6	Число погашенных бюллетеней	2522	175	42	48	89	490	412	424	142	27	86	96	100	78	29	45	61	5	29	53	40	51					
7	Число бюллетеней в переносных ящиках для голосования	966	56	66	30	31	32	52	75	45	53	17	77	37	86	45	17	33	13	14	116	46	25					
8	Число бюллетеней в стационарных ящиках для голосования	4783	348	140	126	114	759	742	595	275	82	155	251	194	229	65	116	146	49	69	142	56	130					
9	Число недействительных бюллетеней	120	14	6	4	2	12	11	8	6	4	4	6	7	5	5	3	11	3	3	0	0	6					
10	Число действительных бюллетеней	5629	390	200	152	143	779	783	662	314	131	168	322	224	310	105	130	168	59	80	258	102	149					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	187	10	8	7	8	15	22	15	10	5	8	10	10	10	5	5	8	3	5	10	5	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	0	0	0	0	6	19	5	0	0	0	3	1	2	0	4	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	2	1	4	2	1	3	4	1	4	2	3	1	2	1	0	1	2	1	0	1	0					
14	Число погашенных открепительных удостоверений	146	10	8	7	8	9	3	10	10	5	8	7	9	8	5	1	7	3	5	10	5	8					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	87	2	4	3	1	11	7	9	3	5	1	12	3	7	4	3	3	0	2	3	1	3					
		1.51%	0.49%	1.94%	1.92%	0.68%	1.39%	0.88%	1.34%	0.93%	3.70%	0.58%	3.65%	1.29%	2.22%	3.63%	2.25%	1.67%	0.0%	2.40%	1.16%	0.98%	1.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	61	5	0	2	3	11	12	14	0	1	1	3	1	2	1	0	1	1	0	0	1	2					
		1.06%	1.23%	0.0%	1.28%	2.06%	1.39%	1.51%	2.08%	0.0%	0.74%	0.58%	0.91%	0.43%	0.63%	0.90%	0.0%	0.55%	1.61%	0.0%	0.0%	0.98%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	494	50	6	10	3	64	73	55	19	12	40	31	38	10	15	5	2	4	9	39	1	8					
		8.59%	12.37%	2.91%	6.41%	2.06%	8.09%	9.19%	8.20%	5.93%	8.88%	23.25%	9.45%	16.45%	3.17%	13.63%	3.75%	1.11%	6.45%	10.84%	15.11%	0.98%	5.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	52	1	3	0	3	10	12	4	6	1	1	3	2	0	1	3	0	1	1	0	0	0					
		0.90%	0.24%	1.45%	0.0%	2.06%	1.26%	1.51%	0.59%	1.87%	0.74%	0.58%	0.91%	0.86%	0.0%	0.90%	2.25%	0.0%	1.61%	1.20%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	48	2	1	1	0	7	4	5	10	1	0	1	8	2	0	0	0	0	1	0	4	1					
		0.83%	0.49%	0.48%	0.64%	0.0%	0.88%	0.50%	0.74%	3.12%	0.74%	0.0%	0.30%	3.46%	0.63%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	3.92%	0.64%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	1	1	1	1	0	0	0	1	1	3	0	0	3	1	1	0	1	0	1	0					
