Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Мегино-Кангаласская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297					
1	"Число избирателей, внесенных в списки избирателей"	20234	1685	1497	1449	1098	1091	1250	35	66	80	198	187	216	301	276	324	291	335	506	273	314	327	337	386	423	473	509	510	533	697	722	614	671	835	761	628	336					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18464	1400	1250	1250	850	949	1000	35	65	80	191	220	210	295	265	315	300	330	474	265	310	330	330	370	420	460	480	500	510	660	680	590	580	800	775	600	325					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14632	1075	975	942	796	708	824	35	54	77	177	176	163	244	205	275	252	270	423	245	255	254	277	345	329	407	372	342	411	544	583	443	517	538	434	399	266					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1081	64	64	89	47	27	60	0	2	3	12	11	10	1	26	25	11	19	25	14	10	22	14	18	27	25	52	35	31	42	40	57	30	50	69	37	12					
6	Число погашенных избирательных бюллетеней	2751	261	211	219	7	214	116	0	9	0	2	33	37	50	34	15	37	41	26	6	45	54	39	7	64	28	56	123	68	74	57	90	33	212	272	164	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1081	64	64	89	47	27	60	0	2	3	12	11	10	1	26	25	11	19	25	14	10	22	14	18	27	25	52	35	31	42	40	57	30	50	69	37	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14632	1075	975	942	796	708	824	35	54	77	177	176	163	244	205	275	252	270	423	245	255	254	277	345	329	407	372	342	411	544	583	443	517	538	434	399	266					
9	Число недействительных избирательных бюллетеней	119	9	6	10	12	8	9	2	0	0	0	4	2	0	0	0	1	3	0	1	8	1	2	1	1	0	3	3	2	3	2	3	3	10	4	5	1					
10	Число действительных избирательных бюллетеней	15594	1130	1033	1021	831	727	875	33	56	80	189	183	171	245	231	300	262	286	448	258	257	275	289	362	355	432	421	374	440	583	621	497	544	578	499	431	277					
