Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Мегино-Кангаласская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296					
1	"Число избирателей, внесенных в список избирателей"	21612	1860	1647	1614	1325	1200	1519	44	88	81	188	249	224	293	270	300	280	327	395	250	310	325	340	419	430	468	493	523	606	705	711	651	711	871	682	827	386					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20010	1300	1300	1300	900	900	1300	50	80	90	220	230	230	300	290	330	290	350	530	300	350	330	400	440	440	480	490	550	600	700	700	640	750	900	700	850	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12275	848	783	779	575	481	837	27	66	74	178	154	155	196	196	188	183	226	316	199	219	210	211	283	291	308	302	308	377	427	430	386	462	505	365	461	269					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1129	90	70	156	31	62	56	0	1	2	9	23	14	7	15	27	11	14	24	11	12	15	17	22	28	21	37	31	39	50	38	39	36	32	52	26	11					
6	Число погашенных избирательных бюллетеней	6606	362	447	365	294	357	407	23	13	14	33	53	61	97	79	115	96	110	190	90	119	105	172	135	121	151	151	211	184	223	232	215	252	363	283	363	120					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1129	90	70	156	31	62	56	0	1	2	9	23	14	7	15	27	11	14	24	11	12	15	17	22	28	21	37	31	39	50	38	39	36	32	52	26	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12275	848	783	779	575	481	837	27	66	74	178	154	155	196	196	188	183	226	316	199	219	210	211	283	291	308	302	308	377	427	430	386	462	505	365	461	269					
9	Число недействительных избирательных бюллетеней	98	7	5	3	5	9	8	0	0	0	0	1	1	0	0	1	2	3	2	1	4	2	0	1	1	0	3	8	5	1	2	3	5	5	4	4	2					
10	Число действительных избирательных бюллетеней	13306	931	848	932	601	534	885	27	67	76	187	176	168	203	211	214	192	237	338	209	227	223	228	304	318	329	336	331	411	476	466	422	493	532	413	483	278					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	539	19	21	37	7	8	17	0	3	5	21	5	8	5	10	3	8	16	28	20	31	8	18	6	13	15	23	16	20	30	20	20	19	27	12	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	508	13	20	34	7	8	17	0	1	5	21	3	8	5	9	1	7	16	25	20	31	6	18	6	11	15	22	14	20	30	19	20	19	27	12	14	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	286	16	29	37	25	9	20	0	10	2	3	4	3	3	1	1	4	3	3	1	5	6	4	3	1	18	3	7	12	5	5	6	7	7	10	8	5					
14	Число погашенных неиспользованных открепительных удостоверений	31	6	1	3	0	0	0	0	2	0	0	2	0	0	1	2	1	0	3	0	0	2	0	0	2	0	1	2	0	0	1	0	0	0	0	1	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3577	320	261	292	118	106	217	5	14	34	34	38	27	45	51	52	82	53	80	81	49	27	55	87	66	67	122	107	96	167	101	133	130	159	116	123	62					
		26.69%	34.12%	30.60%	31.23%	19.47%	19.52%	24.30%	18.52%	20.90%	44.74%	18.18%	21.47%	15.98%	22.17%	24.17%	24.19%	42.27%	22.08%	23.53%	38.57%	21.21%	12.00%	24.12%	28.52%	20.69%	20.36%	35.99%	31.56%	23.08%	35.01%	21.58%	31.29%	26.10%	29.61%	27.82%	25.26%	22.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	318	11	11	11	83	75	25	2	1	1	0	0	2	7	2	0	2	2	5	0	3	0	5	3	2	2	3	4	5	14	6	4	8	6	3	6	4					
		2.37%	1.17%	1.29%	1.18%	13.70%	13.81%	2.80%	7.41%	1.49%	1.32%	0.00%	0.00%	1.18%	3.45%	0.95%	0.00%	1.03%	0.83%	1.47%	0.00%	1.30%	0.00%	2.19%	0.98%	0.63%	0.61%	0.88%	1.18%	1.20%	2.94%	1.28%	0.94%	1.61%	1.12%	0.72%	1.23%	1.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	5	0	1	2	4	3	0	0	0	0	1	1	0	1	1	1	0	2	0	1	1	1	1	1	1	0	2	1	2	2	2	3	0	1	1	2					
		0.33%	0.53%	0.00%	0.11%	0.33%	0.74%	0.34%	0.00%	0.00%	0.00%	0.00%	0.56%	0.59%	0.00%	0.47%	0.47%	0.52%	0.00%	0.59%	0.00%	0.43%	0.44%	0.44%	0.33%	0.31%	0.30%	0.00%	0.59%	0.24%	0.42%	0.43%	0.47%	0.60%	0.00%	0.24%	0.21%	0.71%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2026	148	167	168	129	101	121	3	5	4	19	20	11	22	12	23	16	15	28	37	35	75	35	36	86	45	36	41	56	79	46	117	63	49	58	83	37					
		15.11%	15.78%	19.58%	17.97%	21.29%	18.60%	13.55%	11.11%	7.46%	5.26%	10.16%	11.30%	6.51%	10.84%	5.69%	10.70%	8.25%	6.25%	8.24%	17.62%	15.15%	33.33%	15.35%	11.80%	26.96%	13.68%	10.62%	12.09%	13.46%	16.56%	9.83%	27.53%	12.65%	9.12%	13.91%	17.04%	13.21%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	3	2	6	1	2	5	0	0	0	1	0	0	0	1	0	0	2	1	0	3	2	0	0	1	0	0	0	4	2	4	2	0	1	2	2	5					
		0.39%	0.32%	0.23%	0.64%	0.17%	0.37%	0.56%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.83%	0.29%	0.00%	1.30%	0.89%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.96%	0.42%	0.85%	0.47%	0.00%	0.19%	0.48%	0.41%	1.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7247	440	402	453	265	244	511	17	46	37	133	116	127	129	144	138	90	163	222	90	135	118	132	175	162	213	173	177	246	210	307	163	285	316	233	267	168					
		54.07%	46.91%	47.13%	48.45%	43.73%	44.94%	57.22%	62.96%	68.66%	48.68%	71.12%	65.54%	75.15%	63.55%	68.25%	64.19%	46.39%	67.92%	65.29%	42.86%	58.44%	52.44%	57.89%	57.38%	50.78%	64.74%	51.03%	52.21%	59.13%	44.03%	65.60%	38.35%	57.23%	58.85%	55.88%	54.83%	60.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	42	4	5	1	3	2	3	0	1	0	0	1	0	0	0	0	1	2	0	1	1	0	0	2	0	1	2	0	3	2	0	1	4	1	0	1	0					
		0.31%	0.43%	0.59%	0.11%	0.50%	0.37%	0.34%	0.00%	1.49%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.52%	0.83%	0.00%	0.48%	0.43%	0.00%	0.00%	0.66%	0.00%	0.30%	0.59%	0.00%	0.72%	0.42%	0.00%	0.24%	0.80%	0.19%	0.00%	0.21%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
