Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Кизилюртовская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41906	872	1109	1060	830	1553	551	122	782	1141	730	1557	1889	1484	1013	714	1829	1250	1026	1492	395	1053	1582	1121	1494	1197	1041	953	936	1088	1496	1591	1295	1392	1388	1384	1496									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43000	918	1233	1071	874	1601	574	126	832	1214	745	1622	1900	1500	1131	794	1856	1267	1058	1500	404	1063	1635	1158	1500	1200	1081	983	954	1100	1500	1600	1300	1406	1400	1400	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41906	872	1109	1060	830	1553	551	122	782	1141	730	1557	1889	1484	1013	714	1829	1250	1026	1492	395	1053	1582	1121	1494	1197	1041	953	936	1088	1496	1591	1295	1392	1388	1384	1496									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	1094	46	124	11	44	48	23	4	50	73	15	65	11	16	118	80	27	17	32	8	9	10	53	37	6	3	40	30	18	12	4	9	5	14	12	16	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41906	872	1109	1060	830	1553	551	122	782	1141	730	1557	1889	1484	1013	714	1829	1250	1026	1492	395	1053	1582	1121	1494	1197	1041	953	936	1088	1496	1591	1295	1392	1388	1384	1496									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	41906	872	1109	1060	830	1553	551	122	782	1141	730	1557	1889	1484	1013	714	1829	1250	1026	1492	395	1053	1582	1121	1494	1197	1041	953	936	1088	1496	1591	1295	1392	1388	1384	1496									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	209	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	6	6	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	207	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	5	5	5	6	6	4	4									
