Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Артемовская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №110	УИК №111	УИК №112					
1	"Число избирателей, внесенных в список избирателей"	82940	2560	1965	1709	1015	2476	1271	1204	2158	1983	1171	1599	1610	2141	1676	1411	1920	2073	2650	1386	1550	1421	1214	1003	810	2042	1880	1216	766	2242	2105	1305	1200	2054	468	1327	1429	1787	1481	904	1428	1350	2485	1575	2044	2500	698	2119	1156	672	259	131	54	1345	1395	1547					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74500	2000	1900	1600	900	2000	1000	1000	2000	1900	1000	1500	1500	2000	1600	1200	1800	2000	2500	1000	1300	1300	1000	900	700	1900	1800	1000	700	2000	2000	1000	1000	2000	400	1000	1300	1700	1400	800	1300	1200	2200	1400	1900	2200	600	2000	1000	600	263	237	500	1000	1000	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37758	1438	695	625	403	1040	441	413	1303	1064	527	937	709	1019	623	789	774	1014	1107	675	613	593	461	390	327	984	922	591	332	1091	878	840	390	748	196	581	684	796	766	432	621	881	968	757	793	1039	347	1105	498	313	201	122	54	616	559	673					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1639	27	21	24	37	36	24	71	43	32	35	25	15	67	17	35	28	36	28	39	37	20	59	18	4	47	38	15	6	49	21	15	51	6	24	10	23	110	25	35	10	20	19	13	18	21	3	75	74	36	14	0	0	16	60	7					
6	Число погашенных избирательных бюллетеней	35103	535	1184	951	460	924	535	516	654	804	438	538	776	914	960	376	998	950	1365	286	650	687	480	492	369	869	840	394	362	860	1101	145	559	1246	180	409	593	794	609	333	669	299	1213	630	1089	1140	250	820	428	251	48	115	446	368	381	820					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1639	27	21	24	37	36	24	71	43	32	35	25	15	67	17	35	28	36	28	39	37	20	59	18	4	47	38	15	6	49	21	15	51	6	24	10	23	110	25	35	10	20	19	13	18	21	3	75	74	36	14	0	0	16	60	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37700	1438	695	625	403	1040	441	413	1303	1064	527	937	709	1015	623	789	774	1014	1107	675	613	593	461	390	327	937	922	591	332	1091	878	840	390	748	196	581	684	796	763	432	621	881	968	757	793	1035	347	1105	498	313	201	122	54	616	559	673					
9	Число недействительных избирательных бюллетеней	911	31	15	14	9	4	7	12	0	6	0	28	13	24	5	9	22	19	37	15	18	17	12	11	7	34	25	10	20	6	22	3	5	8	3	14	11	26	30	11	12	24	16	21	25	44	8	30	7	12	3	1	3	19	12	111					
10	Число действительных избирательных бюллетеней	38428	1434	701	635	431	1072	458	472	1346	1090	562	934	711	1058	635	815	780	1031	1098	699	632	596	508	397	324	950	935	596	318	1134	877	852	436	746	217	577	696	880	758	456	619	877	971	749	786	1012	342	1150	565	337	212	121	51	613	607	569					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1298	60	35	30	25	50	20	20	25	25	20	20	20	30	20	20	35	25	55	20	20	20	15	15	10	40	40	15	10	37	25	20	15	50	10	20	25	25	20	10	20	20	35	20	25	35	10	35	15	10	5	0	0	26	20	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	934	22	14	13	2	26	14	15	25	25	11	17	15	28	11	13	28	25	50	15	16	18	14	8	4	37	31	6	8	35	23	15	6	35	4	13	22	17	18	7	12	13	16	10	20	23	7	35	15	4	5	0	0	26	17	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	914	12	21	20	10	5	9	17	13	25	13	5	11	24	19	3	22	9	24	123	39	16	48	10	18	32	21	10	19	18	13	10	23	16	2	7	17	20	8	1	7	10	11	5	5	10	12	5	5	4	2	11	54	17	10	13					
14	Число погашенных неиспользованных открепительных удостоверений	364	38	21	17	23	24	6	5	0	0	9	3	5	2	9	7	7	0	5	5	4	2	1	7	6	3	9	9	2	2	2	5	9	15	6	7	3	8	2	3	8	7	19	10	5	12	3	0	0	6	0	0	0	0	3	0					
