Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Рузаевская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612					
1	"Число избирателей, внесенных в списки"	51729	1604	75	1549	1599	1636	880	680	1512	873	949	1840	910	682	1823	539	1472	145	287	604	588	111	514	533	575	331	399	332	957	495	429	1446	1820	1818	1758	1197	825	1600	1551	1680	1714	1911	773	1204	387	205	825	1687	927	578	257	172	501	485	321	127	92	326	619					
2	"Число бюллетеней, полученных участковыми комиссиями"	52242	1635	100	1530	1560	1645	884	678	1515	885	948	1870	905	687	1805	550	1522	200	295	595	591	112	510	538	555	343	431	359	986	493	433	1455	1854	1839	1786	1192	820	1586	1559	1695	1760	1865	903	1222	396	200	791	1715	923	600	265	174	508	487	323	127	92	325	620					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39954	1386	61	1083	1026	980	644	459	994	670	710	1277	505	555	1353	475	992	80	255	529	517	69	493	479	484	315	316	285	767	424	332	995	1454	1420	1461	726	484	1257	963	1365	1365	1614	737	1061	346	175	711	1561	770	510	239	136	448	422	264	86	84	305	480					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3500	126	12	111	51	200	73	92	221	56	51	88	140	19	69	9	208	65	28	47	35	31	5	41	52	0	23	17	41	41	29	33	19	59	231	66	93	98	52	65	95	31	36	44	34	0	44	85	94	27	16	36	27	50	45	25	7	13	94					
6	Число погашенных бюллетеней	8788	123	27	336	483	465	167	127	300	159	187	505	260	113	383	66	322	55	12	19	39	12	12	18	19	28	92	57	178	28	72	427	381	360	94	400	243	231	544	265	300	220	130	117	16	25	36	69	59	63	10	2	33	15	14	16	1	7	46					
7	Число бюллетеней в переносных ящиках для голосования	3499	126	12	110	51	200	73	92	221	56	51	88	140	19	69	9	208	65	28	47	35	31	5	41	52	0	23	17	41	41	29	33	19	59	231	66	93	98	52	65	95	31	36	44	34	0	44	85	94	27	16	36	27	50	45	25	7	13	94					
8	Число бюллетеней в стационарных ящиках для голосования	39943	1377	61	1081	1026	978	644	459	994	670	710	1277	505	555	1353	475	992	80	255	529	517	69	493	479	484	315	316	285	767	424	332	995	1454	1422	1461	726	484	1257	963	1365	1365	1614	737	1061	346	175	711	1561	770	510	239	136	448	422	264	86	84	305	480					
9	Число недействительных бюллетеней	1100	5	1	23	42	42	6	2	27	58	25	55	20	19	24	43	21	2	12	0	4	10	13	3	4	23	1	4	8	5	0	25	104	29	8	27	51	34	15	4	13	28	62	29	12	0	2	32	33	26	1	11	0	23	1	0	2	16	10					
10	Число действительных бюллетеней	42342	1498	72	1168	1035	1136	711	549	1188	668	736	1310	625	555	1398	441	1179	143	271	576	548	90	485	517	532	292	338	298	800	460	361	1003	1369	1452	1684	765	526	1321	1000	1426	1447	1617	711	1076	368	175	753	1614	831	511	254	161	475	449	308	111	89	302	564					
