Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N2"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	98078	2159	1724	1779	1654	1417	1666	1719	2615	2472	2310	1466	2548	1981	2502	2086	1804	2465	1566	2109	1975	2663	2040	1686	1784	1561	2343	2093	2037	2083	2130	1917	2190	1437	2146	2617	2413	1815	2317	2543	2581	2194	2323	2551	1592	98	2258	1343	509	717	2080									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86090	1900	1500	1500	1500	1300	1500	1500	2300	2200	2000	1300	2200	1700	2200	1800	1600	2200	1400	1900	1700	2200	1800	1300	1600	1400	2100	1800	1800	1800	1900	1700	1900	1300	1900	2300	2100	1600	2000	2200	2300	1900	2100	2200	1400	90	2000	1200	500	700	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39918	939	747	887	766	580	756	672	1059	1020	1025	665	1132	921	1097	881	772	995	603	831	687	1037	866	587	784	620	895	894	784	761	931	829	1060	634	922	1135	774	540	596	1006	977	931	980	1051	575	20	904	500	186	330	774									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	541	14	15	12	1	3	9	18	9	11	12	10	16	6	8	9	15	25	15	8	9	13	13	3	11	10	17	24	21	23	15	13	6	3	8	7	13	9	24	6	13	13	0	11	15	0	7	3	6	4	5									
6	Число погашенных избирательных бюллетеней	45631	947	738	601	733	717	735	810	1232	1169	963	625	1052	773	1095	910	813	1180	782	1061	1004	1150	921	710	805	770	1188	882	995	1016	954	858	834	663	970	1158	1313	1051	1380	1188	1310	956	1120	1138	810	70	1089	697	308	366	1021									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	541	14	15	12	1	3	9	18	9	11	12	10	16	6	8	9	15	25	15	8	9	13	13	3	11	10	17	24	21	23	15	13	6	3	8	7	13	9	24	6	13	13	0	11	15	0	7	3	6	4	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39887	939	747	887	766	580	756	670	1059	1018	1025	664	1132	921	1093	879	772	994	603	831	687	1037	859	587	781	620	895	893	783	759	930	829	1060	633	922	1135	773	540	595	1006	977	931	980	1051	575	20	904	500	186	330	773									
9	Число недействительных избирательных бюллетеней	877	23	30	19	10	11	14	16	28	13	20	13	22	20	28	16	21	33	9	18	18	30	20	17	19	16	14	24	21	23	16	6	24	20	24	12	19	15	20	17	16	16	20	25	4	1	29	15	3	0	9									
10	Число действительных избирательных бюллетеней	39551	930	732	880	757	572	751	672	1040	1016	1017	661	1126	907	1073	872	766	986	609	821	678	1020	852	573	773	614	898	893	783	759	929	836	1042	616	906	1130	767	534	599	995	974	928	960	1037	586	19	882	488	189	334	769									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1412	30	25	25	25	25	25	25	35	35	30	25	35	30	35	30	25	35	25	30	30	35	30	25	25	25	30	30	30	30	30	30	30	25	30	35	35	25	30	35	35	30	40	35	25	2	30	20	10	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	854	13	11	16	23	9	19	24	21	21	22	13	16	16	27	17	19	15	20	18	10	28	13	13	15	16	23	20	15	26	25	9	15	12	19	23	16	12	20	23	24	23	33	28	10	1	10	4	0	5	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	541	10	8	22	7	3	8	12	14	13	8	12	17	13	5	8	8	13	17	18	12	10	18	41	16	2	7	15	5	12	13	12	14	6	3	26	6	7	9	9	5	11	12	13	3	5	11	1	4	2	15									
14	Число погашенных неиспользованных открепительных удостоверений	558	17	14	9	2	16	6	1	14	14	8	12	19	14	8	13	6	20	5	12	20	7	17	12	10	9	7	10	15	4	5	21	15	13	11	12	19	13	10	12	11	7	7	7	15	1	20	16	10	5	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	113	3	0	0	1	1	3	2	1	3	0	1	4	1	2	1	1	7	2	2	4	5	1	2	3	2	2	0	2	0	1	1	2	2	1	5	6	2	4	4	6	1	2	3	7	0	4	3	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	566	22	14	13	11	6	15	8	12	18	18	13	26	11	27	17	7	15	6	7	8	14	20	5	9	7	15	16	8	19	13	6	17	4	9	16	3	7	3	14	11	8	10	22	8	0	10	5	1	2	10									
		1.40%	2.31%	1.84%	1.45%	1.43%	1.03%	1.96%	1.16%	1.12%	1.75%	1.74%	1.93%	2.26%	1.19%	2.45%	1.91%	0.89%	1.47%	0.97%	0.83%	1.15%	1.33%	2.29%	0.85%	1.14%	1.11%	1.64%	1.74%	0.99%	2.43%	1.38%	0.71%	1.59%	0.63%	0.97%	1.40%	0.38%	1.28%	0.48%	1.38%	1.11%	0.85%	1.02%	2.07%	1.36%	0.00%	1.10%	0.99%	0.52%	0.60%	1.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1442	37	21	32	16	18	25	25	19	36	35	24	35	16	28	27	26	29	22	24	20	30	32	15	31	21	25	192	25	26	36	19	28	31	27	23	27	31	32	40	41	13	44	25	21	0	36	14	7	12	23									
		3.57%	3.88%	2.76%	3.56%	2.09%	3.09%	3.27%	3.63%	1.78%	3.50%	3.38%	3.56%	3.05%	1.73%	2.54%	3.04%	3.30%	2.85%	3.56%	2.86%	2.87%	2.86%	3.67%	2.54%	3.91%	3.33%	2.74%	20.94%	3.11%	3.32%	3.81%	2.26%	2.63%	4.87%	2.90%	2.01%	3.44%	5.65%	5.17%	3.95%	4.14%	1.38%	4.49%	2.35%	3.56%	0.00%	3.95%	2.78%	3.65%	3.59%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	910	17	17	17	19	14	21	20	25	31	25	13	32	24	20	20	17	22	8	31	12	28	18	9	18	11	22	13	22	17	18	29	26	20	25	26	9	11	9	17	27	15	12	14	23	0	19	15	2	6	24									
