Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Лукояновская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21299	1632	1297	1400	1298	2373	1729	643	1530	496	133	486	316	56	467	60	131	121	964	1003	253	168	528	127	237	212	218	299	119	463	227	343	264	74	153	101	192	164	229	194	148	451									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20530	1550	1230	1340	1270	2290	1700	630	1470	470	130	460	310	50	460	60	130	120	930	990	240	170	490	120	230	200	210	290	120	450	210	330	250	70	150	90	170	170	220	200	140	420									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15587	1212	992	1115	1091	1814	1167	504	1003	350	79	368	207	43	352	45	104	63	819	780	148	91	350	59	163	174	150	190	87	312	78	274	172	65	106	71	125	125	151	121	124	343									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2168	126	123	43	12	39	264	50	149	59	33	38	49	7	36	11	18	46	39	72	67	45	88	45	51	12	40	64	20	83	86	30	53	4	25	13	32	28	51	50	13	54									
6	Число погашенных избирательных бюллетеней	2775	212	115	182	167	437	269	76	318	61	18	54	54	0	72	4	8	11	72	138	25	34	52	16	16	14	20	36	13	55	46	26	25	1	19	6	13	17	18	29	3	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2168	126	123	43	12	39	264	50	149	59	33	38	49	7	36	11	18	46	39	72	67	45	88	45	51	12	40	64	20	83	86	30	53	4	25	13	32	28	51	50	13	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15587	1212	992	1115	1091	1814	1167	504	1003	350	79	368	207	43	352	45	104	63	819	780	148	91	350	59	163	174	150	190	87	312	78	274	172	65	106	71	125	125	151	121	124	343									
9	Число недействительных избирательных бюллетеней	35	0	4	0	15	4	0	0	2	2	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	17720	1338	1111	1158	1088	1849	1431	554	1150	407	112	406	252	50	388	56	122	109	857	850	215	136	438	104	214	186	190	254	107	394	164	304	225	69	131	84	157	153	202	171	137	397									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	374	24	25	22	22	32	31	22	22	12	3	10	3	3	10	3	3	3	22	22	3	3	3	3	3	3	3	3	3	10	3	3	3	3	3	3	3	3	3	3	3	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	304	24	25	22	20	31	28	19	18	10	3	8	1	0	9	0	0	0	19	21	0	0	2	0	0	0	0	3	3	10	0	3	3	3	0	0	2	2	2	2	3	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	10	9	10	5	3	7	2	2	2	0	3	1	0	0	0	0	0	4	5	1	1	2	0	0	1	1	1	1	2	0	4	0	0	1	0	1	0	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	70	0	0	0	2	1	3	3	4	2	0	2	2	3	1	3	3	3	3	1	3	3	1	3	3	3	3	0	0	0	3	0	0	0	3	3	1	1	1	1	0	2									
