Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
"Наименование Избирательной комиссии:    Чебоксары, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №8045									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	105923	2254	2306	1921	1251	1625	2067	2082	2455	2299	2047	1977	1192	2236	1964	1884	2021	2334	2186	2330	2072	2119	2193	2472	1195	1969	1898	1397	1880	1771	2474	2425	1569	1364	2018	2042	2086	2922	2325	1714	1601	1240	2025	1850	1320	790	1390	1558	1972	1965	1554	2007	2309	2236	2363	103	472	220	147	465									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101480	2000	2000	1700	1100	1400	1800	1800	2100	2000	1800	1800	1000	2000	1700	1600	1800	2000	1900	2000	1800	1900	1900	2200	1000	1700	1700	1200	1600	1500	2100	2100	1300	1100	1800	1800	1800	2600	2100	1500	1400	1100	1800	1600	1100	700	1200	1300	1700	1700	1400	1800	2000	2000	2100	111	500	220	149	9400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50292	1040	1091	767	541	621	966	974	1172	1061	1048	947	581	984	905	949	985	1241	1098	1196	1081	996	1084	1084	514	940	979	702	854	744	1389	1086	750	619	979	918	1041	1465	1218	903	800	611	921	913	623	216	694	694	902	699	637	904	1087	1060	877	103	206	220	147	465									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1199	45	15	3	5	5	7	20	30	22	25	27	12	3	37	16	29	17	30	16	27	18	25	33	28	27	35	12	11	5	4	22	21	19	10	17	19	35	35	4	32	22	5	26	4	4	28	6	9	3	7	5	6	0	5	0	266	0	0	0									
6	Число погашенных избирательных бюллетеней	50016	915	894	930	554	774	827	806	898	916	727	826	407	1013	758	635	786	742	808	788	687	886	791	1083	458	733	686	486	735	751	707	992	529	460	811	865	740	1100	846	593	568	467	874	661	473	480	478	600	789	998	756	891	907	940	1218	8	28	0	2	8935									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1199	45	15	3	5	5	7	20	30	22	25	27	12	3	37	16	29	17	30	16	27	18	25	33	28	27	35	12	11	5	4	22	21	19	10	17	19	35	35	4	32	22	5	26	4	4	28	6	9	3	7	5	6	0	5	0	266	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	50220	1040	1091	766	541	621	966	974	1172	1060	1047	947	581	984	905	948	985	1241	1062	1194	1081	996	1081	1084	513	934	976	702	854	744	1389	1085	750	619	976	913	1040	1465	1215	903	800	611	920	913	623	216	694	692	902	699	637	904	1086	1060	877	103	206	220	147	465									
9	Число недействительных избирательных бюллетеней	1825	63	38	21	20	29	42	30	35	45	34	30	20	31	44	52	48	52	38	45	27	36	45	58	31	45	39	14	32	18	43	39	37	25	42	43	49	38	71	25	18	24	22	21	15	3	10	11	22	26	14	52	42	24	24	3	11	2	6	1									
10	Число действительных избирательных бюллетеней	49594	1022	1068	748	526	597	931	964	1167	1037	1038	944	573	956	898	912	966	1206	1054	1165	1081	978	1061	1059	510	916	972	700	833	731	1350	1068	734	613	944	887	1010	1462	1179	882	814	609	903	918	612	217	712	687	889	676	630	857	1050	1036	858	100	461	218	141	464									
