Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
"Наименование Избирательной комиссии:    Владивосток, Советская"																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №1330	УИК №1331	УИК №1332	УИК №1852	УИК №1853					
1	"Число избирателей, внесенных в список избирателей"	86900	583	2516	1948	2183	2061	2031	2162	2441	1416	2416	549	825	1722	2020	1102	2262	1296	579	586	618	2002	1211	2062	2139	2175	2357	2061	2216	2358	2053	2384	2304	2031	1065	1305	1394	2137	2154	2274	2529	2100	1709	1964	1989	267	1854	918	141	156	1243	428	1126	1339	139					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70762	500	2000	1600	1700	1700	1600	1700	1900	1100	1900	500	700	1400	1600	900	2000	1000	500	500	700	1600	1000	1800	1700	1700	2000	1700	1800	1900	1700	2000	1800	1600	900	1000	1100	1700	1700	1800	2000	1700	1400	1600	1600	250	1500	700	120	222	1000	460	1000	1100	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36208	239	876	905	775	713	786	872	789	608	972	217	467	652	754	419	840	466	211	185	499	830	489	724	902	913	1120	767	898	985	929	961	986	1033	497	623	638	952	966	1010	1173	801	652	874	894	73	808	292	48	107	508	385	418	623	84					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1015	5	8	4	12	13	10	14	34	10	16	8	0	7	6	8	17	7	8	5	104	8	14	8	26	32	15	7	19	16	17	11	19	4	6	11	10	17	18	3	20	2	7	0	27	142	108	5	55	0	9	43	3	12	25					
6	Число погашенных избирательных бюллетеней	33539	256	1116	691	913	974	804	814	1077	482	912	275	233	741	840	473	1143	527	281	310	97	762	497	1068	772	755	865	926	883	899	754	1028	795	563	397	366	452	731	716	787	807	897	741	726	679	35	584	403	17	115	483	32	579	465	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1015	5	8	4	12	13	10	14	34	10	16	8	0	7	6	8	17	7	8	5	104	8	14	8	26	32	15	7	19	16	17	11	19	4	6	11	10	17	18	3	20	2	7	0	27	142	108	5	55	0	9	43	3	12	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36124	239	876	905	775	713	786	872	789	608	970	217	467	650	754	419	823	466	210	185	493	830	489	724	897	913	1120	763	897	983	929	961	965	1033	495	623	635	952	965	1008	1173	800	645	874	892	73	808	290	48	107	508	385	415	623	84					
9	Число недействительных избирательных бюллетеней	915	1	31	116	22	26	31	22	8	10	18	4	11	13	52	11	26	10	4	2	30	14	9	13	13	13	22	11	14	19	24	11	27	8	11	16	10	13	14	12	27	19	11	24	26	2	19	9	2	4	8	9	5	24	4					
10	Число действительных избирательных бюллетеней	36224	243	853	793	765	700	765	864	815	608	968	221	456	644	708	416	814	463	214	188	567	824	494	719	910	932	1113	759	902	980	922	961	957	1029	490	618	635	956	969	999	1166	783	641	850	893	213	897	286	101	103	509	419	413	611	105					
