Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
"Наименование Избирательной комиссии:    г.Чита, Черновская"																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107					
1	"Число избирателей, внесенных в списки"	63078	2914	2693	2848	2228	2801	2783	2311	2269	1663	2495	2167	2040	2903	2869	1953	2331	2014	2504	1229	723	2344	2435	2574	1181	1498	1012	1580	1337	692	1329	871	487					
2	"Число бюллетеней, полученных участковыми комиссиями"	61540	2860	2630	2820	2160	2770	2760	2260	2240	1510	2460	2130	1950	2860	2820	1930	2270	1970	2470	1270	640	2260	2410	2520	1130	1440	970	1540	1170	700	1290	830	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26204	1302	1149	1307	1102	1215	1228	1002	1070	674	998	1004	873	1227	1332	931	992	910	1135	420	251	1021	779	830	377	717	286	453	684	171	322	235	207					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	888	59	30	26	15	30	25	28	14	10	19	17	16	48	39	15	7	20	19	27	88	33	52	44	12	18	30	10	30	40	21	30	16					
6	Число погашенных бюллетеней	34448	1499	1451	1487	1043	1525	1507	1230	1156	826	1443	1109	1061	1585	1449	984	1271	1040	1316	823	301	1206	1579	1646	741	705	654	1077	456	489	947	565	277					
7	Число бюллетеней в переносных ящиках для голосования	888	59	30	26	15	30	25	28	14	10	19	17	16	48	39	15	7	20	19	27	88	33	52	44	12	18	30	10	30	40	21	30	16					
8	Число бюллетеней в стационарных ящиках для голосования	26072	1302	1149	1303	1102	1215	1226	1002	1070	674	998	894	871	1227	1332	931	992	909	1135	420	249	1020	779	830	377	715	286	453	684	171	314	235	207					
9	Число недействительных бюллетеней	298	5	8	10	20	14	16	7	12	19	10	5	11	10	7	9	9	12	15	2	6	9	19	11	9	10	2	6	7	4	12	2	0					
10	Число действительных бюллетеней	26662	1356	1171	1319	1097	1231	1235	1023	1072	665	1007	906	876	1265	1364	937	990	917	1139	445	331	1044	812	863	380	723	314	457	707	207	323	263	223					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	700	30	30	30	30	30	30	20	20	20	20	25	20	25	20	20	20	25	25	15	15	30	25	25	25	15	15	20	20	15	15	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	253	6	15	17	11	14	16	10	3	6	14	5	7	15	19	13	4	4	10	0	3	9	9	6	6	4	7	4	12	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	122	6	11	4	3	2	6	5	0	4	4	3	3	3	7	3	3	5	5	2	2	10	5	2	0	3	2	4	4	1	6	4	0					
14	Число погашенных открепительных удостоверений	447	24	15	13	19	16	14	10	17	14	6	20	13	10	1	7	16	21	15	15	12	21	16	19	19	11	8	16	8	14	12	15	10					
15	Число открепительных удостоверений выданных ТИК	98	6	0	0	6	0	11	5	6	4	3	2	4	2	3	0	4	2	4	3	0	2	7	2	3	1	3	3	1	2	7	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	464	20	8	21	17	22	24	28	20	14	24	12	17	27	17	17	12	18	25	4	10	21	15	11	13	5	5	7	8	5	7	8	2					
		1.72%	1.46%	0.67%	1.58%	1.52%	1.76%	1.91%	2.71%	1.84%	2.04%	2.35%	1.31%	1.91%	2.11%	1.23%	1.79%	1.20%	1.93%	2.16%	0.89%	2.96%	1.99%	1.80%	1.25%	3.34%	0.68%	1.58%	1.51%	1.12%	2.36%	2.08%	3.01%	0.89%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	555	36	27	44	21	22	36	28	19	14	18	26	30	23	32	17	22	23	25	1	8	23	7	16	5	8	5	7	6	1	3	0	2					
		2.05%	2.64%	2.29%	3.31%	1.88%	1.76%	2.87%	2.71%	1.75%	2.04%	1.76%	2.85%	3.38%	1.80%	2.33%	1.79%	2.20%	2.47%	2.16%	0.22%	2.37%	2.18%	0.84%	1.83%	1.28%	1.09%	1.58%	1.51%	0.84%	0.47%	0.89%	0.0%	0.89%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	784	34	42	28	30	45	32	36	27	8	13	28	29	22	30	31	26	29	40	15	11	36	36	30	21	33	12	12	22	6	5	8	7					
		2.90%	2.49%	3.56%	2.10%	2.68%	3.61%	2.55%	3.49%	2.49%	1.16%	1.27%	3.07%	3.26%	1.72%	2.18%	3.27%	2.60%	3.12%	3.46%	3.35%	3.26%	3.41%	4.33%	3.43%	5.39%	4.50%	3.79%	2.59%	3.08%	2.84%	1.49%	3.01%	3.13%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1036	59	51	61	60	47	48	24	45	8	26	48	24	53	75	38	34	42	26	7	13	57	17	42	15	17	16	18	23	0	21	17	4					
		3.84%	4.33%	4.32%	4.58%	5.37%	3.77%	3.83%	2.33%	4.15%	1.16%	2.55%	5.26%	2.70%	4.15%	5.47%	4.01%	3.40%	4.52%	2.25%	1.56%	3.85%	5.41%	2.04%	4.80%	3.85%	2.31%	5.06%	3.88%	3.22%	0.0%	6.26%	6.41%	1.79%					
22	"5. ""За Русь Святую"""	106	4	4	5	5	6	1	5	5	3	4	1	6	5	3	3	2	9	7	3	3	4	6	2	1	4	0	0	0	1	0	4	0					
		0.39%	0.29%	0.33%	0.37%	0.44%	0.48%	0.07%	0.48%	0.46%	0.43%	0.39%	0.10%	0.67%	0.39%	0.21%	0.31%	0.20%	0.96%	0.60%	0.67%	0.89%	0.37%	0.72%	0.22%	0.25%	0.54%	0.0%	0.0%	0.0%	0.47%	0.0%	1.50%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	3	0	3	2	4	1	1	1	1	0	1	2	2	1	0	1	0	0	2	5	0	1	1	0	2	2	0	0	0	2	0	0					
		0.14%	0.22%	0.0%	0.22%	0.17%	0.32%	0.07%	0.09%	0.09%	0.14%	0.0%	0.10%	0.22%	0.15%	0.07%	0.0%	0.10%	0.0%	0.0%	0.44%	1.48%	0.0%	0.12%	0.11%	0.0%	0.27%	0.63%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	184	6	5	8	7	13	7	10	8	0	5	16	3	12	8	6	3	8	8	5	2	8	3	5	7	7	3	4	1	1	0	3	2					
		0.68%	0.44%	0.42%	0.60%	0.62%	1.04%	0.55%	0.97%	0.73%	0.0%	0.49%	1.75%	0.33%	0.94%	0.58%	0.63%	0.30%	0.86%	0.69%	1.11%	0.59%	0.75%	0.36%	0.57%	1.79%	0.95%	0.94%	0.86%	0.14%	0.47%	0.0%	1.13%	0.89%					
25	"8. ""Народно-республиканская партия России"""	40	0	2	1	1	1	1	2	3	0	3	1	1	1	0	1	2	1	3	2	0	2	0	3	0	4	0	1	1	0	2	1	0					
		0.14%	0.0%	0.16%	0.07%	0.08%	0.08%	0.07%	0.19%	0.27%	0.0%	0.29%	0.10%	0.11%	0.07%	0.0%	0.10%	0.20%	0.10%	0.25%	0.44%	0.0%	0.18%	0.0%	0.34%	0.0%	0.54%	0.0%	0.21%	0.14%	0.0%	0.59%	0.37%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	105	6	4	5	5	5	3	4	1	1	7	5	2	5	8	6	4	1	7	1	2	5	1	6	1	3	0	3	1	1	1	1	0					
		0.38%	0.44%	0.33%	0.37%	0.44%	0.40%	0.23%	0.38%	0.09%	0.14%	0.68%	0.54%	0.22%	0.39%	0.58%	0.63%	0.40%	0.10%	0.60%	0.22%	0.59%	0.47%	0.12%	0.68%	0.25%	0.40%	0.0%	0.64%	0.14%	0.47%	0.29%	0.37%	0.0%					
27	"10. ""Аграрная партия России"""	805	30	34	28	17	33	29	21	20	9	18	13	20	29	38	19	33	32	25	59	19	29	31	29	21	29	8	14	71	9	14	5	19					
