Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Новокубанская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261					
1	"Число избирателей, внесенных в список"	64993	189	268	2060	2010	2258	382	140	1157	545	229	395	553	647	274	391	221	2047	1320	1602	1166	1616	1773	1589	1391	1112	1138	1400	2040	1686	1766	2110	932	1554	1142	278	305	1884	1711	1921	252	403	132	294	218	872	2493	420	552	57	1009	1315	1701	1487	1124	1203	891	187	1416	1868	981	916					
2	Число полученных избирательных бюллетеней	64382	191	255	2000	2000	2200	380	140	1100	530	220	390	560	640	270	390	220	2000	1250	1570	1160	1670	1730	1720	1390	1100	1100	1400	2000	1700	1700	2000	920	1500	1140	360	300	1880	1700	1900	255	400	133	290	210	850	2500	420	540	59	1000	1300	1700	1500	1150	1200	880	189	1400	1870	980	880					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43207	171	226	1413	1273	1289	245	127	864	414	218	315	502	534	244	372	143	1314	837	857	677	946	1203	926	700	638	620	786	1160	944	947	1122	471	987	940	243	241	1412	1253	1348	230	356	96	205	189	587	1806	306	386	56	627	761	990	802	870	1034	756	182	1108	1542	904	492					
5	"Число избирательных бюллетеней, выданных вне помещения"	3917	0	0	72	161	164	45	2	69	58	1	51	36	38	0	0	46	41	70	176	85	63	223	140	198	99	94	115	270	171	119	86	99	52	17	35	19	3	24	49	8	0	3	21	14	61	47	22	24	0	41	36	100	181	68	30	57	5	42	59	9	98					
6	Число погашенных избирательных бюллетеней	17258	20	29	515	566	747	90	11	167	58	1	24	22	68	26	18	31	645	343	537	398	661	304	654	492	363	386	499	570	585	634	792	350	461	183	82	40	465	423	503	17	44	34	64	7	202	647	92	130	3	332	503	610	517	212	136	67	2	250	269	67	290					
7	Число избирательных бюллетеней в переносных ящиках	3917	0	0	72	161	164	45	2	69	58	1	51	36	38	0	0	46	41	70	176	85	63	223	140	198	99	94	115	270	171	119	86	99	52	17	35	19	3	24	49	8	0	3	21	14	61	47	22	24	0	41	36	100	181	68	30	57	5	42	59	9	98					
8	Число бюллетеней в стационарных ящиках для голосования	42984	171	226	1413	1273	1289	245	127	864	414	218	315	502	534	244	372	143	1314	837	857	677	946	980	926	700	638	620	786	1160	944	947	1122	471	987	940	243	241	1412	1253	1348	230	356	96	205	189	587	1806	306	386	56	627	761	990	802	870	1034	756	182	1108	1542	904	492					
9	Число недействительных избирательных бюллетеней	412	0	1	14	15	27	2	2	9	2	0	6	0	3	4	0	1	15	5	7	2	10	14	0	8	3	10	6	16	11	0	13	4	16	8	1	2	7	12	17	1	7	0	3	0	19	20	5	2	0	4	0	12	5	7	8	1	1	9	7	18	10					
10	Число действительных избирательных бюллетеней	46489	171	225	1471	1419	1426	288	127	924	470	219	360	538	569	240	372	188	1340	902	1026	760	999	1189	1066	890	734	704	895	1414	1104	1066	1195	566	1023	949	277	258	1408	1265	1380	237	349	99	223	203	629	1833	323	408	56	664	797	1078	978	931	1056	812	186	1141	1594	895	580					
11	Число полученных открепительных  удостоверений	940	6	6	20	26	25	10	5	15	8	5	4	10	10	6	6	6	30	21	20	15	15	15	18	18	15	13	20	30	25	25	30	20	15	17	9	8	22	23	26	5	7	5	6	5	13	30	6	8	10	15	18	24	23	18	18	14	6	24	28	15	24					
12	Число выданных открепительных удостоверений	217	0	1	6	24	6	0	0	1	0	0	0	1	3	3	2	2	6	11	2	4	12	1	12	8	10	8	8	8	2	1	7	0	7	3	0	0	4	4	1	0	0	0	0	0	3	14	1	1	0	3	4	5	4	4	0	1	0	1	4	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	174	1	2	0	3	6	2	2	3	3	3	3	0	0	1	3	2	5	7	4	1	4	5	6	2	4	4	5	3	3	6	3	2	5	4	0	2	2	1	6	0	1	1	5	3	9	5	0	3	0	1	1	3	1	1	3	4	0	0	8	4	3					
14	Число неиспользованных открепительных удостоверений	723	6	5	14	2	19	10	5	14	8	5	4	9	7	3	4	4	24	10	18	11	3	14	6	10	5	5	12	22	23	24	23	20	8	14	9	8	18	19	25	5	7	5	6	5	10	16	5	7	10	12	14	19	19	14	18	13	6	23	24	14	21					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	1653	11	2	72	46	33	6	3	23	9	6	13	10	15	4	2	0	74	45	47	24	58	247	45	29	27	34	37	61	34	46	61	26	35	15	2	4	39	57	30	2	14	0	3	8	6	35	3	9	0	23	28	40	25	41	7	8	5	13	21	13	17					
		3.52%	6.43%	0.88%	4.85%	3.21%	2.27%	2.07%	2.33%	2.47%	1.91%	2.74%	3.55%	1.86%	2.62%	1.64%	0.54%	0.00%	5.46%	4.96%	4.55%	3.15%	5.75%	20.53%	4.22%	3.23%	3.66%	4.76%	4.11%	4.27%	3.05%	4.32%	5.05%	4.56%	3.37%	1.57%	0.72%	1.54%	2.76%	4.46%	2.15%	0.84%	3.93%	0.00%	1.33%	3.94%	0.93%	1.89%	0.91%	2.20%	0.00%	3.44%	3.51%	3.67%	2.54%	4.37%	0.66%	0.98%	2.67%	1.13%	1.31%	1.42%	2.88%					
19	. Малышкин Олег Александрович	1136	4	7	42	17	45	12	2	21	21	6	3	5	14	2	3	5	27	18	27	25	17	29	31	21	23	16	13	33	33	25	30	8	35	30	9	2	33	51	24	6	13	2	3	7	15	44	3	9	0	30	18	22	42	27	13	30	3	22	28	19	11					
		2.42%	2.34%	3.10%	2.83%	1.19%	3.10%	4.14%	1.55%	2.25%	4.45%	2.74%	0.82%	0.93%	2.45%	0.82%	0.81%	2.65%	1.99%	1.98%	2.61%	3.28%	1.68%	2.41%	2.91%	2.34%	3.12%	2.24%	1.44%	2.31%	2.96%	2.35%	2.48%	1.40%	3.37%	3.13%	3.24%	0.77%	2.33%	3.99%	1.72%	2.52%	3.65%	2.02%	1.33%	3.45%	2.31%	2.37%	0.91%	2.20%	0.00%	4.49%	2.26%	2.02%	4.27%	2.88%	1.22%	3.69%	1.60%	1.91%	1.75%	2.08%	1.86%					
20	. Миронов Сергей Михайлович	252	0	0	7	8	6	1	0	9	5	3	5	3	3	0	2	0	10	5	6	3	8	13	3	8	8	3	9	8	4	7	7	3	5	5	0	2	9	7	3	3	1	0	1	1	5	12	0	1	0	1	1	7	3	7	4	3	0	2	6	4	2					
		0.54%	0.00%	0.00%	0.47%	0.56%	0.41%	0.34%	0.00%	0.96%	1.06%	1.37%	1.37%	0.56%	0.52%	0.00%	0.54%	0.00%	0.74%	0.55%	0.58%	0.39%	0.79%	1.08%	0.28%	0.89%	1.09%	0.42%	1.00%	0.56%	0.36%	0.66%	0.58%	0.53%	0.48%	0.52%	0.00%	0.77%	0.64%	0.55%	0.21%	1.26%	0.28%	0.00%	0.44%	0.49%	0.77%	0.65%	0.00%	0.24%	0.00%	0.15%	0.13%	0.64%	0.31%	0.75%	0.38%	0.37%	0.00%	0.17%	0.37%	0.44%	0.34%					
21	. Путин Владимир Владимирович	31172	123	140	886	804	919	200	112	664	322	128	308	459	408	216	348	109	793	521	623	484	620	785	629	514	433	452	628	930	740	692	789	388	647	681	211	211	903	804	917	121	260	56	173	130	536	1342	192	270	45	377	441	677	627	599	798	543	122	935	1258	717	412					
		66.46%	71.93%	61.95%	59.66%	56.07%	63.25%	68.97%	86.82%	71.17%	68.22%	58.45%	84.15%	85.32%	71.33%	88.52%	93.55%	57.67%	58.52%	57.44%	60.31%	63.52%	61.45%	65.25%	59.01%	57.24%	58.75%	63.31%	69.70%	65.03%	66.37%	64.92%	65.31%	68.07%	62.27%	71.16%	75.90%	81.15%	63.82%	62.96%	65.64%	50.84%	73.03%	56.57%	76.55%	64.04%	82.72%	72.42%	58.54%	65.85%	80.36%	56.44%	55.33%	62.11%	63.78%	63.86%	75.00%	66.79%	65.24%	81.30%	78.58%	78.53%	69.83%					
22	. Хакамада Ирина Муцуовна	1149	8	3	41	52	17	2	1	16	9	4	2	13	14	0	1	3	57	34	27	20	35	27	45	30	35	24	27	46	43	27	34	18	32	16	2	3	25	12	31	8	3	4	3	11	10	64	14	8	0	18	12	19	24	26	12	16	6	10	21	5	19					
		2.45%	4.68%	1.33%	2.76%	3.63%	1.17%	0.69%	0.78%	1.71%	1.91%	1.83%	0.55%	2.42%	2.45%	0.00%	0.27%	1.59%	4.21%	3.75%	2.61%	2.62%	3.47%	2.24%	4.22%	3.34%	4.75%	3.36%	3.00%	3.22%	3.86%	2.53%	2.81%	3.16%	3.08%	1.67%	0.72%	1.15%	1.77%	0.94%	2.22%	3.36%	0.84%	4.04%	1.33%	5.42%	1.54%	3.45%	4.27%	1.95%	0.00%	2.69%	1.51%	1.74%	2.44%	2.77%	1.13%	1.97%	3.21%	0.87%	1.31%	0.55%	3.22%					
23	. Харитонов Николай Михайлович	9530	17	62	358	435	352	57	9	169	90	63	24	37	95	13	13	67	298	241	259	154	197	47	244	235	163	130	154	264	191	219	257	98	226	182	50	30	367	284	339	93	48	35	37	42	50	291	98	100	10	207	278	273	238	211	211	191	45	134	227	128	93					
		20.32%	9.94%	27.43%	24.11%	30.33%	24.23%	19.66%	6.98%	18.11%	19.07%	28.77%	6.56%	6.88%	16.61%	5.33%	3.49%	35.45%	21.99%	26.57%	25.07%	20.21%	19.52%	3.91%	22.89%	26.17%	22.12%	18.21%	17.09%	18.46%	17.13%	20.54%	21.27%	17.19%	21.75%	19.02%	17.99%	11.54%	25.94%	22.24%	24.27%	39.08%	13.48%	35.35%	16.37%	20.69%	7.72%	15.70%	29.88%	24.39%	17.86%	30.99%	34.88%	25.05%	24.21%	22.49%	19.83%	23.49%	24.06%	11.65%	14.18%	14.02%	15.76%					
																																																																				
24	Против всех	1597	8	11	65	57	54	10	0	22	14	9	5	11	20	5	3	4	81	38	37	50	64	41	69	53	45	45	27	72	59	50	17	25	43	20	3	6	32	50	36	4	10	2	3	4	7	45	13	11	1	8	19	40	19	20	11	21	5	25	33	9	26					
