Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    территориальная комиссия Ленинского района города Владивостока																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343					
1	"Число избирателей, внесенных в списки избирателей"	114826	2224	1460	1928	2276	2197	1759	317	1518	1972	2652	2848	2644	2643	2686	2737	2825	2451	2968	2742	2640	2337	2988	2509	2049	2087	2441	2809	2201	2941	2884	2251	2066	2068	2382	2314	1873	2034	2465	1035	2387	2501	2506	2566	2076	2240	2669	2787	2623	254	1368	2092	333	281	298	302	324	170	190	290					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	106240	1900	1400	1700	2000	1800	1950	365	1200	2000	0	2600	2500	2500	2500	2500	2700	2200	2800	2600	2300	2000	2800	2200	1900	2000	2400	2500	2000	2800	2400	2200	1900	1900	2200	2200	1700	1800	2400	1000	2300	2300	2300	2400	1900	2100	2500	2700	2500	244	1200	2000	279	246	233	271	260	214	194	284					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53411	1591	773	957	1145	931	1752	317	710	1196	0	1084	1368	1203	1389	1420	1243	1351	1461	1003	1260	1205	1202	968	1061	1026	933	1248	1037	1128	974	899	853	856	1079	1145	909	839	1006	594	867	1024	905	1165	857	881	1230	1269	1146	127	406	812	213	191	214	231	215	135	150	257					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1195	17	20	51	13	28	0	0	13	72	0	13	26	20	12	9	13	8	22	9	12	15	10	309	22	21	20	18	29	8	15	25	28	15	29	21	7	3	48	17	5	11	33	7	9	6	4	8	6	0	69	19	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	51634	292	607	692	842	841	198	48	477	732	0	1503	1106	1277	1099	1071	1444	841	1317	1588	1028	780	1588	923	817	953	1447	1234	934	1664	1411	1276	1019	1029	1092	1034	784	958	1346	389	1428	1265	1362	1228	1034	1213	1266	1423	1348	117	725	1169	66	55	19	40	45	79	44	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1195	17	20	51	13	28	0	0	13	72	0	13	26	20	12	9	13	8	22	9	12	15	10	309	22	21	20	18	29	8	15	25	28	15	29	21	7	3	48	17	5	11	33	7	9	6	4	8	6	0	69	19	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53239	1584	772	957	1140	927	1750	317	710	1196	0	1080	1368	1203	1389	1420	1239	1341	1457	1002	1260	1205	1199	966	1057	1011	933	1229	1037	1126	960	893	850	856	1079	1145	908	814	1006	594	862	1024	904	1163	857	881	1230	1265	1124	127	404	812	213	191	214	231	215	135	150	257					
9	Число недействительных избирательных бюллетеней	1147	19	12	21	19	33	110	2	18	34	0	26	26	18	25	26	24	19	44	19	22	25	21	23	29	21	36	47	36	12	22	16	17	9	12	19	15	12	30	15	0	14	13	22	17	21	30	11	11	0	17	28	3	3	7	3	3	2	6	2					
10	Число действительных избирательных бюллетеней	53287	1582	780	987	1134	922	1640	315	705	1234	0	1067	1368	1205	1376	1403	1228	1330	1435	992	1250	1195	1188	1252	1050	1011	917	1200	1030	1122	953	902	861	862	1096	1147	900	805	1024	596	867	1021	924	1148	849	866	1204	1262	1119	127	456	803	210	188	207	228	212	133	144	255					
