Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Артемовская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49673	2296	1205	1317	2266	1367	808	787	2224	1263	1189	2382	829	706	2230	1810	2304	1349	1354	1443	1183	1206	2679	2626	1507	1362	1161	965	1208	461	554	105	572	731	786	1212	603	137	444	346	558	91	47									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50000	2320	1200	1300	2250	1370	800	780	2250	1250	1180	2390	830	720	2230	1800	2320	1360	1400	1460	1180	1220	2680	2630	1500	1380	1160	970	1230	460	570	110	590	750	800	1200	610	150	450	350	560	140	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	105	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	14	1	16	1	0	10	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17737	836	383	506	966	473	336	241	802	398	498	1030	345	262	843	519	657	470	430	519	352	510	1036	983	401	398	389	338	503	183	255	35	191	246	248	346	231	74	160	113	163	32	36									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1227	37	11	44	39	11	20	19	42	10	12	28	13	13	26	48	35	19	15	41	34	22	56	36	47	73	53	88	41	11	15	1	30	10	25	75	35	5	26	6	18	37	0									
6	Число погашенных избирательных бюллетеней	30931	1447	779	750	1245	886	444	520	1406	842	670	1332	472	445	1361	1233	1628	871	955	900	794	688	1588	1611	1052	909	718	544	686	266	264	74	355	493	511	778	344	61	264	231	379	71	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1332	37	38	44	39	11	20	19	42	10	12	28	13	13	26	48	35	19	15	41	34	22	56	36	47	73	53	88	41	11	51	1	44	11	41	76	35	15	26	6	18	37	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17730	835	383	506	966	473	336	241	802	398	498	1030	345	262	843	519	657	470	430	519	352	510	1030	983	401	398	389	338	503	183	255	35	191	246	248	346	231	74	160	113	163	32	36									
9	Число недействительных избирательных бюллетеней	664	36	11	9	31	12	12	9	17	19	11	32	7	18	42	14	26	23	20	22	17	21	51	36	23	13	16	11	10	7	14	0	6	7	12	19	6	3	5	7	5	1	3									
10	Число действительных избирательных бюллетеней	18398	836	410	541	974	472	344	251	827	389	499	1026	351	257	827	553	666	466	425	538	369	511	1035	983	425	458	426	415	534	187	292	36	229	250	277	403	260	86	181	112	176	68	33									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1340	50	35	35	50	45	27	25	45	30	45	45	40	27	45	45	50	35	35	50	50	45	50	50	40	38	30	30	30	15	25	10	25	25	25	38	15	10	10	10	10	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	272	10	4	4	6	4	2	2	16	10	9	15	3	3	13	7	8	4	1	5	2	7	15	23	9	7	6	2	7	1	25	0	0	8	4	1	9	7	9	1	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	7	5	1	9	1	7	2	4	4	8	4	1	2	9	4	3	1	1	3	3	0	32	6	2	4	6	1	4	0	3	2	1	1	6	18	7	2	2	2	1	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	1068	40	31	31	44	41	25	23	29	20	36	30	37	24	32	38	42	31	34	45	48	38	35	27	31	31	24	28	23	14	0	10	25	17	21	37	6	3	1	9	7	0	0									
