Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027					
1	"Число избирателей, внесенных в списки"	98417	2261	2467	1819	2684	2182	2357	1373	2577	1892	685	1545	1304	1099	1959	2135	2857	2426	2687	2949	2197	1451	1644	2174	2583	2836	1926	863	843	459	214	228	642	1375	189	191	210	210	314	374	2183	416	1077	1088	2273	2466	2134	2323	536	2287	2651	269	323	2577	1579	331	372	153	231	277	321	228	387	269	183	1642	222	432	124	126	183	2039	212	149	1119	1096	207	663	609	1144	466	510	359					
2	"Число бюллетеней, полученных участковыми комиссиями"	97059	2251	2473	1922	2737	2161	2283	1382	2505	1859	676	1527	1298	1060	1952	2076	2811	2366	2634	2903	2155	1392	1625	2139	2507	2684	1892	867	838	455	212	221	640	1372	186	180	200	191	300	343	2222	390	1084	1096	2280	2423	2105	2261	517	2240	2619	257	290	2552	1569	326	357	148	225	269	317	222	376	270	190	1620	216	440	126	125	174	2059	207	146	1081	1106	197	655	595	1131	451	498	352					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44770	986	1130	763	1213	964	1077	587	1164	803	325	528	472	163	812	1084	1442	1349	1437	1400	1056	679	846	1137	1226	1448	701	357	367	193	116	98	228	737	81	59	74	101	158	145	1146	208	579	651	838	864	823	819	142	1231	1424	133	197	1334	688	175	123	91	119	132	80	118	179	142	63	692	122	200	78	80	57	946	126	40	440	424	102	251	279	521	181	250	176					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3667	90	45	40	70	42	21	13	25	18	9	24	15	408	39	33	19	9	30	19	24	8	27	16	15	19	73	33	19	53	11	15	105	71	48	62	48	22	14	72	53	39	55	20	57	124	4	13	133	25	33	38	26	14	27	19	85	0	0	21	52	0	17	13	21	58	17	104	10	17	76	147	19	67	40	89	29	28	61	108	112	22	50					
6	Число погашенных бюллетеней	48605	1175	1298	1119	1454	1155	1185	782	1316	1038	342	975	811	489	1097	959	1350	1008	1167	1484	1075	705	752	986	1259	1217	1118	477	452	209	85	108	307	564	57	59	78	68	128	126	1023	143	450	425	1385	1432	1276	1429	242	984	1162	86	67	1204	854	132	149	57	106	115	185	104	180	115	106	870	77	136	38	28	41	966	62	39	601	593	66	376	255	502	158	226	126					
7	Число бюллетеней в переносных ящиках для голосования	3667	90	45	40	70	42	21	13	25	18	9	24	15	408	39	33	19	9	30	19	24	8	27	16	15	19	73	33	19	53	11	15	105	71	48	62	48	22	14	72	53	39	55	20	57	124	4	13	133	25	33	38	26	14	27	19	85	0	0	21	52	0	17	13	21	58	17	104	10	17	76	147	19	67	40	89	29	28	61	108	112	22	50					
8	Число бюллетеней в стационарных ящиках для голосования	44719	986	1130	763	1212	964	1077	585	1164	802	325	528	472	163	812	1084	1413	1337	1434	1400	1056	678	846	1136	1233	1446	701	357	367	193	116	98	228	737	81	59	74	101	158	145	1146	208	579	651	838	867	823	819	142	1222	1424	133	197	1334	688	175	123	91	119	133	80	118	179	141	63	692	122	200	78	80	57	946	126	40	440	424	102	251	279	521	181	250	176					
9	Число недействительных бюллетеней	1713	33	54	38	51	45	32	18	45	34	5	8	14	46	15	47	56	55	25	53	15	36	10	22	30	30	48	36	16	20	15	6	15	40	5	2	2	8	8	7	38	13	20	25	8	23	12	7	4	22	17	4	5	50	22	19	9	5	19	11	16	20	9	8	7	20	7	28	5	8	10	15	10	2	32	44	1	15	15	22	18	9	14					
10	Число действительных бюллетеней	46673	1043	1121	765	1231	961	1066	580	1144	786	329	544	473	525	836	1070	1376	1291	1439	1366	1065	650	863	1130	1218	1435	726	354	370	226	112	107	318	768	124	119	120	115	164	210	1161	234	614	646	887	968	815	825	271	1225	1440	167	218	1298	693	175	199	86	100	143	116	98	187	146	77	730	132	276	83	89	123	1078	135	105	448	469	130	264	325	607	275	263	212					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2280	56	62	47	67	54	56	34	62	46	16	36	31	25	47	54	71	59	66	72	54	35	41	54	2	67	48	22	21	12	5	5	16	35	5	2	5	5	8	8	54	10	25	25	25	60	53	55	0	65	55	5	5	62	38	8	10	3	5	8	8	5	10	9	5	40	0	10	3	3	5	50	5	3	25	25	5	15	15	25	10	12	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	504	25	38	22	32	10	7	8	10	9	1	9	8	2	16	6	3	6	6	10	12	5	8	15	2	15	4	15	1	3	3	1	1	13	0	1	0	0	4	0	22	1	6	4	19	8	7	12	0	10	9	0	0	10	13	0	0	0	0	0	0	0	0	2	2	6	0	2	1	0	0	7	1	0	8	8	0	5	4	4	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	512	10	8	7	13	7	8	4	20	5	3	0	5	6	5	5	7	6	1	4	2	3	6	6	4	12	15	5	7	9	4	6	9	11	7	12	2	7	8	10	8	7	4	2	7	3	5	2	6	13	6	6	14	5	5	3	8	2	3	3	3	3	3	4	3	5	5	7	5	5	6	12	3	2	11	6	5	3	4	9	16	6	5					
