Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Енисейская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №2283									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20213	1203	1453	404	460	242	871	365	361	978	1004	151	632	1082	1299	141	1441	354	142	242	264	924	315	169	247	103	757	187	68	256	62	81	1354	432	641	244	89	121	1074									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20104	1212	1462	393	459	246	857	374	353	951	972	145	642	1073	1275	139	1425	361	135	238	267	919	317	167	251	95	767	189	69	254	69	84	1347	445	638	240	86	120	1068									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	36	0	15	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7629	441	470	124	241	91	270	138	196	344	387	70	197	337	488	55	610	137	72	126	134	315	125	75	126	49	207	93	34	102	35	49	426	153	310	154	55	27	366									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	486	20	25	41	21	26	4	11	12	41	16	11	20	22	9	9	7	7	3	8	1	16	15	8	22	0	32	1	0	0	17	0	18	9	17	0	0	0	17									
6	Число погашенных избирательных бюллетеней	11897	751	967	228	197	129	583	225	145	566	569	64	425	714	778	75	808	217	60	104	132	588	177	84	103	46	528	95	35	152	17	35	862	283	311	50	31	78	685									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	578	20	25	41	21	26	4	11	12	41	16	11	20	22	9	9	7	7	3	8	1	16	15	8	22	0	32	1	0	0	17	0	59	9	17	36	0	15	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7628	441	470	124	241	91	270	138	196	344	387	70	197	336	488	55	610	137	72	126	134	315	125	75	126	49	207	93	34	102	35	49	426	153	310	154	55	27	366									
9	Число недействительных избирательных бюллетеней	249	17	15	4	10	1	4	4	8	12	12	1	5	16	28	1	11	5	1	5	3	10	2	3	5	1	10	2	0	1	1	0	20	3	5	6	0	1	16									
10	Число действительных избирательных бюллетеней	7957	444	480	161	252	116	270	145	200	373	391	80	212	342	469	63	606	139	74	129	132	321	138	80	143	48	229	92	34	101	51	49	465	159	322	184	55	41	367									
