Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Богородицкая																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41697	1864	1031	1050	1666	1279	1009	1867	783	1550	1253	1387	1084	1022	834	232	582	1099	1401	1230	1232	1248	1319	1676	404	470	136	334	461	768	275	838	310	328	402	126	248	219	1601	1560	1343	1404	1125	585	615	447									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38970	1800	1000	1000	1600	1200	1000	1800	750	1500	1200	1400	1000	1000	800	200	500	1000	1300	1100	1100	1100	1200	1600	400	400	140	350	400	700	250	800	300	300	400	130	200	200	1500	1400	1200	1300	1000	500	550	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14103	698	413	386	625	477	416	701	230	494	448	461	452	354	209	86	179	379	525	411	411	595	406	444	60	170	62	136	83	197	60	387	90	157	175	34	103	115	388	461	470	408	139	197	297	114									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3773	32	122	22	23	29	27	17	36	36	21	37	16	46	75	20	37	45	35	43	37	72	116	295	143	128	14	33	91	153	102	218	48	84	95	37	65	24	199	77	94	121	385	204	108	111									
6	Число погашенных избирательных бюллетеней	21094	1070	465	592	952	694	557	1082	484	970	731	902	532	600	516	94	284	576	740	646	652	433	678	861	197	102	64	181	226	350	88	195	162	59	130	59	32	61	913	862	636	771	476	99	145	175									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3773	32	122	22	23	29	27	17	36	36	21	37	16	46	75	20	37	45	35	43	37	72	116	295	143	128	14	33	91	153	102	218	48	84	95	37	65	24	199	77	94	121	385	204	108	111									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14097	698	410	386	625	477	416	701	230	492	448	461	452	354	209	86	179	379	525	411	411	595	406	444	60	170	62	136	83	197	60	387	89	157	175	34	103	115	388	461	470	408	139	197	297	114									
9	Число недействительных избирательных бюллетеней	385	28	8	5	17	11	16	18	8	19	12	9	12	2	4	1	3	7	16	5	14	49	10	11	1	3	0	5	1	5	0	6	2	10	3	0	0	1	13	24	8	12	4	1	0	1									
10	Число действительных избирательных бюллетеней	17485	702	524	403	631	495	427	700	258	509	457	489	456	398	280	105	213	417	544	449	434	618	512	728	202	295	76	164	173	345	162	599	135	231	267	71	168	138	574	514	556	517	520	400	405	224									
