Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Сорская городская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101					
1	"Число избирателей, внесенных в списки"	8996	1994	1845	2114	2230	813					
2	"Число бюллетеней, полученных участковыми комиссиями"	8601	1900	1800	2100	2100	701					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3503	811	727	817	882	266					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	379	126	47	55	37	114					
6	Число погашенных бюллетеней	4719	963	1026	1228	1181	321					
7	Число бюллетеней в переносных ящиках для голосования	378	126	47	55	37	113					
8	Число бюллетеней в стационарных ящиках для голосования	3503	811	727	817	882	266					
9	Число недействительных бюллетеней	49	11	8	11	11	8					
10	Число действительных бюллетеней	3832	926	766	861	908	371					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	23	20	23	23	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	8	4	9	7	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	3	4	1	3	30					
14	Число погашенных открепительных удостоверений	70	15	16	14	16	9					
15	Число открепительных удостоверений выданных ТИК	2	0	1	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	24	5	7	7	2	3					
		0.61%	0.53%	0.90%	0.80%	0.21%	0.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	77	12	14	19	23	9					
		1.98%	1.28%	1.80%	2.17%	2.50%	2.37%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	158	29	27	42	49	11					
		4.07%	3.09%	3.48%	4.81%	5.33%	2.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	150	37	28	40	31	14					
		3.86%	3.94%	3.61%	4.58%	3.37%	3.69%					
22	"5. ""За Русь Святую"""	27	6	7	6	7	1					
		0.69%	0.64%	0.90%	0.68%	0.76%	0.26%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	7	3	4	0	0					
		0.36%	0.74%	0.38%	0.45%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	24	4	7	6	5	2					
		0.61%	0.42%	0.90%	0.68%	0.54%	0.52%					
25	"8. ""Народно-республиканская партия России"""	3	0	1	0	2	0					
		0.07%	0.0%	0.12%	0.0%	0.21%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	1	3	3	0					
		0.20%	0.10%	0.12%	0.34%	0.32%	0.0%					
27	"10. ""Аграрная партия России"""	97	28	18	17	16	18					
		2.49%	2.98%	2.32%	1.94%	1.74%	4.74%					
28	"11. ""Истинные патриоты России"""	2	1	0	0	1	0					
		0.05%	0.10%	0.0%	0.0%	0.10%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	32	7	5	10	6	4					
		0.82%	0.74%	0.64%	1.14%	0.65%	1.05%					
30	"13. ""Демократическая партия России"""	13	4	3	0	5	1					
		0.33%	0.42%	0.38%	0.0%	0.54%	0.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	5	1	4	3	0					
		0.33%	0.53%	0.12%	0.45%	0.32%	0.0%					
32	"15. ""Партия СЛОН"""	7	1	0	3	2	1					
		0.18%	0.10%	0.0%	0.34%	0.21%	0.26%					
33	"16. ""Родина"" (народно-патриотический союз)"""	313	92	51	68	72	30					
		8.06%	9.81%	6.58%	7.79%	7.83%	7.91%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	0	3	2	3	1					
		0.23%	0.0%	0.38%	0.22%	0.32%	0.26%					
35	"18. ""ЛДПР"""	459	79	107	109	112	52					
		11.82%	8.43%	13.82%	12.49%	12.18%	13.72%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	71	23	17	11	19	1					
		1.82%	2.45%	2.19%	1.26%	2.06%	0.26%					
37	"20. ""Политическая партия ""Единая Россия"""	978	231	201	201	251	94					
		25.19%	24.65%	25.96%	23.05%	27.31%	24.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	2	0	0	0	1					
		0.07%	0.21%	0.0%	0.0%	0.0%	0.26%					
39	"22. ""Развитие предпринимательства"""	7	4	1	1	1	0					
		0.18%	0.42%	0.12%	0.11%	0.10%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1168	314	239	269	235	111					
		30.09%	33.51%	30.87%	30.84%	25.57%	29.28%					
												
41	Против всех	175	34	25	39	60	17					
		4.50%	3.62%	3.22%	4.47%	6.52%	4.48%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
