Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Ленинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48612	1180	415	366	1472	1343	433	902	875	211	1737	1228	1413	1791	929	786	1362	200	792	901	541	435	169	241	961	975	1037	148	2134	1462	340	650	686	1789	1384	697	1568	1974	1325	1370	1829	2335	1851	1932	2347	96									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36775	900	300	300	1100	1000	350	700	650	150	1300	900	1050	1350	750	600	1000	150	600	750	400	300	150	200	700	750	800	125	1600	1100	300	500	500	1350	1050	500	1200	1500	1000	1000	1350	1700	1400	1500	1700	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23290	466	229	212	462	465	227	603	515	98	904	775	674	923	583	498	695	120	433	472	257	232	129	134	482	483	569	90	822	871	209	315	430	685	638	312	802	1019	617	638	671	971	777	752	1010	21									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1719	31	38	31	35	25	30	76	45	20	42	77	57	84	18	66	37	17	45	26	16	32	16	13	45	64	84	12	57	43	18	29	30	77	56	29	23	35	9	48	24	19	18	26	21	75									
6	Число погашенных избирательных бюллетеней	11766	403	33	57	603	510	93	21	90	32	354	48	319	343	149	36	268	13	122	252	127	36	5	53	173	203	147	23	721	186	73	156	40	588	356	159	375	446	374	314	655	710	605	722	669	104									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1719	31	38	31	35	25	30	76	45	20	42	77	57	84	18	66	37	17	45	26	16	32	16	13	45	64	84	12	57	43	18	29	30	77	56	29	23	35	9	48	24	19	18	26	21	75									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23290	466	229	212	462	465	227	603	515	98	904	775	674	923	583	498	695	120	433	472	257	232	129	134	482	483	569	90	822	871	209	315	430	685	638	312	802	1019	617	638	671	971	777	752	1010	21									
9	Число недействительных избирательных бюллетеней	395	4	3	4	3	5	2	24	6	0	15	12	28	18	5	9	7	0	6	12	4	1	0	2	7	6	14	1	3	12	3	6	1	13	9	7	11	18	10	15	14	18	19	14	22	2									
10	Число действительных избирательных бюллетеней	24614	493	264	239	494	485	255	655	554	118	931	840	703	989	596	555	725	137	472	486	269	263	145	145	520	541	639	101	876	902	224	338	459	749	685	334	814	1036	616	671	681	972	776	764	1009	94									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1360	33	16	10	41	38	12	36	23	6	49	35	40	50	24	22	38	6	22	22	15	12	5	6	27	28	30	4	60	41	7	18	19	50	39	19	44	56	36	38	51	63	51	55	63	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	356	2	3	1	4	7	0	32	7	2	12	4	17	21	4	2	5	0	12	5	3	2	0	0	7	14	21	1	9	5	0	5	2	8	5	5	9	24	9	11	11	16	9	14	26	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	269	6	4	12	1	1	4	1	9	4	8	3	5	10	4	4	3	3	2	5	2	8	8	5	2	3	10	4	3	2	2	4	3	3	2	2	3	11	22	7	3	20	24	6	8	13									
14	Число погашенных неиспользованных открепительных удостоверений	1004	31	13	9	37	31	12	4	16	4	37	31	23	29	20	20	33	6	10	17	12	10	5	6	20	14	9	3	51	36	7	13	17	42	34	14	35	32	27	27	40	47	42	41	37	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	1	0	0	0	0	0	0	0	0	3	3	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	2	3	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	329	4	5	7	2	9	3	16	5	1	5	6	8	15	5	2	9	0	5	10	4	1	0	4	2	2	5	0	6	10	1	6	0	10	7	2	13	9	9	6	6	30	21	40	18	0									
		1.32%	0.80%	1.87%	2.88%	0.40%	1.84%	1.17%	2.36%	0.89%	0.85%	0.53%	0.70%	1.09%	1.49%	0.83%	0.35%	1.23%	0.00%	1.05%	2.01%	1.47%	0.38%	0.00%	2.72%	0.38%	0.37%	0.77%	0.00%	0.68%	1.09%	0.44%	1.74%	0.00%	1.31%	1.01%	0.59%	1.58%	0.85%	1.44%	0.87%	0.86%	3.03%	2.64%	5.14%	1.75%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	354	6	1	5	7	11	5	10	9	1	11	12	15	12	11	3	16	0	7	4	3	1	4	2	8	7	7	2	6	12	5	4	4	3	18	4	12	20	10	3	7	16	20	15	11	4									
		1.42%	1.21%	0.37%	2.06%	1.41%	2.24%	1.95%	1.47%	1.61%	0.85%	1.16%	1.41%	2.05%	1.19%	1.83%	0.53%	2.19%	0.00%	1.46%	0.80%	1.10%	0.38%	2.76%	1.36%	1.52%	1.28%	1.07%	1.96%	0.68%	1.31%	2.20%	1.16%	0.87%	0.39%	2.59%	1.17%	1.45%	1.90%	1.60%	0.44%	1.01%	1.62%	2.52%	1.93%	1.07%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	248	2	4	3	8	2	2	8	6	0	12	5	8	9	5	5	11	1	10	4	3	1	0	0	5	4	4	1	5	3	1	6	4	4	5	1	6	12	9	5	9	18	9	7	20	1									
		0.99%	0.40%	1.50%	1.23%	1.61%	0.41%	0.78%	1.18%	1.07%	0.00%	1.27%	0.59%	1.09%	0.89%	0.83%	0.89%	1.50%	0.73%	2.09%	0.80%	1.10%	0.38%	0.00%	0.00%	0.95%	0.73%	0.61%	0.98%	0.57%	0.33%	0.44%	1.74%	0.87%	0.52%	0.72%	0.29%	0.73%	1.14%	1.44%	0.73%	1.29%	1.82%	1.13%	0.90%	1.94%	1.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19721	419	184	189	383	394	215	497	443	97	783	735	562	834	490	507	604	126	389	386	224	209	118	113	428	437	551	83	697	798	165	287	380	644	553	266	681	806	487	526	561	672	504	521	709	64									
