Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Светловская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №682	УИК №683	УИК №684	УИК №685					
1	"Число избирателей, внесенных в списки избирателей"	10530	2752	2329	3149	2300					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10045	2800	2389	2827	2029					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	387	0	0	387	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7074	1693	1489	2295	1597					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	136	29	27	60	20					
6	Число погашенных избирательных бюллетеней	2448	1078	873	85	412					
7	Число избирательных бюллетеней в переносных ящиках для голосования	523	29	27	447	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7065	1692	1488	2288	1597					
9	Число недействительных избирательных бюллетеней	175	39	46	57	33					
10	Число действительных избирательных бюллетеней	7413	1682	1469	2678	1584					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	486	120	120	126	120					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	266	56	63	82	65					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	35	2	5	0	28					
14	Число погашенных неиспользованных открепительных удостоверений	220	64	57	44	55					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	2	4	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	94	23	28	27	16					
		1.24%	1.34%	1.85%	0.99%	0.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	63	18	17	10	18					
		0.83%	1.05%	1.12%	0.37%	1.11%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	3	1					
		0.07%	0.06%	0.00%	0.11%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	482	130	146	81	125					
		6.35%	7.55%	9.64%	2.96%	7.73%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	25	9	6	5	5					
		0.33%	0.52%	0.40%	0.18%	0.31%					
23	6.Политическая партия «Партия социальной справедливости»	9	2	4	2	1					
		0.12%	0.12%	0.26%	0.07%	0.06%					
24	7.Политическая партия «Либерально-демократическая партия России»	981	207	137	449	188					
		12.93%	12.03%	9.04%	16.42%	11.63%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	575	162	165	71	177					
		7.58%	9.41%	10.89%	2.60%	10.95%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	56	12	9	18	17					
		0.74%	0.70%	0.59%	0.66%	1.05%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5074	1103	943	2005	1023					
		66.87%	64.09%	62.24%	73.31%	63.27%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	49	15	14	7	13					
		0.65%	0.87%	0.92%	0.26%	0.80%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
