Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Сафакулевская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864					
1	"Число избирателей, внесенных в списки"	11902	238	340	441	455	357	608	380	147	73	612	206	160	109	67	620	177	107	349	150	143	404	172	570	237	106	286	492	334	425	172	541	496	1318	610					
2	"Число бюллетеней, полученных участковыми комиссиями"	12005	250	330	420	460	360	610	400	150	80	620	205	160	110	70	620	180	105	350	170	140	405	170	600	220	120	335	495	335	420	175	540	500	1350	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7697	178	238	293	344	250	415	285	82	45	359	121	128	83	49	317	123	67	234	124	123	250	126	295	145	82	190	341	227	247	116	284	293	838	405					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	441	14	13	16	27	14	4	0	0	8	38	14	5	6	0	14	10	4	12	4	4	19	0	25	0	0	9	5	10	22	0	56	18	50	20					
6	Число погашенных бюллетеней	3867	58	79	111	89	96	191	115	68	27	223	70	27	21	21	289	47	34	104	42	13	136	44	280	75	38	136	149	98	151	59	200	189	462	125					
7	Число бюллетеней в переносных ящиках для голосования	441	14	13	16	27	14	4	0	0	8	38	14	5	6	0	14	10	4	12	4	4	19	0	25	0	0	9	5	10	22	0	56	18	50	20					
8	Число бюллетеней в стационарных ящиках для голосования	7696	178	237	293	344	250	415	285	82	45	359	121	128	83	49	317	123	67	234	124	123	250	126	295	145	82	190	341	227	247	116	284	293	838	405					
9	Число недействительных бюллетеней	168	7	4	15	4	7	2	2	0	0	10	0	2	5	0	12	2	0	5	2	2	2	5	7	4	5	5	7	4	9	4	11	4	18	2					
10	Число действительных бюллетеней	7969	185	246	294	367	257	417	283	82	53	387	135	131	84	49	319	131	71	241	126	125	267	121	313	141	77	194	339	233	260	112	329	307	870	423					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	226	5	6	5	5	5	10	5	5	5	10	5	5	5	5	10	5	5	10	5	5	7	5	10	5	5	5	7	5	7	5	5	5	26	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	0	0	1	0	2	2	0	0	4	2	1	0	0	0	3	0	1	2	0	4	2	0	1	0	0	0	3	5	0	0	1	0	17	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	1	1	4	1	0	0	1	0	1	1	0	3	4	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	6	0					
14	Число погашенных открепительных удостоверений	172	5	6	4	5	3	8	5	5	1	8	4	5	5	5	7	5	4	8	5	1	5	5	9	5	5	5	4	0	7	5	4	5	9	5					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	179	3	9	2	7	7	5	3	2	2	5	5	1	5	1	10	2	1	5	3	3	11	7	6	6	2	3	3	5	5	5	8	13	16	8					
		2.19%	1.56%	3.6%	0.64%	1.88%	2.65%	1.19%	1.05%	2.43%	3.77%	1.25%	3.70%	0.75%	5.61%	2.04%	3.02%	1.50%	1.40%	2.03%	2.34%	2.36%	4.08%	5.55%	1.87%	4.13%	2.43%	1.50%	0.86%	2.10%	1.85%	4.31%	2.35%	4.18%	1.80%	1.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	61	0	1	2	1	1	9	6	1	0	2	0	0	1	0	1	0	0	0	1	0	3	1	0	0	3	3	2	0	1	3	6	2	8	3					
		0.74%	0.0%	0.4%	0.64%	0.26%	0.37%	2.14%	2.10%	1.21%	0.0%	0.50%	0.0%	0.0%	1.12%	0.0%	0.30%	0.0%	0.0%	0.0%	0.78%	0.0%	1.11%	0.79%	0.0%	0.0%	3.65%	1.50%	0.57%	0.0%	0.37%	2.58%	1.76%	0.64%	0.90%	0.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	312	11	7	14	19	10	28	10	6	8	24	0	5	4	3	4	0	4	9	4	1	11	1	6	3	2	3	5	7	22	6	11	13	37	14					
		3.83%	5.72%	2.8%	4.53%	5.12%	3.78%	6.68%	3.50%	7.31%	15.09%	6.04%	0.0%	3.75%	4.49%	6.12%	1.20%	0.0%	5.63%	3.65%	3.12%	0.78%	4.08%	0.79%	1.87%	2.06%	2.43%	1.50%	1.44%	2.95%	8.17%	5.17%	3.23%	4.18%	4.16%	3.29%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	100	2	3	4	3	2	6	0	1	3	16	1	2	3	0	0	0	3	3	5	2	0	0	4	0	0	1	0	1	6	2	2	0	17	8					
		1.22%	1.04%	1.2%	1.29%	0.80%	0.75%	1.43%	0.0%	1.21%	5.66%	4.03%	0.74%	1.50%	3.37%	0.0%	0.0%	0.0%	4.22%	1.21%	3.90%	1.57%	0.0%	0.0%	1.25%	0.0%	0.0%	0.50%	0.0%	0.42%	2.23%	1.72%	0.58%	0.0%	1.91%	1.88%					
22	"5. ""За Русь Святую"""	7	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0					
		0.08%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	1.88%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.11%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	1	0	1	0	0	4	6	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1					
		0.22%	0.52%	0.0%	0.32%	0.0%	0.0%	0.95%	2.10%	0.0%	0.0%	0.0%	0.74%	0.0%	2.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.23%					
