Выборы Президента Российской Федерации																																																																																																																																																																																	
Дата голосования: 02.03.2008																																																																																																																																																																																	
																																																																																																																																																																																	
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																																																	
																																																																																																																																																																																	
Сводная таблица результатов выборов																																																																																																																																																																																	
																																																																																																																																																																																	
	Число участковых избирательных комиссий	170																																																																																																																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	170																																																																																																																																																																															
																																																																																																																																																																																	
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1411	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1425	УИК №1427	УИК №1428	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1481	УИК №1482	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506					
1	"Число избирателей, включенных в списки избирателей"	119896	451	837	2200	20	2221	879	144	347	1704	1997	1924	1704	1328	807	715	347	1990	1797	1944	1313	1103	2205	1264	828	2021	1702	1310	1907	1385	1908	1547	1262	1533	1614	1362	1522	1630	1400	1751	1643	1762	1988	166	2003	1348	1319	1618	1257	1817	2010	1637	1227	1684	1647	1798	1919	979	2062	2104	1647	1217	1627	1635	1434	1884	1967	2185	1900	2164	2078	1122	1715	1777	1424	1324	1628	1597	18	18	17	19	25	23	24	19	19	16	92	91	86	95	93	92	92	92	22	18	18	15	364	282	93	87	27	30	23	24	24	24	23	25	24	23	24	24	31	20	28	29	29	20	28	26	23	22	24	30	23	23	23	18	15	15	15	13	15	15	16	15	14	29	29	21	29	29	20	17	27	26	28	26	128	23	17	29	29	29	35	23	20	76	14	74	77	66	27	26	17	7	7					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	115902	450	1000	2200	20	2200	1000	180	400	1600	2000	1800	1600	1200	750	700	350	2000	1700	2000	1300	1000	2000	1200	700	2000	1700	1200	2000	1300	1800	1500	1200	1500	1500	1400	1600	1400	1300	1700	1600	1800	2000	170	2000	1300	1200	1400	1100	1500	2000	1500	1100	1700	1500	1700	2000	1000	2000	2000	1700	1200	1500	1500	1400	1800	2000	2000	2000	2000	2000	1000	1600	1700	1400	1200	1700	1500	18	18	20	19	28	25	24	19	19	16	92	91	86	95	95	95	92	93	22	20	18	15	364	282	93	87	27	30	23	24	24	24	23	25	24	23	24	24	31	20	28	29	29	20	30	26	23	22	24	30	23	23	23	18	15	15	15	13	15	15	16	15	14	29	29	21	29	29	20	17	27	26	28	26	128	23	17	29	29	29	35	23	20	78	14	74	77	66	27	26	17	8	8					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	84633	362	691	1920	20	1993	747	144	252	1005	1203	1639	1387	1104	541	373	241	1165	1265	1482	858	548	1684	998	618	1762	1058	999	1438	943	1378	1076	889	1006	958	1048	923	1028	787	1261	1090	1064	1199	101	1674	941	915	1056	952	910	1313	1411	819	910	1099	1163	1580	905	1067	1205	1083	666	1063	996	1088	1041	1603	1452	1490	1649	1184	616	1317	1347	972	857	1174	1212	18	18	17	19	25	23	24	19	19	16	92	91	86	95	93	92	92	92	22	18	18	15	364	282	93	87	27	30	23	24	24	24	23	25	24	23	24	24	31	20	28	29	29	20	28	26	23	22	24	30	23	23	23	18	15	15	15	12	15	12	16	15	14	29	29	21	29	29	20	17	27	26	28	26	128	23	17	29	29	29	35	23	20	76	14	74	77	66	26	26	17	7	7					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4036	78	48	159	0	156	90	0	67	8	29	24	22	16	10	7	61	9	10	62	102	49	163	109	43	11	18	68	99	31	90	129	57	72	20	37	37	38	10	37	29	27	74	25	28	47	175	83	40	187	27	17	21	49	58	48	33	17	88	12	38	13	30	35	23	70	50	96	24	55	153	23	70	58	46	54	15	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	27233	10	261	121	0	51	163	36	81	587	768	137	191	80	199	320	48	826	425	456	340	403	153	93	39	227	624	133	463	326	332	295	254	422	522	315	640	334	503	402	481	709	727	44	298	312	110	261	108	403	660	72	260	741	343	489	387	78	845	783	579	521	407	469	289	689	347	452	486	296	663	361	213	295	382	289	511	266	0	0	3	0	3	2	0	0	0	0	0	0	0	0	2	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1					
