Выборы Президента Российской Федерации																																																																																																																																																																					
Дата голосования: 04.03.2012																																																																																																																																																																					
																																																																																																																																																																					
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																																					
																																																																																																																																																																					
Сводная таблица итогов голосования																																																																																																																																																																					
																																																																																																																																																																					
	Число участковых избирательных комиссий	154																																																																																																																																																																			
	Число участковых избирательных комиссий, приступивших к передаче сведений	154																																																																																																																																																																			
																																																																																																																																																																					
		Сумма	УИК №628	УИК №629	УИК №630	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1416	УИК №1417	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497									
1	Число избирателей, включенных в список избирателей	125576	466	1113	2521	2571	1051	205	466	1934	2195	1970	1825	1557	880	846	397	1997	1859	2023	1547	1202	2457	2551	110	2584	2055	1352	1994	1674	1909	1407	1189	1522	1569	1337	1690	1740	1437	1805	1743	1869	2531	2063	1486	1300	1579	1247	1801	2043	1610	1311	1801	1634	1532	2206	986	2093	2113	1831	1213	1592	1679	1372	1829	1930	2214	1996	2342	2875	1677	2205	1358	1404	1770	1531	17	20	20	18	22	43	31	67	59	91	94	92	76	97	81	83	85	89	40	19	18	133	29	29	71	80	27	28	19	29	29	28	28	18	20	10	9	9	8	29	29	29	29	20	36	40	24	15	17	27	28	26	27	120	19	19	19	22	22	23	24	19	21	21	20	21	18	20	21	21	24	19	21	24	15	24	26	19	28	11									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	115036	460	1000	2500	2500	1000	200	440	1500	2000	2000	1700	1300	800	800	400	2000	1500	2000	1500	1000	2000	2000	110	2500	2000	1300	2000	1500	1800	1400	1100	1500	1500	1200	1500	1500	1300	1500	1500	1500	2000	2000	1400	1200	1500	1200	1500	2000	1500	1200	1500	1500	1500	2000	1000	2000	2000	1500	1100	1500	1500	1300	1500	2000	2000	2000	2000	2500	1500	2000	1300	1200	1500	1500	17	20	20	18	22	43	31	67	59	92	94	92	76	97	81	85	85	89	42	19	18	135	29	29	71	80	27	28	19	29	29	28	28	18	20	10	9	9	8	29	29	29	29	20	36	40	24	15	17	27	28	26	27	128	19	19	19	22	22	23	24	19	21	21	20	21	18	22	21	21	24	19	21	24	15	24	28	19	30	13									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	89012	360	800	2100	1861	723	112	304	1390	1552	1470	1366	923	697	363	313	1171	1106	1380	1071	877	1736	1508	68	2027	1193	974	1320	1138	1407	869	918	1238	943	1124	1294	1021	1119	1131	1380	1098	1660	1450	740	1081	920	1013	908	1457	1483	1037	1163	1334	1271	1662	818	1129	1205	1364	912	1091	1268	1125	1293	1397	1653	1498	1663	1843	1293	1646	960	954	1310	1194	17	20	19	18	22	43	31	61	59	89	94	92	76	97	81	83	85	89	40	19	18	116	29	29	71	80	27	28	19	29	29	28	28	18	20	10	9	9	8	29	29	29	29	20	36	40	24	15	17	27	28	26	27	120	19	19	19	22	22	22	24	19	21	21	20	21	18	20	21	21	24	19	21	24	15	20	26	19	28	11									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3404	55	111	93	146	133	49	55	58	66	23	11	51	9	1	52	18	16	167	80	107	96	128	40	9	16	16	37	130	34	29	40	27	7	12	7	28	21	14	13	16	50	65	40	31	19	32	166	19	13	14	30	45	42	23	56	32	25	25	15	29	18	15	26	14	14	35	100	173	32	25	61	24	72	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	22620	45	89	307	493	144	39	81	52	382	507	323	326	94	436	35	811	378	453	349	16	168	364	2	464	791	310	643	232	359	502	142	235	550	64	199	451	160	355	107	386	290	485	620	88	561	155	426	524	4	149	307	121	187	315	126	839	770	111	173	380	214	160	181	589	333	467	237	484	175	329	279	222	118	303	0	0	1	0	0	0	0	6	0	3	0	0	0	0	0	2	0	0	2	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	2	0	2	2									
