Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Ленская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10981	1682	1556	187	300	253	420	417	480	214	225	345	408	94	117	188	164	1830	1596	253	102	150									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11000	1700	1600	180	290	250	430	420	470	210	230	350	410	100	100	190	160	1800	1600	250	110	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4582	704	723	52	78	77	146	186	196	76	81	141	142	47	41	89	55	879	636	129	47	57									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	705	88	118	29	9	3	55	64	50	12	35	35	22	7	39	13	1	38	62	3	6	16									
6	Число погашенных избирательных бюллетеней	5713	908	759	99	203	170	229	170	224	122	114	174	246	46	20	88	104	883	902	118	57	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	705	88	118	29	9	3	55	64	50	12	35	35	22	7	39	13	1	38	62	3	6	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4582	704	723	52	78	77	146	186	196	76	81	141	142	47	41	89	55	879	636	129	47	57									
9	Число недействительных избирательных бюллетеней	87	12	17	1	3	1	6	8	3	0	0	1	3	0	0	0	2	17	11	1	1	0									
10	Число действительных избирательных бюллетеней	5200	780	824	80	84	79	195	242	243	88	116	175	161	54	80	102	54	900	687	131	52	73									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	127	44	31	2	2	3	6	5	2	2	2	2	2	2	2	2	3	5	5	1	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	127	44	31	2	2	3	6	5	2	2	2	2	2	2	2	2	3	5	5	1	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	7	6	0	2	0	0	1	3	1	0	0	0	0	2	1	0	13	11	0	1	1									
