Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Неманская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357					
1	"Число избирателей, внесенных в список избирателей"	16560	1340	1036	860	1684	764	1056	1087	1056	1050	542	392	619	667	448	1021	533	470	790	734	411					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16350	1350	1000	850	1700	750	1050	1050	1050	1000	550	400	650	650	450	1000	500	450	800	700	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9515	781	710	410	761	482	646	658	584	702	277	162	501	320	292	608	252	193	367	506	303					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	657	73	25	43	66	16	13	32	15	27	6	43	37	47	30	32	49	42	23	30	8					
6	Число погашенных избирательных бюллетеней	6178	496	265	397	873	252	391	360	451	271	267	195	112	283	128	360	199	215	410	164	89					
7	Число избирательных бюллетеней в переносных ящиках для голосования	657	73	25	43	66	16	13	32	15	27	6	43	37	47	30	32	49	42	23	30	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9513	781	710	410	761	481	646	658	584	702	277	162	501	320	292	608	252	193	367	505	303					
9	Число недействительных избирательных бюллетеней	104	3	7	4	10	5	1	6	14	7	3	5	3	9	1	4	1	3	6	9	3					
10	Число действительных избирательных бюллетеней	10066	851	728	449	817	492	658	684	585	722	280	200	535	358	321	636	300	232	384	526	308					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	11	11	9	11	4	10	9	9	9	9	9	14	9	9	9	13	9	9	14	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	184	11	11	6	11	4	10	8	7	9	9	9	14	7	9	9	13	6	8	14	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	7	10	5	7	2	1	11	2	8	2	5	8	6	1	3	2	0	7	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	12	0	0	3	0	0	0	1	2	0	0	0	0	2	0	0	0	3	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	946	49	89	57	91	52	96	69	46	48	22	23	33	32	20	51	36	24	65	27	16					
		9.30%	5.74%	12.11%	12.58%	11.00%	10.46%	14.57%	10.00%	7.68%	6.58%	7.77%	11.22%	6.13%	8.72%	6.21%	7.97%	11.96%	10.21%	16.67%	5.05%	5.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1065	57	60	57	101	57	68	59	52	50	46	21	23	71	44	77	53	27	54	53	35					
		10.47%	6.67%	8.16%	12.58%	12.21%	11.47%	10.32%	8.55%	8.68%	6.86%	16.25%	10.24%	4.28%	19.35%	13.66%	12.03%	17.61%	11.49%	13.85%	9.91%	11.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	6	7	5	7	9	10	11	2	4	4	0	2	3	1	3	3	2	4	3	2					
		0.87%	0.70%	0.95%	1.10%	0.85%	1.81%	1.52%	1.59%	0.33%	0.55%	1.41%	0.00%	0.37%	0.82%	0.31%	0.47%	0.99%	0.85%	1.03%	0.56%	0.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1371	98	86	78	129	120	87	104	97	76	45	24	59	54	20	64	45	27	83	45	30					
		13.48%	11.48%	11.70%	17.22%	15.60%	24.14%	13.20%	15.07%	16.19%	10.43%	15.90%	11.71%	10.97%	14.71%	6.21%	10.00%	14.95%	11.49%	21.28%	8.41%	9.65%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	154	9	22	2	10	13	13	14	6	10	11	3	2	2	1	6	0	4	10	16	0					
		1.51%	1.05%	2.99%	0.44%	1.21%	2.62%	1.97%	2.03%	1.00%	1.37%	3.89%	1.46%	0.37%	0.54%	0.31%	0.94%	0.00%	1.70%	2.56%	2.99%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6412	630	464	250	479	240	380	426	380	533	152	128	415	196	234	433	160	147	167	374	224					
		63.05%	73.77%	63.13%	55.19%	57.92%	48.29%	57.66%	61.74%	63.44%	73.11%	53.71%	62.44%	77.14%	53.41%	72.67%	67.66%	53.16%	62.55%	42.82%	69.91%	72.03%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	30	2	0	0	0	1	4	1	2	1	0	1	1	0	1	2	3	1	1	8	1					
		0.29%	0.23%	0.00%	0.00%	0.00%	0.20%	0.61%	0.14%	0.33%	0.14%	0.00%	0.49%	0.19%	0.00%	0.31%	0.31%	0.99%	0.43%	0.26%	1.50%	0.32%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
