Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Комсомольская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574					
1	"Число избирателей, внесенных в список"	17591	1491	1700	1294	2325	804	1136	219	456	195	327	195	338	364	1108	985	116	462	1086	1152	177	817	78	190	345	231					
2	Число полученных избирательных бюллетеней	17566	1495	1684	1248	2322	801	1148	222	451	195	326	202	339	370	1120	970	117	472	1080	1145	181	821	86	192	349	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8633	780	887	659	1197	431	508	141	193	74	148	77	106	165	499	569	61	250	488	540	73	332	53	87	211	104					
5	"Число избирательных бюллетеней, выданных вне помещения"	1768	49	60	125	76	30	144	45	83	51	82	37	92	71	92	80	21	61	97	102	83	139	6	57	55	30					
6	Число погашенных избирательных бюллетеней	7165	666	737	464	1049	340	496	36	175	70	96	88	141	134	529	321	35	161	495	503	25	350	27	48	83	96					
7	Число избирательных бюллетеней в переносных ящиках	1768	49	60	125	76	30	144	45	83	51	82	37	92	71	92	80	21	61	97	102	83	139	6	57	55	30					
8	Число бюллетеней в стационарных ящиках для голосования	8631	779	887	658	1197	431	508	141	193	74	148	77	106	165	499	569	61	250	488	540	73	332	53	87	211	104					
9	Число недействительных избирательных бюллетеней	78	7	5	2	12	6	6	1	2	0	3	0	1	0	3	5	1	2	11	8	0	1	0	0	0	2					
10	Число действительных избирательных бюллетеней	10321	821	942	781	1261	455	646	185	274	125	227	114	197	236	588	644	81	309	574	634	156	470	59	144	266	132					
11	Число полученных открепительных  удостоверений	240	15	20	15	20	15	10	10	5	5	5	10	5	5	15	10	5	5	10	10	5	10	10	5	5	10					
12	Число выданных открепительных удостоверений	98	14	6	5	13	6	4	7	1	1	0	5	3	0	9	6	0	0	3	1	0	4	7	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	6	4	3	8	2	10	1	5	2	4	0	0	0	3	4	1	1	4	1	0	3	1	1	5	0					
14	Число неиспользованных открепительных удостоверений	142	1	14	10	7	9	6	3	4	4	5	5	2	5	6	4	5	5	7	9	5	6	3	4	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	319	26	47	26	66	11	12	20	6	3	1	3	6	5	15	17	0	4	11	16	1	10	1	4	6	2					
		3.07%	3.14%	4.96%	3.32%	5.18%	2.39%	1.84%	10.75%	2.17%	2.40%	0.43%	2.63%	3.03%	2.12%	2.54%	2.62%	0.00%	1.29%	1.88%	2.49%	0.64%	2.12%	1.69%	2.78%	2.26%	1.49%					
