Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Кобяйская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8024	400	164	344	410	154	378	398	267	368	166	130	341	537	504	396	294	165	125	314	148	145	96	61	326	288	191	128	315	268	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8860	350	150	340	400	150	350	400	280	350	150	150	400	600	600	500	340	200	160	380	200	150	110	70	380	290	280	150	360	350	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	224	7	0	0	0	0	0	0	0	0	0	1	7	17	5	6	0	4	13	0	2	5	0	0	0	0	0	2	3	87	65									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4848	211	104	177	212	83	158	223	156	180	85	89	217	339	304	267	177	122	96	186	120	84	67	46	223	187	117	99	244	151	124									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	441	35	16	26	12	17	44	19	8	12	47	3	17	35	34	21	11	0	3	11	3	4	0	0	13	13	12	0	8	9	8									
6	Число погашенных избирательных бюллетеней	3347	97	30	137	176	50	148	158	116	158	18	57	159	209	257	206	152	74	48	183	75	57	43	24	144	90	151	49	105	103	73									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	665	42	16	26	12	17	44	19	8	12	47	4	24	52	39	27	11	4	16	11	5	9	0	0	13	13	12	2	11	96	73									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4848	211	104	177	212	83	158	223	156	180	85	89	217	339	304	267	177	122	96	186	120	84	67	46	223	187	117	99	244	151	124									
9	Число недействительных избирательных бюллетеней	90	0	0	6	1	2	4	6	2	7	10	0	1	6	4	4	4	0	1	2	2	0	1	1	3	5	3	2	5	4	4									
10	Число действительных избирательных бюллетеней	5423	253	120	197	223	98	198	236	162	185	122	93	240	385	339	290	184	126	111	195	123	93	66	45	233	195	126	99	250	243	193									
