Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Краснояружская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761					
1	"Число избирателей, внесенных в списки избирателей"	11488	696	602	321	695	278	466	715	552	278	456	167	1579	676	1163	857	1169	818					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11305	695	605	325	685	280	465	715	545	275	445	170	1550	660	1100	850	1130	810					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9484	588	497	249	570	248	390	581	388	214	363	137	1331	555	944	724	1028	677					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1502	106	101	66	111	30	72	124	156	54	65	28	167	55	155	85	48	79					
6	Число погашенных избирательных бюллетеней	319	1	7	10	4	2	3	10	1	7	17	5	52	50	1	41	54	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1502	106	101	66	111	30	72	124	156	54	65	28	167	55	155	85	48	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9484	588	497	249	570	248	390	581	388	214	363	137	1331	555	944	724	1028	677					
9	Число недействительных избирательных бюллетеней	208	14	1	2	3	2	2	17	2	0	15	0	82	9	21	21	9	8					
10	Число действительных избирательных бюллетеней	10778	680	597	313	678	276	460	688	542	268	413	165	1416	601	1078	788	1067	748					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	129	4	5	3	4	3	4	4	4	2	4	2	15	11	22	21	10	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	95	3	3	0	4	2	3	4	0	1	0	0	12	8	20	18	8	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	37	1	2	1	4	1	0	1	3	2	2	0	3	4	2	4	7	0					
14	Число погашенных неиспользованных открепительных удостоверений	34	1	2	3	0	1	1	0	4	1	4	2	3	3	2	3	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
