Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Параньгинская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475					
1	"Число избирателей, внесенных в список"	12307	1580	1514	1838	753	819	388	489	599	417	867	484	667	654	179	645	414					
2	Число полученных избирательных бюллетеней	12115	1510	1455	1855	730	800	395	505	565	420	855	465	675	625	175	655	430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9167	1104	1084	1450	565	573	299	323	357	372	690	355	521	545	156	447	326					
5	"Число избирательных бюллетеней, выданных вне помещения"	1496	214	160	119	158	97	54	74	98	41	118	109	58	46	12	107	31					
6	Число погашенных избирательных бюллетеней	1452	192	211	286	7	130	42	108	110	7	47	1	96	34	7	101	73					
7	Число избирательных бюллетеней в переносных ящиках	1496	214	160	119	158	97	54	74	98	41	118	109	58	46	12	107	31					
8	Число бюллетеней в стационарных ящиках для голосования	9167	1104	1084	1450	565	573	299	323	357	372	690	355	521	545	156	447	326					
9	Число недействительных избирательных бюллетеней	170	13	13	17	19	8	1	4	6	4	10	55	4	0	4	5	7					
10	Число действительных избирательных бюллетеней	10493	1305	1231	1552	704	662	352	393	449	409	798	409	575	591	164	549	350					
11	Число полученных открепительных  удостоверений	292	25	30	48	10	25	15	5	10	29	21	11	18	10	0	25	10					
12	Число выданных открепительных удостоверений	289	25	30	48	10	25	15	5	10	29	21	11	15	10	0	25	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	26	3	15	7	6	4	1	1	6	6	2	2	5	1	6	3					
14	Число неиспользованных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	193	35	22	44	13	8	2	3	9	5	12	12	6	10	0	11	1					
		1.81%	2.66%	1.77%	2.80%	1.80%	1.19%	0.57%	0.76%	1.98%	1.21%	1.49%	2.59%	1.04%	1.69%	0.00%	1.99%	0.28%					
19	. Малышкин Олег Александрович	252	29	20	27	5	25	11	15	13	9	30	5	22	12	1	17	11					
		2.36%	2.20%	1.61%	1.72%	0.69%	3.73%	3.12%	3.78%	2.86%	2.18%	3.71%	1.08%	3.80%	2.03%	0.60%	3.07%	3.08%					
20	. Миронов Сергей Михайлович	53	6	7	8	1	8	0	1	2	1	3	2	6	1	1	5	1					
		0.50%	0.46%	0.56%	0.51%	0.14%	1.19%	0.00%	0.25%	0.44%	0.24%	0.37%	0.43%	1.04%	0.17%	0.60%	0.90%	0.28%					
21	. Путин Владимир Владимирович	7099	851	771	1006	457	494	271	283	297	330	472	296	417	443	133	346	232					
		66.58%	64.57%	61.98%	64.12%	63.21%	73.73%	76.77%	71.28%	65.27%	79.90%	58.42%	63.79%	72.02%	74.96%	79.17%	62.45%	64.99%					
22	. Хакамада Ирина Муцуовна	199	19	32	43	10	9	8	8	5	1	15	2	7	9	2	18	11					
		1.87%	1.44%	2.57%	2.74%	1.38%	1.34%	2.27%	2.02%	1.10%	0.24%	1.86%	0.43%	1.21%	1.52%	1.19%	3.25%	3.08%					
23	. Харитонов Николай Михайлович	2542	346	353	386	210	108	54	74	121	58	253	90	109	116	27	145	92					
		23.84%	26.25%	28.38%	24.60%	29.05%	16.12%	15.30%	18.64%	26.59%	14.04%	31.31%	19.40%	18.83%	19.63%	16.07%	26.17%	25.77%					
																							
24	Против всех	155	19	26	38	8	10	6	9	2	5	13	2	8	0	0	7	2					
		1.45%	1.44%	2.09%	2.42%	1.11%	1.49%	1.70%	2.27%	0.44%	1.21%	1.61%	0.43%	1.38%	0.00%	0.00%	1.26%	0.56%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
