Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Арамильская городская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108					
1	"Число избирателей, внесенных в списки"	12313	1238	1162	1752	1773	1733	2446	707	759	743					
2	"Число бюллетеней, полученных участковыми комиссиями"	11580	1100	1100	1700	1700	1600	2300	680	700	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4593	435	470	602	645	590	924	238	347	342					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	209	46	21	28	25	25	14	35	6	9					
6	Число погашенных бюллетеней	6778	619	609	1070	1030	985	1362	407	347	349					
7	Число бюллетеней в переносных ящиках для голосования	209	46	21	28	25	25	14	35	6	9					
8	Число бюллетеней в стационарных ящиках для голосования	4593	435	470	602	645	590	924	238	347	342					
9	Число недействительных бюллетеней	127	20	20	12	6	20	33	4	7	5					
10	Число действительных бюллетеней	4675	461	471	618	664	595	905	269	346	346					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	20	20	25	25	25	40	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	4	1	1	1	4	2	4	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	7	3	4	2	6	4	2	1	5					
14	Число погашенных открепительных удостоверений	179	16	19	24	24	21	38	11	14	12					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	50	2	9	5	8	5	5	6	3	7					
		1.04%	0.41%	1.83%	0.79%	1.19%	0.81%	0.53%	2.19%	0.84%	1.99%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	194	20	21	25	34	21	38	12	15	8					
		4.03%	4.15%	4.27%	3.96%	5.07%	3.41%	4.05%	4.39%	4.24%	2.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	317	50	27	43	45	23	62	21	21	25					
		6.60%	10.39%	5.49%	6.82%	6.71%	3.73%	6.60%	7.69%	5.94%	7.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	186	25	10	21	25	30	42	8	13	12					
		3.87%	5.19%	2.03%	3.33%	3.73%	4.87%	4.47%	2.93%	3.68%	3.41%					
22	"5. ""За Русь Святую"""	40	5	6	2	6	2	11	4	1	3					
		0.83%	1.03%	1.22%	0.31%	0.89%	0.32%	1.17%	1.46%	0.28%	0.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	1	0	2	1	5	6	0	3	1					
		0.39%	0.20%	0.0%	0.31%	0.14%	0.81%	0.63%	0.0%	0.84%	0.28%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	6	5	8	3	15	11	5	2	3					
		1.20%	1.24%	1.01%	1.26%	0.44%	2.43%	1.17%	1.83%	0.56%	0.85%					
25	"8. ""Народно-республиканская партия России"""	11	1	0	0	2	2	2	1	0	3					
		0.22%	0.20%	0.0%	0.0%	0.29%	0.32%	0.21%	0.36%	0.0%	0.85%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	2	2	4	4	2	3	1	2	2					
		0.45%	0.41%	0.40%	0.63%	0.59%	0.32%	0.31%	0.36%	0.56%	0.56%					
27	"10. ""Аграрная партия России"""	139	17	3	21	24	13	30	11	11	9					
		2.89%	3.53%	0.61%	3.33%	3.58%	2.11%	3.19%	4.02%	3.11%	2.56%					
28	"11. ""Истинные патриоты России"""	2	1	0	0	0	1	0	0	0	0					
		0.04%	0.20%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	126	11	10	24	25	10	28	2	8	8					
		2.62%	2.28%	2.03%	3.80%	3.73%	1.62%	2.98%	0.73%	2.26%	2.27%					
30	"13. ""Демократическая партия России"""	17	3	1	0	3	2	2	2	1	3					
		0.35%	0.62%	0.20%	0.0%	0.44%	0.32%	0.21%	0.73%	0.28%	0.85%					
31	"14. ""Великая Россия - Евразийский Союз"""	20	3	3	2	2	2	4	1	2	1					
		0.41%	0.62%	0.61%	0.31%	0.29%	0.32%	0.42%	0.36%	0.56%	0.28%					
32	"15. ""Партия СЛОН"""	9	2	2	1	2	1	1	0	0	0					
		0.18%	0.41%	0.40%	0.15%	0.29%	0.16%	0.10%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	315	28	21	43	56	43	72	18	22	12					
		6.55%	5.82%	4.27%	6.82%	8.35%	6.99%	7.67%	6.59%	6.23%	3.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	0	5	2	2	3	2	1	1	1					
		0.35%	0.0%	1.01%	0.31%	0.29%	0.48%	0.21%	0.36%	0.28%	0.28%					
35	"18. ""ЛДПР"""	711	64	82	78	102	105	136	25	59	60					
		14.80%	13.30%	16.70%	12.38%	15.22%	17.07%	14.49%	9.15%	16.71%	17.09%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	83	10	8	12	11	5	16	11	5	5					
		1.72%	2.07%	1.62%	1.90%	1.64%	0.81%	1.70%	4.02%	1.41%	1.42%					
37	"20. ""Политическая партия ""Единая Россия"""	1736	156	184	252	232	232	318	111	119	132					
		36.15%	32.43%	37.47%	40.0%	34.62%	37.72%	33.90%	40.65%	33.71%	37.60%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	0	2	1	1	0	5	3	1	1					
		0.29%	0.0%	0.40%	0.15%	0.14%	0.0%	0.53%	1.09%	0.28%	0.28%					
39	"22. ""Развитие предпринимательства"""	11	2	0	1	2	3	2	0	0	1					
		0.22%	0.41%	0.0%	0.15%	0.29%	0.48%	0.21%	0.0%	0.0%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	368	33	26	52	51	39	77	20	32	38					
		7.66%	6.86%	5.29%	8.25%	7.61%	6.34%	8.20%	7.32%	9.06%	10.82%					
																
41	Против всех	210	19	44	19	23	31	32	6	25	11					
		4.37%	3.95%	8.96%	3.01%	3.43%	5.04%	3.41%	2.19%	7.08%	3.13%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
