Выборы Президента Российской Федерации																																																																																																																												
																																																																																																																												
Наименование Избирательной комиссии:    Выборгская №10																																																																																																																												
																																																																																																																												
Итоги голосования 																																																																																																																												
																																																																																																																												
		Сумма	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285					
1	"Число избирателей, внесенных в список"	250967	2503	2310	2923	2500	2668	2129	1946	2219	2196	2250	2331	2262	2419	109	2422	2240	2240	2553	2640	2252	2687	2106	1814	1775	1847	2207	1857	2025	2032	1321	1522	2169	1755	1722	2040	2036	1577	1776	2501	2422	2594	2705	2602	2532	2459	324	68	2819	2628	2848	2234	2203	2064	2161	2440	2445	2588	2561	2830	2570	2070	2109	2058	1603	2579	2157	2153	2300	198	47	143	2584	2076	2528	2674	2550	2274	2566	2529	2678	2116	2025	2061	2063	2338	2403	2384	2491	2621	2491	2677	2168	2388	2020	2111	1950	2289	2640	2411	2079	2349	2214	2011	2432	2672	2582	2571	2288	2479	2694	2267	2222	2113	2014	2085	303	91					
2	Число полученных избирательных бюллетеней	238998	2500	2000	2600	2500	2600	1700	2000	2000	2000	2000	1600	2000	2000	500	2400	2100	2000	2500	2500	2200	2300	2000	1700	1600	1700	1700	1700	1800	2000	1200	1500	2000	1600	1600	2000	2000	1500	1600	2500	2200	2500	2500	2498	2500	2200	500	500	2600	2500	2600	2100	2000	2000	2000	2300	2200	2100	2500	2600	2500	2000	2000	2000	1500	2500	2000	2000	2100	500	500	500	2500	2000	2500	2500	2500	2100	2500	2500	2500	2000	2000	2100	2000	2100	2200	2200	2500	2500	2500	2500	2000	2200	2000	2000	2000	2000	2500	2200	2000	2200	2000	2000	2300	2500	2500	2500	2500	2800	2500	2300	2100	2000	2000	2000	500	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	137915	1294	1722	1337	1188	1684	1175	1008	971	1089	1174	1257	1273	1358	0	1402	1342	1194	1384	1458	1352	1663	1193	947	890	986	1164	1103	1091	1205	810	888	1332	1027	1091	1222	1079	900	975	1308	1217	1406	1440	1391	1408	1333	76	58	1633	1500	1604	1160	1278	1135	1154	1438	1246	1452	1495	1529	1393	1198	1202	1172	902	1411	1209	1183	1242	198	45	134	1402	1106	1410	1364	1366	1214	1308	1284	1405	1087	1005	1073	1118	1368	1296	1344	1393	1466	1408	1489	1206	1176	1095	1118	1012	1195	1438	1247	1110	1346	1283	1050	1305	1359	1459	1455	1197	1322	1544	1313	1224	1209	1042	1190	257	79					
5	"Число избирательных бюллетеней, выданных вне помещения"	3580	25	7	23	22	20	26	22	16	38	19	26	14	32	88	46	52	73	83	46	24	20	42	40	26	30	42	45	28	27	29	46	49	30	51	27	30	30	21	31	44	60	65	48	79	54	248	0	17	17	29	36	32	13	18	32	21	35	12	12	21	30	24	24	20	29	14	47	25	0	0	9	32	26	50	27	24	36	24	25	44	24	17	18	35	18	22	20	22	29	28	29	8	18	27	29	10	23	23	20	28	26	10	17	32	35	17	27	32	21	33	13	24	12	19	19	46	0					
6	Число погашенных избирательных бюллетеней	97503	1181	271	1240	1290	896	499	970	1013	873	807	317	713	610	412	952	706	733	1033	996	824	617	765	713	684	684	494	552	681	768	361	566	619	543	458	751	891	570	604	1161	939	1034	995	1059	1013	813	176	442	950	983	967	904	690	852	828	830	933	613	993	1059	1086	772	774	804	578	1060	777	770	833	302	455	357	1066	868	1040	1109	1110	850	1168	1191	1051	889	978	1009	847	714	882	836	1085	1005	1064	982	786	1006	878	853	978	782	1039	933	862	828	707	933	963	1106	1024	1018	1271	1457	923	974	852	779	939	791	197	421					
7	Число избирательных бюллетеней в переносных ящиках	3580	25	7	23	22	20	26	22	16	38	19	26	14	32	88	46	52	73	83	46	24	20	42	40	26	30	42	45	28	27	29	46	49	30	51	27	30	30	21	31	44	60	65	48	79	54	248	0	17	17	29	36	32	13	18	32	21	35	12	12	21	30	24	24	20	29	14	47	25	0	0	9	32	26	50	27	24	36	24	25	44	24	17	18	35	18	22	20	22	29	28	29	8	18	27	29	10	23	23	20	28	26	10	17	32	35	17	27	32	21	33	13	24	12	19	19	46	0					
8	Число бюллетеней в стационарных ящиках для голосования	137652	1293	1704	1337	1188	1684	1175	1003	971	1089	1163	1257	1273	1357	0	1401	1341	1192	1380	1456	1348	1663	1193	947	890	985	1164	1097	1089	1205	808	888	1332	1027	1089	1201	1077	898	974	1308	1206	1401	1437	1389	1402	1274	76	58	1630	1500	1602	1160	1278	1133	1150	1438	1246	1443	1492	1520	1393	1198	1201	1172	902	1408	1208	1183	1242	198	45	134	1401	1106	1409	1356	1366	1211	1308	1280	1403	1086	1004	1072	1118	1368	1296	1344	1393	1462	1406	1486	1206	1175	1095	1117	1012	1193	1438	1246	1106	1346	1283	1050	1300	1359	1459	1455	1197	1320	1542	1313	1223	1209	1041	1190	257	79					
9	Число недействительных избирательных бюллетеней	531	9	19	17	6	19	6	1	2	2	3	4	4	4	0	1	5	2	4	11	2	5	1	2	2	2	0	3	4	5	1	0	4	2	5	2	4	5	8	3	3	5	4	6	6	3	1	0	10	5	5	4	5	6	4	12	9	13	11	22	3	4	7	5	4	1	6	2	2	0	0	0	7	3	1	7	5	4	2	4	1	1	10	3	4	1	6	5	1	6	2	4	1	4	3	2	3	4	0	3	5	7	6	8	4	3	5	2	5	9	4	1	3	5	8	4	8	0					
10	Число действительных избирательных бюллетеней	140701	1309	1692	1343	1204	1685	1195	1024	985	1125	1179	1279	1283	1385	88	1446	1388	1263	1459	1491	1370	1678	1234	985	914	1013	1206	1139	1113	1227	836	934	1377	1055	1135	1226	1103	923	987	1336	1247	1456	1498	1431	1475	1325	323	58	1637	1512	1626	1192	1305	1140	1164	1458	1258	1465	1493	1510	1411	1224	1218	1191	918	1436	1216	1228	1265	198	45	143	1426	1129	1458	1376	1385	1243	1330	1301	1446	1109	1011	1087	1149	1385	1312	1359	1414	1485	1432	1511	1213	1189	1119	1144	1019	1212	1461	1263	1129	1365	1287	1059	1328	1391	1471	1480	1224	1332	1571	1325	1244	1216	1052	1205	295	79					
