Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Нытвенская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36753	1141	2008	2184	1665	444	1848	187	2064	1119	1078	1272	595	214	1072	232	588	175	870	1187	903	1738	1766	1651	1311	401	981	485	517	1594	1096	368	1406	749	268	428	396	378	374									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36740	1140	2020	2190	1670	430	1860	185	2050	1110	1080	1285	595	210	1080	230	580	180	870	1190	900	1735	1770	1655	1315	400	985	500	500	1600	1100	360	1400	750	270	420	385	370	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10823	387	723	682	612	145	578	39	586	324	267	307	103	61	286	86	143	72	212	269	197	471	650	621	307	113	466	168	206	276	266	100	394	195	60	133	106	100	112									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	787	6	20	25	10	5	22	11	29	11	6	25	27	0	17	5	11	9	22	16	9	7	6	4	8	1	11	46	32	44	85	27	36	31	27	47	35	20	34									
6	Число погашенных избирательных бюллетеней	25130	747	1277	1483	1048	280	1260	135	1435	775	807	953	465	149	777	139	426	99	636	905	694	1257	1114	1030	1000	286	508	286	262	1280	749	233	970	524	183	240	244	250	224									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	787	6	20	25	10	5	22	11	29	11	6	25	27	0	17	5	11	9	22	16	9	7	6	4	8	1	11	46	32	44	85	27	36	31	27	47	35	20	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10815	387	723	680	609	145	578	39	586	324	267	307	103	61	285	86	143	72	212	269	197	471	650	621	307	113	466	168	205	276	266	100	393	195	60	133	106	100	112									
9	Число недействительных избирательных бюллетеней	465	6	19	23	32	7	11	0	41	14	9	9	13	4	9	7	2	8	9	9	7	17	41	41	8	7	13	10	5	7	14	1	22	18	2	6	4	3	7									
10	Число действительных избирательных бюллетеней	11137	387	724	682	587	143	589	50	574	321	264	323	117	57	293	84	152	73	225	276	199	461	615	584	307	107	464	204	232	313	337	126	407	208	85	174	137	117	139									
