Наименование Избирательной комиссии			Мурманская																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Число участковых избирательных комиссий - 309 																																																																																																																																																																																																																																																																																																																							
"Число участковых избирательных комиссий, приступивших к передаче сведений - 309 "																																																																																																																																																																																																																																																																																																																							
 Сводная таблица результатов выборов																																																																																																																																																																																																																																																																																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №490	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №570	УИК №571	УИК №572	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671
1	"Число избирателей, включенных в списки избирателей"	266352	2427	2013	2113	2335	1790	1835	1975	1791	1468	1780	1599	1558	1860	1912	1947	1831	2142	2156	2011	2026	1266	1368	1252	2083	2092	1932	1724	1692	1675	1510	2240	2036	2298	1422	1657	1702	1819	1644	2061	1367	1486	1378	122	132	39	1339	1347	1374	1252	1288	1646	1596	1325	2629	1385	2572	2487	2641	2299	1976	1751	2626	2544	2081	2217	1813	1924	1657	1381	1419	1519	1633	2161	1914	1554	2180	1414	1573	1627	2098	1375	1638	1374	2090	1683	2256	2824	1940	1733	230	658	94	518	88	327	125	480	870	678	964	2022	1618	2059	1891	1813	1493	2299	1946	2070	1691	2344	2093	1521	1835	1754	1674	2197	1995	2160	1797	2131	2008	2122	2083	2123	2348	2066	2048	2047	1902	1694	1244	1861	1955	2075	2278	2041	1540	1463	1807	1884	1900	2391	1879	2327	2356	2293	2501	2164	691	365	76	157	75	82	63	101	82	92	80	85	29	33	34	22	18	18	18	18	37	31	39	79	19	78	31	36	34	22	25	23	23	23	27	20	21	20	20	21	21	21	21	20	21	26	22	23	22	22	13	16	22	25	30	21	22	20	21	21	58	114	120	35	93	91	59	29	25	24	31	163	29	18	17	19	17	13	19	17	120	33	26	27	26	21	28	35	34	62	60	29	29	16	33	19	32	37	36	39	28	62	64	14	10	12	18	34	20	20	42	32	20	34	36	35	64	30	29	41	30	24	35	19	16	19	19	16	32	41	19	31	27	27	28	29	26	26	30	20	31	31	11	71	71	72	74	28	17	59	14	22	36	20	25	25	11	22	32	34
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	229774	2250	1600	2000	2000	1600	1600	1650	1500	1200	1500	1350	1300	1600	1650	1650	1550	1850	1900	1700	1700	1100	1200	1100	1800	1800	1650	1450	1450	1400	1250	1950	1700	1950	1250	1400	1500	1550	1400	1800	1150	1200	1150	150	150	150	1150	1150	1150	1050	1100	1300	1450	1100	2300	1200	1850	2200	2350	2000	1750	1500	2300	2200	1800	1950	1550	1650	1450	1150	1200	1300	1400	1850	1650	1300	1800	1100	1350	1400	1800	1200	1400	1200	1800	1450	1850	2400	1700	1500	250	800	200	500	100	350	130	600	750	600	750	1750	1400	1750	1600	1600	1250	2000	1700	1750	1450	2000	1700	1300	1600	1500	1400	1900	1700	1850	1500	1750	1700	1800	1800	1800	2000	1750	1750	1750	1600	1450	1050	1600	1650	1750	1950	1800	1400	1250	1550	1600	1600	2050	1650	2000	2050	2000	2150	1850	600	400	110	190	75	82	63	101	82	92	80	85	30	33	34	22	18	18	18	18	37	31	39	79	19	78	31	36	36	22	25	23	23	23	27	20	21	20	20	21	21	21	21	20	22	26	22	23	22	22	13	16	22	25	32	21	22	20	21	21	58	114	120	35	93	91	59	29	25	24	31	163	29	18	17	19	17	13	19	17	133	33	26	27	26	21	28	35	34	62	60	29	29	16	33	19	32	37	39	39	28	62	64	14	10	14	18	34	20	20	42	32	20	35	36	35	64	30	29	41	30	24	35	19	16	19	19	20	32	41	19	31	30	30	28	29	26	26	30	20	31	31	13	71	71	72	74	28	17	59	14	22	36	20	25	25	11	22	32	34
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	179263	1742	1230	1509	1630	1232	1262	1388	1253	1051	1221	1099	1095	1273	1250	1198	1241	1341	1493	1329	1342	806	927	857	1332	1345	1356	1201	1142	1134	973	1462	1319	1482	763	1007	1097	1120	1026	1389	875	1057	983	117	132	7	832	905	970	792	873	1222	1214	898	1632	894	1575	1455	1686	1467	1294	1221	1672	1732	1362	1437	1199	1328	1121	911	967	978	1102	1458	1296	1071	1428	894	1101	1120	1403	903	1125	951	1400	1016	1546	1669	1174	1077	170	658	77	479	81	132	112	480	444	301	551	1249	1022	1357	1229	1185	916	1565	1297	1414	1152	1606	1376	1020	1214	1242	1200	1533	1337	1426	1182	1380	1302	1429	1420	1457	1620	1474	1338	1410	1311	1127	769	1288	1332	1338	1540	1274	1091	942	1233	1336	1316	1637	1250	1581	1587	1596	1757	1371	424	261	70	157	75	82	63	101	80	92	80	85	29	32	34	22	18	18	18	18	36	31	39	79	19	76	31	33	34	22	25	23	23	23	27	19	21	20	20	21	21	21	21	20	21	26	22	23	22	21	13	16	22	25	30	20	22	20	21	21	58	95	108	32	93	88	59	29	25	24	31	141	26	18	17	19	17	13	17	17	120	29	26	27	26	21	27	35	33	61	58	27	29	16	31	19	32	35	36	39	28	60	59	14	9	12	18	34	20	20	41	32	20	34	36	34	64	30	29	35	30	24	33	19	16	19	19	16	32	41	19	31	27	26	28	29	26	26	30	20	28	31	11	67	65	70	72	28	17	59	14	22	36	20	25	24	11	22	32	34
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2891	7	17	8	15	7	6	3	18	21	16	27	21	26	21	25	20	30	13	25	14	13	21	14	29	18	17	16	22	15	22	33	19	29	19	21	17	19	28	16	9	20	19	0	0	32	11	16	16	23	22	11	13	23	33	18	12	21	15	12	6	12	20	14	11	10	18	4	13	21	28	24	24	37	27	21	23	18	16	19	40	21	42	15	17	9	12	25	13	25	0	0	9	0	0	177	10	0	2	1	4	15	17	32	23	10	24	13	15	21	16	23	17	33	26	16	19	15	17	21	10	25	24	26	25	13	22	19	34	17	24	23	18	17	34	18	18	18	17	18	24	14	15	30	8	20	18	13	21	9	7	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Число погашенных избирательных бюллетеней	47616	501	353	483	355	361	332	259	229	128	263	224	184	301	379	427	289	479	394	346	344	280	252	229	439	437	277	233	286	251	254	455	362	439	468	372	386	411	346	395	266	123	148	33	18	111	307	229	164	235	203	67	223	179	635	288	263	724	649	521	450	267	608	454	427	503	333	318	316	218	205	298	274	355	327	208	349	188	233	261	357	276	233	234	383	425	292	706	513	398	80	142	114	21	19	41	8	120	304	298	195	486	361	361	348	405	310	422	388	315	282	371	307	247	360	242	181	352	346	403	308	345	374	345	355	330	358	257	378	323	265	300	263	295	284	394	392	508	292	290	293	250	269	383	392	399	445	391	372	470	169	62	40	33	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	19	12	3	0	3	0	0	0	0	0	22	3	0	0	0	0	0	2	0	13	4	0	0	0	0	1	0	1	1	2	2	0	0	2	0	0	2	3	0	0	2	5	0	1	2	0	0	0	0	1	0	0	1	0	1	0	0	0	6	0	0	2	0	0	0	0	4	0	0	0	0	3	4	0	0	0	0	0	0	3	0	2	4	6	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0
7	Число избирательных бюллетеней в переносных ящиках для голосования	2890	7	17	8	15	7	6	3	18	21	16	27	21	26	21	25	20	30	13	25	14	13	21	14	29	18	17	16	22	15	22	33	19	29	19	21	17	19	28	16	9	20	19	0	0	32	11	16	16	23	22	11	13	23	33	18	12	21	15	12	6	12	19	14	11	10	18	4	13	21	28	24	24	37	27	21	23	18	16	19	40	21	42	15	17	9	12	25	13	25	0	0	9	0	0	177	10	0	2	1	4	15	17	32	23	10	24	13	15	21	16	23	17	33	26	16	19	15	17	21	10	25	24	26	25	13	22	19	34	17	24	23	18	17	34	18	18	18	17	18	24	14	15	30	8	20	18	13	21	9	7	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Число бюллетеней в стационарных ящиках для голосования	179077	1742	1230	1509	1629	1231	1262	1386	1250	1047	1221	1099	1092	1268	1250	1197	1241	1340	1492	1323	1342	805	927	855	1331	1345	1351	1201	1141	1134	972	1462	1318	1482	763	1005	1097	1120	1026	1386	875	1056	982	117	132	7	832	905	970	791	871	1221	1214	894	1630	894	1574	1454	1684	1466	1294	1220	1672	1731	1362	1433	1199	1327	1121	911	966	978	1101	1455	1294	1070	1423	893	1100	1119	1401	900	1122	947	1400	1015	1546	1668	1169	1077	170	658	77	479	81	132	112	480	444	301	551	1249	1019	1350	1227	1180	916	1562	1293	1414	1151	1593	1376	1018	1212	1241	1199	1526	1337	1426	1180	1380	1302	1429	1420	1453	1620	1472	1337	1409	1311	1126	769	1286	1332	1338	1540	1270	1091	940	1230	1335	1316	1637	1250	1579	1586	1593	1755	1371	424	261	70	157	75	82	63	101	80	92	80	85	29	32	34	22	18	18	18	18	36	31	39	79	19	76	31	33	34	22	25	23	23	23	27	19	21	20	20	21	21	21	21	20	21	26	22	23	22	21	13	16	22	25	30	20	22	20	21	21	58	95	108	32	93	88	59	29	25	24	31	141	26	18	17	19	17	13	17	17	120	29	26	27	26	21	27	35	33	61	58	27	29	16	31	19	32	35	36	39	28	60	59	14	9	12	18	34	20	20	41	32	20	34	36	34	64	30	29	35	30	24	33	19	16	19	19	16	32	41	19	31	27	26	28	29	26	26	30	20	28	31	11	67	65	70	72	28	17	59	14	22	36	20	25	24	11	22	32	34
9	Число недействительных избирательных бюллетеней	2759	27	11	22	19	16	14	17	23	10	27	14	15	29	16	19	22	19	29	19	12	7	12	7	8	17	21	16	18	19	12	22	14	19	8	11	17	18	8	12	20	23	10	4	1	0	5	25	41	10	19	18	28	12	24	13	33	22	33	21	14	24	24	27	20	21	17	20	18	15	10	13	17	17	23	20	22	18	19	16	21	12	20	14	16	13	23	25	15	14	4	7	1	6	2	3	1	40	4	5	16	27	17	20	26	16	14	23	20	21	24	25	12	9	32	18	19	30	18	23	29	25	9	17	17	26	29	22	24	17	27	11	8	18	22	20	15	14	12	6	11	13	18	26	19	26	20	34	26	14	6	3	0	4	5	3	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	1	1	1	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	1	1	0	1	1	1	0	4	0	0	3	0	1	9	0	1	0	2	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	4	1	1	0	1	0	0	1	0	1	5	2	0	2	0	0	0	0	0	7	0	1	4	0	1	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	1	3	2	6	0	0	0	0	0	4	0	0	0	0	0	0	4	0
10	Число действительных избирательных бюллетеней	179208	1722	1236	1495	1625	1222	1254	1372	1245	1058	1210	1112	1098	1265	1255	1203	1239	1351	1476	1329	1344	811	936	862	1352	1346	1347	1201	1145	1130	982	1473	1323	1492	774	1015	1097	1121	1046	1390	864	1053	991	113	131	39	838	896	945	804	874	1214	1199	905	1639	899	1553	1453	1666	1457	1286	1208	1667	1718	1353	1422	1200	1311	1116	917	984	989	1108	1475	1298	1071	1424	893	1097	1122	1420	909	1144	948	1401	1011	1535	1668	1167	1088	166	651	85	473	79	306	121	440	442	297	539	1237	1019	1362	1224	1174	926	1552	1288	1414	1143	1591	1381	1042	1206	1239	1199	1511	1336	1424	1161	1380	1317	1438	1428	1440	1613	1469	1347	1409	1308	1138	779	1285	1344	1336	1543	1274	1096	952	1243	1336	1313	1641	1239	1573	1584	1572	1750	1366	425	335	70	153	70	79	63	101	80	92	80	82	28	32	34	21	18	18	18	18	36	31	39	79	19	69	31	32	34	22	25	22	22	22	25	19	21	20	20	21	21	21	19	20	21	25	22	22	22	19	12	15	22	24	29	19	22	16	21	21	55	95	107	23	93	87	59	27	25	23	31	139	26	18	17	19	17	11	17	17	120	29	26	25	26	21	26	35	32	57	57	26	29	15	31	19	31	35	35	34	26	60	57	14	9	12	18	34	13	20	40	28	20	33	36	27	63	30	28	35	30	24	33	19	16	19	19	16	32	39	19	30	26	25	27	29	26	26	30	20	28	31	10	64	63	64	72	28	17	59	14	18	36	20	25	24	11	22	28	34
