Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
"Наименование Избирательной комиссии:    Казань, Московская"																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №2932					
1	"Число избирателей, внесенных в списки"	98992	2757	2558	2364	1878	1900	2129	2056	2196	2484	1931	1222	1975	1663	1190	2008	1558	2064	1989	2035	2844	1762	1718	1849	2299	2080	1909	2275	2477	2306	2348	2848	2774	2848	1820	1644	1576	1848	1953	1835	2197	1683	2652	2610	2433	2674	2653	235	65	56	222	160	205	177					
2	"Число бюллетеней, полученных участковыми комиссиями"	97806	2600	2500	2300	1900	1900	2100	2000	2200	2500	1900	1800	2000	1600	1889	1900	1600	2000	1900	1900	2700	1600	1700	1800	2200	2000	1900	2200	2400	2300	2300	2800	2800	2800	1700	1600	1500	1800	1900	1800	2000	1600	2600	2600	2400	2600	2600	230	65	56	222	160	207	177					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	63812	1979	1624	1523	1151	1211	1362	1325	1280	1592	1216	1172	1249	1023	1119	1338	1055	1327	1317	1350	1795	1114	1115	1160	1540	1333	1215	1464	1507	1550	1470	1721	1702	1749	1200	1072	974	1155	1363	1136	1315	1146	1574	1444	1546	1491	1672	192	65	56	222	160	205	176					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2295	33	93	59	65	37	93	59	56	63	75	50	39	49	71	34	32	25	51	30	52	60	48	44	42	34	46	44	27	43	22	44	90	58	66	53	79	52	48	37	65	53	34	16	53	27	37	7	0	0	0	0	0	0					
6	Число погашенных бюллетеней	31699	588	783	718	684	652	645	616	864	845	609	578	712	528	699	528	513	648	532	520	853	426	537	596	618	633	639	692	866	707	808	1035	1008	993	434	475	447	593	489	627	620	401	992	1140	801	1082	891	31	0	0	0	0	2	1					
7	Число бюллетеней в переносных ящиках для голосования	2294	33	92	59	65	37	93	59	56	63	75	50	39	49	71	34	32	25	51	30	52	60	48	44	42	34	46	44	27	43	22	44	90	58	66	53	79	52	48	37	65	53	34	16	53	27	37	7	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	63716	1978	1622	1523	1151	1211	1362	1321	1280	1584	1216	1172	1248	1023	1119	1338	1055	1325	1308	1350	1795	1114	1115	1159	1540	1333	1215	1457	1505	1550	1470	1721	1702	1749	1199	1069	974	1155	1363	1136	1315	1146	1574	1415	1546	1491	1646	192	65	56	222	160	205	176					
9	Число недействительных бюллетеней	1394	22	47	29	22	27	24	26	38	31	20	16	26	23	26	20	26	24	34	40	39	23	14	21	26	24	23	14	29	51	35	23	44	25	24	16	29	23	17	19	22	0	62	60	49	95	54	1	1	1	2	4	0	3					
10	Число действительных бюллетеней	64616	1989	1667	1553	1194	1221	1431	1354	1298	1616	1271	1206	1261	1049	1164	1352	1061	1326	1325	1340	1808	1151	1149	1182	1556	1343	1238	1487	1503	1542	1457	1742	1748	1782	1241	1106	1024	1184	1394	1154	1358	1199	1546	1371	1550	1423	1629	198	64	55	220	156	205	173					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2830	70	70	70	50	50	50	50	50	70	50	50	75	50	50	80	70	50	50	80	70	50	50	50	70	50	50	50	85	80	70	80	70	90	50	70	50	70	50	50	50	70	50	70	70	70	50	10	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	2260	56	53	57	45	42	39	43	48	63	48	28	52	32	44	67	43	39	40	56	56	36	41	48	53	42	41	38	73	54	54	69	65	78	41	51	41	55	38	28	49	47	46	52	56	59	48	6	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1966	34	21	25	22	21	14	25	30	14	34	57	23	19	9	28	13	30	51	17	12	57	24	17	24	48	42	24	27	30	10	20	12	22	36	11	23	12	58	26	21	23	38	22	37	12	15	7	64	35	191	107	199	173					
14	Число погашенных открепительных удостоверений	570	14	17	13	5	8	11	7	2	7	2	22	23	18	6	13	27	11	10	24	14	14	9	2	17	8	9	12	12	26	16	11	5	12	9	19	9	15	12	22	1	23	4	18	14	11	2	4	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
