Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Тбилисская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №4801	УИК №4802	УИК №4803	УИК №4804	УИК №4805	УИК №4806	УИК №4807	УИК №4808	УИК №4809	УИК №4810	УИК №4811	УИК №4812	УИК №4813	УИК №4814	УИК №4815	УИК №4816	УИК №4817	УИК №4818	УИК №4819	УИК №4820	УИК №4821	УИК №4822	УИК №4823	УИК №4824	УИК №4825	УИК №4826	УИК №4827	УИК №4828	УИК №4829	УИК №4830	УИК №4831	УИК №4832	УИК №4833	УИК №4834	УИК №4835	УИК №4836	УИК №4837	УИК №4838	УИК №4839	УИК №4840	УИК №4841	УИК №4842	УИК №4843	УИК №4844					
1	"Число избирателей, внесенных в списки избирателей"	37261	2044	1092	1405	1483	1247	887	1635	1233	2653	1763	1358	2017	307	1371	82	139	261	1093	208	164	64	230	922	923	1313	418	1424	132	467	722	448	1560	783	864	164	219	175	1571	357	371	910	402	111	269					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34771	1919	1016	1305	1388	1121	822	1481	1116	2476	1654	1202	1892	298	1271	108	130	250	1011	194	143	70	221	883	888	1241	397	1324	121	416	685	428	1480	651	819	155	224	166	1491	328	352	892	390	102	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24505	1354	647	905	989	778	582	1074	801	1582	1139	823	1186	179	911	82	97	227	758	165	114	52	186	552	609	862	290	1182	89	271	513	309	1071	415	540	125	157	142	1069	224	284	613	312	74	171					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2098	84	65	122	122	107	31	148	46	107	71	63	79	39	60	0	8	8	25	5	19	3	14	72	59	41	16	42	7	51	38	47	54	77	47	8	19	0	115	34	16	78	23	6	22					
6	Число погашенных избирательных бюллетеней	8168	481	304	278	277	236	209	259	269	787	444	316	627	80	300	26	25	15	228	24	10	15	21	259	220	338	91	100	25	94	134	72	355	159	232	22	48	24	307	70	52	201	55	22	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2098	84	65	122	122	107	31	148	46	107	71	63	79	39	60	0	8	8	25	5	19	3	14	72	59	41	16	42	7	51	38	47	54	77	47	8	19	0	115	34	16	78	23	6	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24495	1354	647	902	989	776	582	1074	801	1582	1139	823	1186	179	911	82	97	227	758	165	114	52	186	552	609	862	290	1182	89	271	513	307	1071	414	540	125	157	142	1069	224	284	611	312	74	171					
9	Число недействительных избирательных бюллетеней	575	21	10	19	28	35	17	27	18	41	28	26	28	3	19	1	1	3	12	4	0	2	3	19	12	20	14	18	3	1	12	12	6	18	11	3	2	1	37	9	3	11	8	1	8					
10	Число действительных избирательных бюллетеней	26018	1417	702	1005	1083	848	596	1195	829	1648	1182	860	1237	215	952	81	104	232	771	166	133	53	197	605	656	883	292	1206	93	321	539	342	1119	473	576	130	174	141	1147	249	297	678	327	79	185					
