Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Дновская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234					
1	"Число избирателей, внесенных в список"	13186	923	926	1144	1026	1120	1112	1149	1138	596	318	372	283	361	352	380	366	599	296	365	360					
2	Число полученных избирательных бюллетеней	13129	924	932	1135	1019	1131	1112	1084	1106	600	324	371	287	357	352	380	369	606	300	375	365					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6732	526	572	627	530	681	655	610	557	237	147	175	138	165	137	181	174	237	106	151	126					
5	"Число избирательных бюллетеней, выданных вне помещения"	1447	18	20	16	14	5	22	46	59	172	61	86	85	122	129	26	129	159	111	52	115					
6	Число погашенных избирательных бюллетеней	4950	380	340	492	475	445	435	428	490	191	116	110	64	70	86	173	66	210	83	172	124					
7	Число избирательных бюллетеней в переносных ящиках	1447	18	20	16	14	5	22	46	59	172	61	86	85	122	129	26	129	159	111	52	115					
8	Число бюллетеней в стационарных ящиках для голосования	6730	526	572	627	528	681	655	610	557	237	147	175	138	165	137	181	174	237	106	151	126					
9	Число недействительных избирательных бюллетеней	71	6	8	2	10	0	6	6	3	0	2	1	1	0	3	18	3	1	0	1	0					
10	Число действительных избирательных бюллетеней	8106	538	584	641	532	686	671	650	613	409	206	260	222	287	263	189	300	395	217	202	241					
11	Число полученных открепительных  удостоверений	200	15	15	15	15	20	15	15	15	6	6	6	6	6	6	6	9	6	6	6	6					
12	Число выданных открепительных удостоверений	73	5	5	4	6	20	8	8	4	1	1	0	4	0	3	1	1	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	2	2	9	6	3	6	12	7	3	2	3	0	7	1	1	2	2	3	3	1					
14	Число неиспользованных открепительных удостоверений	127	10	10	11	9	0	7	7	11	5	5	6	2	6	3	5	8	4	6	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	222	19	23	27	18	19	20	17	17	6	6	8	6	3	2	2	7	6	6	6	4					
		2.71%	3.49%	3.89%	4.20%	3.32%	2.77%	2.95%	2.59%	2.76%	1.47%	2.88%	3.07%	2.69%	1.05%	0.75%	0.97%	2.31%	1.52%	2.76%	2.96%	1.66%					
19	. Малышкин Олег Александрович	136	15	4	8	9	11	5	16	16	5	4	3	7	2	3	5	9	1	2	4	7					
		1.66%	2.76%	0.68%	1.24%	1.66%	1.60%	0.74%	2.44%	2.60%	1.22%	1.92%	1.15%	3.14%	0.70%	1.13%	2.42%	2.97%	0.25%	0.92%	1.97%	2.90%					
20	. Миронов Сергей Михайлович	117	7	10	9	5	5	11	7	11	6	6	5	3	6	2	6	4	1	4	4	5					
		1.43%	1.29%	1.69%	1.40%	0.92%	0.73%	1.62%	1.07%	1.79%	1.47%	2.88%	1.92%	1.35%	2.09%	0.75%	2.90%	1.32%	0.25%	1.84%	1.97%	2.07%					
21	. Путин Владимир Владимирович	6171	391	405	478	408	516	486	466	456	350	174	200	155	229	225	149	232	337	171	149	194					
		75.47%	71.88%	68.41%	74.34%	75.28%	75.22%	71.79%	71.04%	74.03%	85.57%	83.65%	76.63%	69.51%	79.79%	84.59%	71.98%	76.57%	85.10%	78.80%	73.40%	80.50%					
22	. Хакамада Ирина Муцуовна	157	12	17	16	18	15	16	19	13	1	0	4	5	1	4	2	3	2	2	1	6					
		1.92%	2.21%	2.87%	2.49%	3.32%	2.19%	2.36%	2.90%	2.11%	0.24%	0.00%	1.53%	2.24%	0.35%	1.50%	0.97%	0.99%	0.51%	0.92%	0.49%	2.49%					
23	. Харитонов Николай Михайлович	1154	83	110	87	55	105	113	110	94	38	15	37	45	45	26	25	41	41	28	33	23					
		14.11%	15.26%	18.58%	13.53%	10.15%	15.31%	16.69%	16.77%	15.26%	9.29%	7.21%	14.18%	20.18%	15.68%	9.77%	12.08%	13.53%	10.35%	12.90%	16.26%	9.54%					
																											
24	Против всех	149	11	15	16	19	15	20	15	6	3	1	3	1	1	1	0	4	7	4	5	2					
		1.82%	2.02%	2.53%	2.49%	3.51%	2.19%	2.95%	2.29%	0.97%	0.73%	0.48%	1.15%	0.45%	0.35%	0.38%	0.00%	1.32%	1.77%	1.84%	2.46%	0.83%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
