Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Починковская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035					
1	"Число избирателей, внесенных в списки избирателей"	25803	1450	1779	2357	1485	2690	298	502	214	568	415	269	1884	826	677	316	1016	274	715	86	422	327	1155	583	92	377	67	706	55	451	357	517	72	451	71	369	180	107	425	157	449	96	496					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25870	1490	1790	2315	1490	2735	300	510	210	580	420	270	1895	850	680	295	1020	270	715	75	420	330	1160	575	85	375	65	720	50	450	360	520	70	455	65	370	180	100	430	150	445	95	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18074	1072	1309	1687	1018	1926	226	353	121	366	276	195	1315	527	426	168	646	215	531	66	280	205	737	299	69	271	46	546	27	384	237	381	66	375	54	236	140	81	301	132	317	72	375					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2421	88	86	137	128	51	37	52	68	75	93	33	159	83	92	66	134	35	83	9	63	63	97	105	9	71	16	52	23	27	66	42	0	10	4	60	19	11	30	11	47	15	71					
6	Число погашенных избирательных бюллетеней	5375	330	395	491	344	758	37	105	21	139	51	42	421	240	162	61	240	20	101	0	77	62	326	171	7	33	3	122	0	39	57	97	4	70	7	74	21	8	99	7	81	8	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2421	88	86	137	128	51	37	52	68	75	93	33	159	83	92	66	134	35	83	9	63	63	97	105	9	71	16	52	23	27	66	42	0	10	4	60	19	11	30	11	47	15	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18074	1072	1309	1687	1018	1926	226	353	121	366	276	195	1315	527	426	168	646	215	531	66	280	205	737	299	69	271	46	546	27	384	237	381	66	375	54	236	140	81	301	132	317	72	375					
9	Число недействительных избирательных бюллетеней	145	5	5	11	10	15	5	8	7	5	2	1	1	5	4	1	5	1	1	0	1	4	8	5	0	10	0	3	0	2	2	8	0	2	0	2	0	0	4	0	0	1	1					
10	Число действительных избирательных бюллетеней	20350	1155	1390	1813	1136	1962	258	397	182	436	367	227	1473	605	514	233	775	249	613	75	342	264	826	399	78	332	62	595	50	409	301	415	66	383	58	294	159	92	327	143	364	86	445					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	493	35	27	42	24	46	11	10	4	11	9	5	42	13	12	7	18	6	14	2	8	7	21	13	0	7	2	15	0	9	7	9	2	8	2	7	4	2	8	3	9	2	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	339	35	25	41	23	46	9	5	4	11	5	3	37	13	4	4	3	0	8	2	3	2	11	13	0	0	0	12	0	0	2	4	0	3	0	2	2	0	3	1	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	168	14	14	11	7	7	2	3	2	3	3	3	10	8	4	5	4	2	6	6	4	3	2	3	2	5	2	4	4	1	1	3	1	0	2	2	1	2	2	2	2	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	154	0	2	1	1	0	2	5	0	0	4	2	5	0	8	3	15	6	6	0	5	5	10	0	0	7	2	3	0	9	5	5	2	5	2	5	2	2	5	2	9	2	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
