Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Талицкая																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986					
1	"Число избирателей, внесенных в списки"	40977	1296	2128	2336	1844	2534	707	1044	183	916	965	1491	1793	2043	1609	1247	1777	132	436	366	178	509	305	275	556	206	217	151	372	207	244	516	688	382	140	166	653	211	103	341	416	823	320	201	745	175	79	1366	209	259	226	598	509	222	1224	564	511	101	59	263	840					
2	"Число бюллетеней, полученных участковыми комиссиями"	41005	1292	2027	2282	1810	2494	721	1094	183	914	949	1546	1765	2020	1634	1240	1789	133	426	373	184	506	303	272	564	203	220	153	385	203	250	514	672	386	149	165	652	206	102	335	414	835	315	202	788	179	81	1404	201	263	235	597	504	214	1228	576	578	101	62	260	852					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16149	417	706	976	680	985	226	425	60	338	372	515	586	617	426	447	706	79	133	152	88	242	125	128	297	126	118	96	199	146	104	199	337	225	77	103	286	88	68	116	188	375	105	82	326	87	40	664	96	124	95	298	231	136	441	166	198	56	39	55	333					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3018	46	112	31	59	91	17	18	41	49	59	75	140	179	157	77	104	5	95	32	9	18	45	17	60	21	29	11	26	7	22	82	17	21	10	12	76	27	16	20	46	62	98	68	65	22	20	71	12	12	22	13	21	14	119	97	77	6	6	104	130					
6	Число погашенных бюллетеней	21838	829	1209	1275	1071	1418	478	651	82	527	518	956	1039	1224	1051	716	979	49	198	189	87	246	133	127	207	56	73	46	160	50	124	233	318	140	62	50	290	91	18	199	180	398	112	52	397	70	21	669	93	127	118	286	252	64	668	313	303	39	17	101	389					
7	Число бюллетеней в переносных ящиках для голосования	3037	46	112	31	59	91	17	18	60	49	59	75	140	179	157	77	104	5	95	32	9	18	45	17	60	21	29	11	26	7	22	82	17	21	10	12	76	27	16	20	46	62	98	68	65	22	20	71	12	12	22	13	21	14	119	97	77	6	6	104	130					
8	Число бюллетеней в стационарных ящиках для голосования	16128	416	706	976	680	985	226	425	41	338	372	515	586	617	426	446	706	79	133	152	88	242	125	128	297	126	118	96	199	146	104	199	337	225	77	103	286	88	68	116	188	375	105	82	326	87	40	664	96	124	95	298	231	136	441	166	198	56	39	55	333					
9	Число недействительных бюллетеней	476	34	16	19	19	21	8	15	2	4	10	6	30	15	17	3	21	3	1	3	1	6	8	7	6	7	4	0	0	2	0	5	8	2	2	5	3	0	2	9	12	13	2	2	16	4	5	13	1	5	5	10	7	1	28	6	7	2	2	2	9					
10	Число действительных бюллетеней	18689	428	802	988	720	1055	235	428	99	383	421	584	696	781	566	520	789	81	227	181	96	254	162	138	351	140	143	107	225	151	126	276	346	244	85	110	359	115	82	127	222	424	201	148	375	105	55	722	107	131	112	301	245	149	532	257	268	60	43	157	454					
