Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Чапаевская городская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55100	2745	2538	1117	1257	2584	1399	1315	1211	1588	1292	1589	1289	1674	1563	1596	848	1161	865	1561	1405	964	885	940	939	1222	833	2742	2589	2868	2665	2759	1256	1393	2448									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49800	2500	2300	1000	1100	2300	1200	1200	1100	1500	1200	1500	1200	1500	1400	1400	800	1000	800	1400	1300	900	800	900	800	1100	700	2500	2300	2600	2400	2500	1100	1300	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24052	1225	1172	638	577	1220	607	663	555	719	564	819	576	723	649	599	412	459	386	744	643	538	442	530	259	279	335	1064	982	1415	998	892	525	700	1143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3426	111	108	86	32	233	60	91	90	42	123	170	56	65	236	117	109	113	34	118	89	91	70	36	58	64	79	241	125	227	128	80	58	47	39									
6	Число погашенных избирательных бюллетеней	22322	1164	1020	276	491	847	533	446	455	739	513	511	568	712	515	684	279	428	380	538	568	271	288	334	483	757	286	1195	1193	958	1274	1528	517	553	1018									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3426	111	108	86	32	233	60	91	90	42	123	170	56	65	236	117	109	113	34	118	89	91	70	36	58	64	79	241	125	227	128	80	58	47	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24041	1225	1172	638	577	1220	607	663	555	719	564	819	576	723	649	599	412	459	386	744	641	538	442	530	259	279	328	1064	982	1413	998	892	525	700	1143									
9	Число недействительных избирательных бюллетеней	810	46	40	13	16	45	26	24	26	30	0	18	20	19	15	20	21	15	10	35	33	20	19	8	2	6	11	37	51	48	36	16	26	28	30									
10	Число действительных избирательных бюллетеней	26657	1290	1240	711	593	1408	641	730	619	731	687	971	612	769	870	696	500	557	410	827	697	609	493	558	315	337	396	1268	1056	1592	1090	956	557	719	1152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	751	30	30	20	20	30	20	20	20	20	20	30	20	25	20	20	15	20	15	20	20	10	10	14	10	5	10	55	30	45	40	30	7	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	566	30	30	17	12	29	11	18	15	17	11	29	7	25	11	12	9	11	12	9	13	9	10	9	6	1	10	53	23	45	23	17	4	15	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	393	29	11	7	13	22	15	8	10	12	5	12	11	4	12	26	12	5	8	8	9	11	9	5	6	9	12	14	14	17	1	13	27	6	10									
14	Число погашенных неиспользованных открепительных удостоверений	185	0	0	3	8	1	9	2	5	3	9	1	13	0	9	8	6	9	3	11	7	1	0	5	4	4	0	2	7	0	17	13	3	5	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	4	7	3	2	7	4	4	2	2	2	1	1	1	1	1	0	7	3	3	2	1	1	29	0	1	1	2	3	3	0	0	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	295	11	16	1	6	16	24	8	5	7	13	8	7	4	8	14	7	7	9	4	10	7	5	10	4	4	6	16	6	12	6	6	7	10	11									
		1.07%	0.82%	1.25%	0.14%	0.99%	1.10%	3.60%	1.06%	0.78%	0.92%	1.89%	0.81%	1.11%	0.51%	0.90%	1.96%	1.34%	1.22%	2.14%	0.46%	1.37%	1.11%	0.98%	1.77%	1.26%	1.17%	1.47%	1.23%	0.54%	0.73%	0.53%	0.62%	1.20%	1.34%	0.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	700	37	34	15	26	29	18	17	16	25	19	31	13	22	21	19	13	13	9	19	16	14	10	19	1	9	4	38	39	35	39	15	14	23	28									
		2.55%	2.77%	2.66%	2.07%	4.27%	1.99%	2.70%	2.25%	2.48%	3.29%	2.77%	3.13%	2.06%	2.79%	2.37%	2.65%	2.50%	2.27%	2.14%	2.20%	2.19%	2.23%	1.95%	3.36%	0.32%	2.62%	0.98%	2.91%	3.52%	2.13%	3.46%	1.54%	2.40%	3.08%	2.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	498	25	20	48	8	28	8	19	14	14	9	9	12	12	32	17	13	4	1	19	17	6	7	6	4	5	5	12	15	17	23	19	12	15	23									
		1.81%	1.87%	1.56%	6.63%	1.31%	1.93%	1.20%	2.52%	2.17%	1.84%	1.31%	0.91%	1.90%	1.52%	3.62%	2.37%	2.50%	0.70%	0.24%	2.20%	2.33%	0.95%	1.37%	1.06%	1.26%	1.46%	1.23%	0.92%	1.36%	1.04%	2.04%	1.95%	2.06%	2.01%	1.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15133	712	663	361	315	869	390	444	328	377	393	634	325	407	466	391	307	333	241	491	402	388	306	275	196	195	299	715	543	961	577	566	309	364	590									
		55.10%	53.29%	51.80%	49.86%	51.72%	59.81%	58.47%	58.89%	50.85%	49.54%	57.21%	64.11%	51.42%	51.65%	52.66%	54.61%	58.93%	58.22%	57.38%	56.96%	55.07%	61.69%	59.77%	48.59%	61.83%	56.85%	73.46%	54.79%	49.05%	58.60%	51.24%	58.23%	53.00%	48.73%	49.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	182	12	9	0	6	3	5	4	6	6	7	3	9	9	5	8	3	2	2	6	9	2	3	7	1	2	2	5	4	11	8	7	7	3	6									
		0.66%	0.90%	0.70%	0.00%	0.99%	0.21%	0.75%	0.53%	0.93%	0.79%	1.02%	0.30%	1.42%	1.14%	0.56%	1.12%	0.58%	0.35%	0.48%	0.70%	1.23%	0.32%	0.59%	1.24%	0.32%	0.58%	0.49%	0.38%	0.36%	0.67%	0.71%	0.72%	1.20%	0.40%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	2	5	7	1	1	3	1	2	3	1	1	1	3	4	3	1	1	0	4	2	2	0	1	0	1	1	2	0	2	3	2	5	1	1									
		0.24%	0.15%	0.39%	0.97%	0.16%	0.07%	0.45%	0.13%	0.31%	0.39%	0.15%	0.10%	0.16%	0.38%	0.45%	0.42%	0.19%	0.17%	0.00%	0.46%	0.27%	0.32%	0.00%	0.18%	0.00%	0.29%	0.25%	0.15%	0.00%	0.12%	0.27%	0.21%	0.86%	0.13%	0.08%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4384	212	207	85	91	195	65	91	98	111	113	136	119	139	171	132	76	97	70	132	122	71	74	139	67	60	36	237	198	227	175	185	111	122	220									
		15.96%	15.87%	16.17%	11.74%	14.94%	13.42%	9.75%	12.07%	15.19%	14.59%	16.45%	13.75%	18.83%	17.64%	19.32%	18.44%	14.59%	16.96%	16.67%	15.31%	16.71%	11.29%	14.45%	24.56%	21.14%	17.49%	8.85%	18.16%	17.89%	13.84%	15.54%	19.03%	19.04%	16.33%	18.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	197	18	12	0	4	7	3	2	10	9	4	9	8	5	6	5	4	2	4	3	5	1	3	4	2	0	0	9	5	14	8	6	7	5	13									
		0.72%	1.35%	0.94%	0.00%	0.66%	0.48%	0.45%	0.27%	1.55%	1.18%	0.58%	0.91%	1.27%	0.63%	0.68%	0.70%	0.77%	0.35%	0.95%	0.35%	0.68%	0.16%	0.59%	0.71%	0.63%	0.00%	0.00%	0.69%	0.45%	0.85%	0.71%	0.62%	1.20%	0.67%	1.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	220	6	21	24	7	7	3	4	5	4	4	7	2	7	4	5	2	8	4	10	4	4	1	5	3	4	3	6	8	9	7	11	5	5	11									
		0.80%	0.45%	1.64%	3.31%	1.15%	0.48%	0.45%	0.53%	0.78%	0.53%	0.58%	0.71%	0.32%	0.89%	0.45%	0.70%	0.38%	1.40%	0.95%	1.16%	0.55%	0.64%	0.20%	0.88%	0.95%	1.17%	0.74%	0.46%	0.72%	0.55%	0.62%	1.13%	0.86%	0.67%	0.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	2	1	0	1	1	0	0	0	1	0	0	2	2	1	1	0	0	1	1	3	0	1	2	0	0	1	2	1	1	4	1	1	0	1									
		0.12%	0.15%	0.08%	0.00%	0.16%	0.07%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.32%	0.25%	0.11%	0.14%	0.00%	0.00%	0.24%	0.12%	0.41%	0.00%	0.20%	0.35%	0.00%	0.00%	0.25%	0.15%	0.09%	0.06%	0.36%	0.10%	0.17%	0.00%	0.08%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	322	9	20	2	10	18	2	8	9	13	9	11	6	14	7	9	8	5	8	12	7	2	3	3	2	4	4	17	13	21	26	17	6	7	10									
		1.17%	0.67%	1.56%	0.28%	1.64%	1.24%	0.30%	1.06%	1.40%	1.71%	1.31%	1.11%	0.95%	1.78%	0.79%	1.26%	1.54%	0.87%	1.90%	1.39%	0.96%	0.32%	0.59%	0.53%	0.63%	1.17%	0.98%	1.30%	1.17%	1.28%	2.31%	1.75%	1.03%	0.94%	0.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3148	158	148	124	78	154	86	79	91	111	57	78	71	96	101	73	49	61	46	82	73	72	53	63	24	39	22	140	157	186	144	93	54	123	162									
		11.46%	11.83%	11.56%	17.13%	12.81%	10.60%	12.89%	10.48%	14.11%	14.59%	8.30%	7.89%	11.23%	12.18%	11.41%	10.20%	9.40%	10.66%	10.95%	9.51%	10.00%	11.45%	10.35%	11.13%	7.57%	11.37%	5.41%	10.73%	14.18%	11.34%	12.79%	9.57%	9.26%	16.47%	13.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	129	7	7	19	0	7	5	5	3	3	2	3	8	5	2	4	1	2	3	2	2	2	6	4	0	1	4	4	4	4	1	3	0	3	3									
		0.47%	0.52%	0.55%	2.62%	0.00%	0.48%	0.75%	0.66%	0.47%	0.39%	0.29%	0.30%	1.27%	0.63%	0.23%	0.56%	0.19%	0.35%	0.71%	0.23%	0.27%	0.32%	1.17%	0.71%	0.00%	0.29%	0.98%	0.31%	0.36%	0.24%	0.09%	0.31%	0.00%	0.40%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1350	79	77	25	40	73	29	48	32	47	56	41	29	44	42	15	16	22	12	42	25	38	21	20	11	13	9	65	63	92	69	25	19	38	73									
		4.91%	5.91%	6.02%	3.45%	6.57%	5.02%	4.35%	6.37%	4.96%	6.18%	8.15%	4.15%	4.59%	5.58%	4.75%	2.09%	3.07%	3.85%	2.86%	4.87%	3.42%	6.04%	4.10%	3.53%	3.47%	3.79%	2.21%	4.98%	5.69%	5.61%	6.13%	2.57%	3.26%	5.09%	6.18%									
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
