Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Тейковская городская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291					
1	"Число избирателей, внесенных в списки"	29119	1523	1293	824	1657	1304	1570	1641	1426	2404	2845	1818	2811	2217	805	2250	1936	795					
2	"Число бюллетеней, полученных участковыми комиссиями"	28000	1400	1200	800	1600	1200	1500	1600	1400	2200	2700	2400	2500	2000	800	2200	1800	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	430	0	0	0	0	0	0	0	0	59	108	161	102	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15038	703	616	357	732	624	773	765	704	1525	1564	1553	1545	1069	421	928	861	298					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	594	24	34	11	56	12	65	38	25	58	10	37	26	35	11	61	58	33					
6	Число погашенных бюллетеней	11938	673	550	432	812	564	662	797	671	558	1018	649	827	896	368	1211	881	369					
7	Число бюллетеней в переносных ящиках для голосования	1023	24	34	11	56	12	65	38	25	116	118	198	128	35	11	61	58	33					
8	Число бюллетеней в стационарных ящиках для голосования	14992	703	577	357	732	624	773	765	702	1525	1561	1553	1545	1068	421	928	860	298					
9	Число недействительных бюллетеней	181	8	15	7	15	4	11	13	6	16	13	13	7	13	7	16	11	6					
10	Число действительных бюллетеней	15834	719	596	361	773	632	827	790	721	1625	1666	1738	1666	1090	425	973	907	325					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	248	10	10	5	10	10	10	10	10	30	30	30	30	20	8	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	124	4	6	0	7	2	4	1	7	18	21	14	11	7	6	10	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	4	10	3	14	3	9	3	4	13	8	10	6	7	1	8	4	1					
14	Число погашенных открепительных удостоверений	124	6	4	5	3	8	6	9	3	12	9	16	19	13	2	0	5	4					
15	Число открепительных удостоверений выданных ТИК	5	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	128	9	3	4	6	5	3	4	6	11	20	14	16	5	4	5	8	5					
		0.79%	1.23%	0.49%	1.08%	0.76%	0.78%	0.35%	0.49%	0.82%	0.67%	1.19%	0.79%	0.95%	0.45%	0.92%	0.50%	0.87%	1.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	533	16	9	14	28	19	28	26	26	68	66	52	47	37	26	30	38	3					
		3.32%	2.20%	1.47%	3.80%	3.55%	2.98%	3.34%	3.23%	3.57%	4.14%	3.93%	2.96%	2.80%	3.35%	6.01%	3.03%	4.13%	0.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	450	22	16	7	23	19	21	34	26	44	32	46	51	34	7	29	29	10					
		2.80%	3.02%	2.61%	1.90%	2.91%	2.98%	2.50%	4.23%	3.57%	2.68%	1.90%	2.62%	3.04%	3.08%	1.62%	2.93%	3.15%	3.02%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	501	16	15	2	26	20	23	26	26	38	76	46	55	35	12	41	38	6					
		3.12%	2.20%	2.45%	0.54%	3.29%	3.14%	2.74%	3.23%	3.57%	2.31%	4.52%	2.62%	3.28%	3.17%	2.77%	4.14%	4.13%	1.81%					
22	"5. ""За Русь Святую"""	67	3	8	4	2	4	2	2	3	2	7	7	8	6	1	4	4	0					
		0.41%	0.41%	1.30%	1.08%	0.25%	0.62%	0.23%	0.24%	0.41%	0.12%	0.41%	0.39%	0.47%	0.54%	0.23%	0.40%	0.43%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	1	2	1	0	1	1	2	0	8	5	4	5	4	1	0	0	0					
