Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Мотыгинская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643					
1	"Число избирателей, внесенных в список избирателей"	12069	846	1312	1080	958	205	693	255	559	339	755	996	730	569	1821	293	145	513					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12000	800	1200	950	900	200	680	240	550	270	900	950	800	800	1850	270	140	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	91	0	0	0	0	0	0	17	13	0	0	0	0	0	0	28	25	8					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5746	332	574	438	426	115	338	93	314	163	495	481	368	394	769	158	67	221					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	557	51	24	42	46	13	26	32	23	37	71	28	50	5	61	18	18	12					
6	Число погашенных избирательных бюллетеней	5606	417	602	470	428	72	316	98	200	70	334	441	382	401	1020	66	30	259					
7	Число избирательных бюллетеней в переносных ящиках для голосования	648	51	24	42	46	13	26	49	36	37	71	28	50	5	61	46	43	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5742	331	574	436	426	115	338	93	313	163	495	481	368	394	769	158	67	221					
9	Число недействительных избирательных бюллетеней	110	6	14	9	9	3	2	3	8	4	5	6	9	4	16	8	0	4					
10	Число действительных избирательных бюллетеней	6280	376	584	469	463	125	362	139	341	196	561	503	409	395	814	196	110	237					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	20	27	17	20	10	10	10	10	9	9	20	10	10	29	10	9	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	37	0	7	4	0	0	10	1	1	1	0	2	6	1	2	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	8	1	0	0	1	1	0	0	52	30	1	0	4	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	198	20	20	13	20	10	0	9	9	8	9	18	4	9	27	8	9	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	3	0	2	0	1	0	0	0	1	0	2	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1016	67	100	84	104	15	39	25	36	25	52	84	60	47	175	46	10	47					
		15.90%	17.54%	16.72%	17.57%	22.03%	11.72%	10.71%	17.61%	10.32%	12.50%	9.19%	16.50%	14.35%	11.78%	21.08%	22.55%	9.09%	19.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1083	77	122	100	71	17	50	28	32	36	101	68	59	114	127	22	24	35					
		16.95%	20.16%	20.40%	20.92%	15.04%	13.28%	13.74%	19.72%	9.17%	18.00%	17.84%	13.36%	14.11%	28.57%	15.30%	10.78%	21.82%	14.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	80	5	11	10	4	3	1	0	6	4	4	1	5	6	13	1	3	3					
		1.25%	1.31%	1.84%	2.09%	0.85%	2.34%	0.27%	0.00%	1.72%	2.00%	0.71%	0.20%	1.20%	1.50%	1.57%	0.49%	2.73%	1.24%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1049	77	123	81	92	14	34	25	76	29	48	84	106	64	121	24	9	42					
		16.42%	20.16%	20.57%	16.95%	19.49%	10.94%	9.34%	17.61%	21.78%	14.50%	8.48%	16.50%	25.36%	16.04%	14.58%	11.76%	8.18%	17.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	143	14	27	16	15	0	2	0	4	3	7	1	8	10	22	5	3	6					
		2.24%	3.66%	4.52%	3.35%	3.18%	0.00%	0.55%	0.00%	1.15%	1.50%	1.24%	0.20%	1.91%	2.51%	2.65%	2.45%	2.73%	2.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2870	134	198	175	173	75	236	60	185	97	349	263	171	151	344	98	61	100					
		44.91%	35.08%	33.11%	36.61%	36.65%	58.59%	64.84%	42.25%	53.01%	48.50%	61.66%	51.67%	40.91%	37.84%	41.45%	48.04%	55.45%	41.49%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	39	2	3	3	4	1	0	1	2	2	0	2	0	3	12	0	0	4					
		0.61%	0.52%	0.50%	0.63%	0.85%	0.78%	0.00%	0.70%	0.57%	1.00%	0.00%	0.39%	0.00%	0.75%	1.45%	0.00%	0.00%	1.66%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
