Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Суздальская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35059	1787	1658	677	343	204	1281	1555	460	358	505	912	482	1677	432	221	752	719	457	1402	466	664	505	466	1847	325	260	843	1006	121	560	510	367	1101	125	286	110	598	461	549	1597	1031	1722	1827	1830									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32410	1640	1560	630	320	180	1200	1380	400	300	480	850	450	1540	370	190	560	680	440	1300	420	630	470	430	1660	300	230	800	970	110	520	480	330	1050	110	250	100	560	440	530	1500	1000	1570	1740	1740									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12728	564	527	189	103	64	428	492	192	141	207	360	177	491	133	81	251	249	159	541	204	209	199	175	795	90	101	279	388	41	207	154	122	445	51	102	36	229	208	228	612	434	659	768	643									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1429	37	26	21	6	8	8	59	23	10	37	58	12	25	24	20	134	40	11	44	42	16	17	30	54	18	5	75	67	21	20	45	50	24	6	43	15	60	15	12	72	25	40	10	44									
6	Число погашенных избирательных бюллетеней	18253	1039	1007	420	211	108	764	829	185	149	236	432	261	1024	213	89	175	391	270	715	174	405	254	225	811	192	124	446	515	48	293	281	158	581	53	105	49	271	217	290	816	541	871	962	1053									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1429	37	26	21	6	8	8	59	23	10	37	58	12	25	24	20	134	40	11	44	42	16	17	30	54	18	5	75	67	21	20	45	50	24	6	43	15	60	15	12	72	25	40	10	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12726	564	527	189	103	64	428	492	192	141	207	360	177	491	133	81	251	249	159	541	204	209	199	175	794	90	101	279	388	41	207	154	122	445	51	102	36	229	208	228	611	434	659	768	643									
9	Число недействительных избирательных бюллетеней	337	15	10	6	3	3	12	7	6	1	3	10	8	14	5	0	22	6	5	13	7	4	6	2	31	2	2	3	8	1	4	7	1	7	0	3	0	6	1	9	18	12	14	21	19									
10	Число действительных избирательных бюллетеней	13818	586	543	204	106	69	424	544	209	150	241	408	181	502	152	101	363	283	165	572	239	221	210	203	817	106	104	351	447	61	223	192	171	462	57	142	51	283	222	231	665	447	685	757	668									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	383	15	15	5	5	5	15	12	5	5	5	10	5	10	5	5	5	5	5	15	5	5	5	5	15	5	5	15	15	3	5	5	5	15	5	5	3	10	5	15	15	10	18	20	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	191	9	1	2	1	1	10	7	4	0	0	5	0	10	1	0	1	4	1	9	2	3	3	3	11	1	0	13	7	1	3	2	0	6	0	1	0	5	3	3	11	5	14	16	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	197	1	10	2	1	1	4	2	4	1	1	3	1	2	4	3	20	2	1	3	7	1	3	2	6	6	3	1	2	4	4	2	3	5	4	0	4	6	2	6	13	4	27	9	7									
14	Число погашенных неиспользованных открепительных удостоверений	192	6	14	3	4	4	5	5	1	5	5	5	5	0	4	5	4	1	4	6	3	2	2	2	4	4	5	2	8	2	2	3	5	9	5	4	3	5	2	12	4	5	4	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	3	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	363	18	14	5	1	1	6	16	7	5	7	13	2	12	6	2	11	4	3	9	2	1	2	6	18	2	5	6	7	1	9	10	6	14	5	9	1	6	11	12	25	19	16	12	16									
		2.56%	2.99%	2.53%	2.38%	0.92%	1.39%	1.38%	2.90%	3.26%	3.31%	2.87%	3.11%	1.06%	2.33%	3.82%	1.98%	2.86%	1.38%	1.76%	1.54%	0.81%	0.44%	0.93%	2.93%	2.12%	1.85%	4.72%	1.69%	1.54%	1.61%	3.96%	5.03%	3.49%	2.99%	8.77%	6.21%	1.96%	2.08%	4.93%	5.00%	3.66%	4.14%	2.29%	1.54%	2.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	441	10	13	4	3	2	17	11	3	3	9	17	9	24	7	2	15	12	7	15	12	9	6	4	20	1	2	13	24	1	8	11	7	14	1	2	0	10	13	9	22	11	16	27	15									
		3.12%	1.66%	2.35%	1.90%	2.75%	2.78%	3.90%	1.99%	1.40%	1.99%	3.69%	4.07%	4.76%	4.65%	4.46%	1.98%	3.90%	4.15%	4.12%	2.56%	4.88%	4.00%	2.78%	1.95%	2.36%	0.93%	1.89%	3.67%	5.27%	1.61%	3.52%	5.53%	4.07%	2.99%	1.75%	1.38%	0.00%	3.46%	5.83%	3.75%	3.22%	2.40%	2.29%	3.47%	2.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	393	30	4	9	5	3	14	15	7	4	3	19	2	21	5	2	11	8	3	11	5	8	5	6	22	2	5	7	8	2	4	8	6	15	1	3	3	3	0	8	20	15	20	24	17									
		2.78%	4.99%	0.72%	4.29%	4.59%	4.17%	3.21%	2.72%	3.26%	2.65%	1.23%	4.55%	1.06%	4.07%	3.18%	1.98%	2.86%	2.77%	1.76%	1.88%	2.03%	3.56%	2.31%	2.93%	2.59%	1.85%	4.72%	1.98%	1.76%	3.23%	1.76%	4.02%	3.49%	3.20%	1.75%	2.07%	5.88%	1.04%	0.00%	3.33%	2.93%	3.27%	2.86%	3.08%	2.47%									
