Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Лесная городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44077	1685	2097	1864	1967	1219	1432	2541	2304	1290	2205	2217	1507	2581	2367	2242	2583	1974	1334	2174	1048	1289	2639	603	915									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38000	1500	1800	1500	1700	1100	1200	2100	2000	1100	1900	1900	1300	2200	2000	2000	2200	1700	1200	1900	900	1200	2300	500	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20466	716	929	663	754	541	635	1246	1046	661	1154	1146	709	1130	1098	1101	1208	952	619	1057	379	994	1211	176	341									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	450	8	14	204	23	4	6	6	12	8	17	14	5	24	8	3	9	5	1	5	11	42	8	6	7									
6	Число погашенных избирательных бюллетеней	17084	776	857	633	923	555	559	848	942	431	729	740	586	1046	894	896	983	743	580	838	510	164	1081	318	452									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	449	8	14	204	22	4	6	6	12	8	17	14	5	24	8	3	9	5	1	5	11	42	8	6	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20456	716	929	662	754	541	635	1246	1046	661	1154	1146	709	1125	1098	1100	1208	952	619	1057	379	991	1211	176	341									
9	Число недействительных избирательных бюллетеней	565	22	17	32	26	7	18	37	25	14	38	28	18	43	41	27	25	13	14	27	17	32	27	2	15									
10	Число действительных избирательных бюллетеней	20340	702	926	834	750	538	623	1215	1033	655	1133	1132	696	1106	1065	1076	1192	944	606	1035	373	1001	1192	180	333									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	641	21	30	20	30	15	20	50	30	20	30	30	20	40	30	30	40	30	20	30	15	30	40	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	254	10	21	13	4	10	11	22	10	10	18	11	6	13	11	18	9	8	7	11	4	11	15	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	1	3	2	2	3	1	5	3	4	1	1	1	2	2	3	2	2	2	4	4	9	3	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	387	11	9	7	26	5	9	28	20	10	12	19	14	27	19	12	31	22	13	19	11	19	25	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	157	3	4	2	4	6	3	25	4	3	2	4	2	5	3	6	3	10	2	3	0	51	10	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	332	7	13	15	9	7	18	12	26	14	25	12	10	20	10	18	16	24	16	17	8	14	17	0	4									
		1.59%	0.97%	1.38%	1.73%	1.16%	1.28%	2.81%	0.96%	2.46%	2.09%	2.13%	1.03%	1.40%	1.74%	0.90%	1.63%	1.31%	2.51%	2.58%	1.60%	2.05%	1.36%	1.39%	0.00%	1.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	459	20	23	25	19	16	9	18	25	12	32	30	13	27	14	25	21	19	15	22	10	17	22	12	13									
		2.20%	2.76%	2.44%	2.89%	2.45%	2.94%	1.40%	1.44%	2.36%	1.79%	2.73%	2.59%	1.82%	2.35%	1.27%	2.27%	1.73%	1.99%	2.42%	2.07%	2.56%	1.65%	1.80%	6.59%	3.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	582	22	37	29	26	17	20	21	41	16	37	31	20	17	28	24	37	26	20	30	13	15	37	7	11									
		2.78%	3.04%	3.92%	3.35%	3.35%	3.12%	3.12%	1.68%	3.88%	2.39%	3.16%	2.67%	2.80%	1.48%	2.53%	2.18%	3.04%	2.72%	3.23%	2.82%	3.33%	1.45%	3.04%	3.85%	3.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8399	249	362	312	272	214	242	587	407	254	455	458	289	465	397	450	510	367	207	407	152	664	467	63	149									
		40.18%	34.39%	38.39%	36.03%	35.05%	39.27%	37.75%	46.88%	38.47%	37.97%	38.86%	39.48%	40.48%	40.47%	35.90%	40.80%	41.91%	38.35%	33.39%	38.32%	38.97%	64.28%	38.31%	34.62%	42.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	277	10	12	26	6	8	15	16	15	5	13	11	9	9	16	20	14	13	11	15	2	10	18	1	2									
		1.33%	1.38%	1.27%	3.00%	0.77%	1.47%	2.34%	1.28%	1.42%	0.75%	1.11%	0.95%	1.26%	0.78%	1.45%	1.81%	1.15%	1.36%	1.77%	1.41%	0.51%	0.97%	1.48%	0.55%	0.57%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	1	2	3	2	2	1	0	4	3	1	5	2	1	2	2	0	1	8	1	1	1	0	1	0									
		0.21%	0.14%	0.21%	0.35%	0.26%	0.37%	0.16%	0.00%	0.38%	0.45%	0.09%	0.43%	0.28%	0.09%	0.18%	0.18%	0.00%	0.10%	1.29%	0.09%	0.26%	0.10%	0.00%	0.55%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3550	151	164	181	166	88	97	244	173	87	137	179	115	183	211	178	212	166	89	175	70	153	217	51	63									
		16.98%	20.86%	17.39%	20.90%	21.39%	16.15%	15.13%	19.49%	16.35%	13.00%	11.70%	15.43%	16.11%	15.93%	19.08%	16.14%	17.42%	17.35%	14.35%	16.48%	17.95%	14.81%	17.80%	28.02%	18.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	124	7	5	5	1	1	0	6	8	7	9	11	2	13	4	6	11	4	4	10	0	2	6	2	0									
		0.59%	0.97%	0.53%	0.58%	0.13%	0.18%	0.00%	0.48%	0.76%	1.05%	0.77%	0.95%	0.28%	1.13%	0.36%	0.54%	0.90%	0.42%	0.65%	0.94%	0.00%	0.19%	0.49%	1.10%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	251	13	9	8	8	17	7	10	9	7	13	10	13	12	10	14	17	19	14	21	2	4	13	0	1									
		1.20%	1.80%	0.95%	0.92%	1.03%	3.12%	1.09%	0.80%	0.85%	1.05%	1.11%	0.86%	1.82%	1.04%	0.90%	1.27%	1.40%	1.99%	2.26%	1.98%	0.51%	0.39%	1.07%	0.00%	0.29%									
